rank,combo_id,MIN_RANGE,MAX_RANGE,EXPANSION_MULT,vol_allow_max,n_trades,n_wins,net_WR_pct,gross_WR_pct,net_usd,gross_usd,cost_usd,mean_gross_per_trade,mean_net_per_trade,PF,max_dd_usd,tp_count,trail_count,sl_count,be_count
1,59,12.00,15.00,1.250,2,0,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0,0,0,0
2,58,12.00,15.00,1.250,1,0,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0,0,0,0
3,64,12.00,20.00,1.250,1,119,23,19.33,74.79,-518.51,-127.50,391.00,-1.0715,-4.3572,0.0576,518.56,0,89,30,0
4,65,12.00,20.00,1.250,2,165,34,20.61,78.18,-553.03,-40.68,512.35,-0.2465,-3.3517,0.1461,559.16,0,129,36,0
5,56,12.00,15.00,1.100,1,149,35,23.49,71.14,-558.18,-134.46,423.73,-0.9024,-3.7462,0.0949,558.74,0,106,43,0
6,70,12.00,30.00,1.250,1,163,23,14.11,75.46,-813.46,-263.83,549.63,-1.6186,-4.9905,0.0357,813.51,0,123,40,0
7,57,12.00,15.00,1.100,2,241,74,30.71,69.71,-853.89,-191.98,661.91,-0.7966,-3.5431,0.1514,856.28,0,168,73,0
8,71,12.00,30.00,1.250,2,201,34,16.92,74.13,-964.87,-285.11,679.76,-1.4184,-4.8003,0.0989,968.95,0,149,52,0
9,62,12.00,20.00,1.100,1,246,57,23.17,71.95,-997.70,-244.06,753.64,-0.9921,-4.0557,0.1041,998.31,0,177,69,0
10,68,12.00,30.00,1.100,1,261,56,21.46,73.56,-1100.79,-290.41,810.38,-1.1127,-4.2176,0.0842,1101.40,0,192,69,0
11,54,12.00,15.00,1.000,1,340,90,26.47,70.59,-1237.42,-264.15,973.28,-0.7769,-3.6395,0.0993,1237.87,0,240,100,0
12,63,12.00,20.00,1.100,2,349,86,24.64,72.78,-1318.30,-256.22,1062.07,-0.7342,-3.7773,0.1270,1319.55,0,254,95,0
13,60,12.00,20.00,1.000,1,375,101,26.93,69.33,-1517.95,-416.89,1101.06,-1.1117,-4.0479,0.0853,1518.40,0,260,115,0
14,66,12.00,30.00,1.000,1,385,99,25.71,70.65,-1549.35,-413.04,1136.31,-1.0728,-4.0243,0.0933,1549.80,0,272,113,0
15,69,12.00,30.00,1.100,2,367,80,21.80,71.39,-1618.70,-457.08,1161.62,-1.2454,-4.4106,0.1173,1619.95,0,262,105,0
16,55,12.00,15.00,1.000,2,464,141,30.39,68.10,-1774.43,-497.18,1277.25,-1.0715,-3.8242,0.0932,1775.77,0,316,148,0
17,40,8.00,15.00,1.250,1,483,148,30.64,66.67,-1803.40,-488.57,1314.82,-1.0115,-3.7337,0.1033,1808.35,0,322,161,0
18,61,12.00,20.00,1.000,2,500,143,28.60,71.00,-1813.39,-373.92,1439.47,-0.7478,-3.6268,0.1182,1814.73,0,355,145,0
19,46,8.00,20.00,1.250,1,530,152,28.68,69.25,-1946.26,-467.18,1479.09,-0.8815,-3.6722,0.0977,1951.22,0,367,163,0
20,67,12.00,30.00,1.000,2,509,140,27.50,70.14,-2037.61,-552.68,1484.93,-1.0858,-4.0032,0.1019,2038.95,0,357,152,0
21,41,8.00,15.00,1.250,2,539,162,30.06,64.75,-2106.64,-630.30,1476.34,-1.1694,-3.9084,0.1034,2113.00,0,349,190,0
22,47,8.00,20.00,1.250,2,586,165,28.16,69.45,-2115.71,-471.15,1644.56,-0.8040,-3.6104,0.1059,2122.07,0,407,179,0
23,52,8.00,30.00,1.250,1,546,155,28.39,68.68,-2136.69,-598.55,1538.13,-1.0963,-3.9133,0.0931,2141.65,0,375,171,0
24,53,8.00,30.00,1.250,2,605,162,26.78,68.43,-2368.77,-637.03,1731.74,-1.0529,-3.9153,0.1003,2375.13,0,414,191,0
25,38,8.00,15.00,1.100,1,801,273,34.08,65.54,-2742.67,-652.32,2090.35,-0.8144,-3.4241,0.1113,2742.67,0,525,276,0
