rank,combo_id,LOOKBACK,MIN_RANGE,MAX_RANGE,MIN_BREAK,n_trades,n_wins,WR_pct,net_usd,gross_usd,cost_usd,mean_net,PF,max_dd,tp,trail,sl,be
1,43,300,0.0015,0.0075,5,109,36,33.03,-374.83,-7.33,367.50,-3.4388,0.4921,374.83,2,81,26,0
2,40,300,0.0015,0.0050,5,109,35,32.11,-377.43,-10.13,367.30,-3.4626,0.4887,377.43,2,81,26,0
3,37,300,0.0015,0.0040,5,108,35,32.41,-380.48,-16.48,364.00,-3.5229,0.4867,380.48,2,80,26,0
4,42,300,0.0015,0.0075,3,107,36,33.64,-385.02,-27.52,357.50,-3.5984,0.4202,385.02,1,83,23,0
5,39,300,0.0015,0.0050,3,107,35,32.71,-387.62,-30.32,357.30,-3.6227,0.4164,387.62,1,83,23,0
6,36,300,0.0015,0.0040,3,106,36,33.96,-388.22,-35.72,352.50,-3.6625,0.4162,388.22,1,82,23,0
7,44,300,0.0015,0.0075,8,105,38,36.19,-410.77,-52.88,357.90,-3.9121,0.4851,437.15,2,75,28,0
8,41,300,0.0015,0.0050,8,105,37,35.24,-413.77,-55.78,358.00,-3.9407,0.4817,440.15,2,75,28,0
9,38,300,0.0015,0.0040,8,105,37,35.24,-468.62,-113.93,354.70,-4.4631,0.4150,468.62,1,76,28,0
10,84,600,0.0015,0.0050,3,221,76,34.39,-775.47,-68.97,706.50,-3.5089,0.4506,787.07,3,165,53,0
11,87,600,0.0015,0.0075,3,222,76,34.23,-780.67,-70.87,709.80,-3.5166,0.4482,792.27,3,166,53,0
12,81,600,0.0015,0.0040,3,226,75,33.19,-855.47,-134.17,721.30,-3.7853,0.3994,867.07,3,169,54,0
13,33,300,0.0012,0.0075,3,237,72,30.38,-903.35,-136.55,766.80,-3.8116,0.3473,937.30,1,176,60,0
14,30,300,0.0012,0.0050,3,237,71,29.96,-904.90,-138.00,766.90,-3.8181,0.3462,938.85,1,176,60,0
15,27,300,0.0012,0.0040,3,236,71,30.08,-907.60,-144.40,763.20,-3.8458,0.3455,941.55,1,175,60,0
16,35,300,0.0012,0.0075,8,239,72,30.13,-917.47,-139.88,777.60,-3.8388,0.4137,950.00,2,169,68,0
17,32,300,0.0012,0.0050,8,239,71,29.71,-921.07,-142.88,778.20,-3.8539,0.4116,953.60,2,169,68,0
18,29,300,0.0012,0.0040,8,239,71,29.71,-974.77,-199.38,775.40,-4.0786,0.3779,1007.30,1,170,68,0
19,130,900,0.0015,0.0050,5,332,114,34.34,-1013.58,33.52,1047.10,-3.0529,0.4927,1036.63,4,255,73,0
20,85,600,0.0015,0.0050,5,237,71,29.96,-1014.45,-250.55,763.90,-4.2804,0.3847,1025.00,2,172,63,0
21,82,600,0.0015,0.0040,5,238,72,30.25,-1017.10,-252.60,764.50,-4.2735,0.3842,1027.65,2,172,64,0
22,88,600,0.0015,0.0075,5,238,71,29.83,-1018.75,-252.25,766.50,-4.2805,0.3837,1029.30,2,173,63,0
23,129,900,0.0015,0.0050,3,323,105,32.51,-1020.07,-6.98,1013.10,-3.1581,0.4499,1043.55,3,253,67,0
24,86,600,0.0015,0.0050,8,232,70,30.17,-1020.52,-271.92,748.60,-4.3988,0.4057,1051.22,3,164,65,0
25,133,900,0.0015,0.0075,5,332,114,34.34,-1021.68,24.72,1046.40,-3.0773,0.4903,1043.83,4,254,74,0
