rank,combo_id,LOOKBACK,MIN_RANGE,MAX_RANGE,MIN_BREAK,n_trades,n_wins,WR_pct,net_usd,gross_usd,cost_usd,mean_net,PF,max_dd,tp,trail,sl,be
1,27,300,0.0015,0.0050,3,196,109,55.61,-772.90,-44.00,728.90,-3.9434,0.2977,775.45,2,137,57,0
2,28,300,0.0015,0.0050,5,198,108,54.55,-773.90,-61.10,712.80,-3.9086,0.2980,776.15,2,138,58,0
3,32,300,0.0015,0.0075,8,197,110,55.84,-819.55,-110.05,709.50,-4.1602,0.2959,821.20,2,133,62,0
4,29,300,0.0015,0.0050,8,196,109,55.61,-825.20,-120.00,705.20,-4.2102,0.2917,826.85,2,132,62,0
5,34,300,0.0015,0.0100,5,201,108,53.73,-829.00,-98.70,730.30,-4.1244,0.2930,831.25,2,139,60,0
6,31,300,0.0015,0.0075,5,201,108,53.73,-829.00,-98.70,730.30,-4.1244,0.2930,831.25,2,139,60,0
7,35,300,0.0015,0.0100,8,198,110,55.56,-841.90,-128.20,713.70,-4.2520,0.2881,843.55,2,133,63,0
8,33,300,0.0015,0.0100,3,198,108,54.55,-843.30,-99.00,744.30,-4.2591,0.2952,847.90,2,137,59,0
9,30,300,0.0015,0.0075,3,198,108,54.55,-843.30,-99.00,744.30,-4.2591,0.2952,847.90,2,137,59,0
10,71,600,0.0015,0.0100,8,523,318,60.80,-2038.90,-237.60,1801.30,-3.8985,0.3016,2051.40,3,355,165,0
11,68,600,0.0015,0.0075,8,522,318,60.92,-2039.25,-242.35,1796.90,-3.9066,0.3008,2051.75,3,354,165,0
12,65,600,0.0015,0.0050,8,522,318,60.92,-2054.55,-261.35,1793.20,-3.9359,0.2991,2067.05,3,353,166,0
13,63,600,0.0015,0.0050,3,494,293,59.31,-2114.60,-402.70,1711.90,-4.2806,0.2655,2116.50,2,329,163,0
14,66,600,0.0015,0.0075,3,495,291,58.79,-2158.40,-432.90,1725.50,-4.3604,0.2705,2160.30,2,329,164,0
15,69,600,0.0015,0.0100,3,495,291,58.79,-2158.40,-432.90,1725.50,-4.3604,0.2705,2160.30,2,329,164,0
16,64,600,0.0015,0.0050,5,524,306,58.40,-2169.62,-374.32,1795.30,-4.1405,0.2826,2181.97,4,347,173,0
17,18,300,0.0012,0.0050,3,518,277,53.47,-2189.06,-388.76,1800.30,-4.2260,0.3012,2195.56,7,308,203,0
18,67,600,0.0015,0.0075,5,527,306,58.06,-2201.62,-387.92,1813.70,-4.1776,0.2849,2213.97,4,349,174,0
