rank,combo_id,tag,MAX_SPREAD,TRAIL_FRAC,MFE_TRAIL_FRAC,TP_RR,SL_FRAC,n_trades,n_wins,WR_pct,net_usd,gross_usd,cost_usd,mean_net,PF,max_dd_usd,tp_count,trail_count,sl_count,be_count
1,31,0,0.00020,0.150,0.200,2.000,0.800,952,632,66.39,-3669.09,-449.29,3219.80,-3.8541,0.3403,3672.99,3,646,303,0
2,36,0,0.00020,0.200,0.200,2.000,0.800,952,632,66.39,-3674.79,-454.79,3220.00,-3.8601,0.3393,3678.24,3,646,303,0
3,51,0,0.00020,0.400,0.200,2.000,0.800,952,632,66.39,-3683.95,-463.95,3220.00,-3.8697,0.3378,3687.40,4,645,303,0
4,56,0,0.00020,0.550,0.200,2.000,0.800,952,632,66.39,-3683.95,-463.95,3220.00,-3.8697,0.3378,3687.40,4,645,303,0
5,41,0,0.00020,0.250,0.200,2.000,0.800,952,632,66.39,-3683.99,-463.99,3220.00,-3.8697,0.3377,3687.44,3,646,303,0
6,46,0,0.00020,0.300,0.200,2.000,0.800,952,632,66.39,-3689.19,-469.19,3220.00,-3.8752,0.3369,3692.64,3,646,303,0
7,66,0,0.00025,0.200,0.200,2.000,0.800,954,632,66.25,-3717.06,-481.66,3235.40,-3.8963,0.3370,3720.41,4,645,305,0
8,4,0,0.00015,0.150,0.550,2.000,0.800,939,600,63.90,-3720.61,-552.61,3168.00,-3.9623,0.3252,3722.56,4,635,300,0
9,71,0,0.00025,0.250,0.200,2.000,0.800,954,632,66.25,-3725.16,-489.76,3235.40,-3.9048,0.3356,3728.51,4,645,305,0
10,61,0,0.00025,0.150,0.200,2.000,0.800,954,632,66.25,-3727.61,-491.81,3235.80,-3.9073,0.3351,3731.41,4,645,305,0
11,1,0,0.00015,0.150,0.200,2.000,0.800,947,628,66.31,-3730.46,-533.86,3196.60,-3.9392,0.3294,3734.36,4,639,304,0
12,76,0,0.00025,0.300,0.200,2.000,0.800,954,632,66.25,-3730.56,-495.16,3235.40,-3.9104,0.3347,3733.91,4,645,305,0
13,86,0,0.00025,0.550,0.200,2.000,0.800,954,632,66.25,-3731.36,-495.96,3235.40,-3.9113,0.3346,3734.71,4,645,305,0
14,81,0,0.00025,0.400,0.200,2.000,0.800,954,632,66.25,-3731.36,-495.96,3235.40,-3.9113,0.3346,3734.71,4,645,305,0
15,6,0,0.00015,0.200,0.200,2.000,0.800,947,628,66.31,-3734.86,-538.26,3196.60,-3.9439,0.3286,3738.31,4,639,304,0
16,11,0,0.00015,0.250,0.200,2.000,0.800,947,628,66.31,-3741.76,-545.46,3196.30,-3.9512,0.3274,3745.21,4,639,304,0
17,125,0,0.00040,0.150,0.700,2.000,0.800,945,599,63.39,-3744.39,-527.89,3216.50,-3.9623,0.3296,3746.24,4,639,302,0
18,96,0,0.00030,0.200,0.200,2.000,0.800,956,631,66.00,-3746.10,-499.40,3246.70,-3.9185,0.3326,3749.45,5,645,306,0
19,16,0,0.00015,0.300,0.200,2.000,0.800,947,628,66.31,-3746.26,-549.96,3196.30,-3.9559,0.3266,3749.71,4,639,304,0
20,21,0,0.00015,0.400,0.200,2.000,0.800,947,628,66.31,-3747.06,-550.76,3196.30,-3.9568,0.3265,3750.51,4,639,304,0
21,26,0,0.00015,0.550,0.200,2.000,0.800,947,628,66.31,-3747.06,-550.76,3196.30,-3.9568,0.3265,3750.51,4,639,304,0
22,124,0,0.00040,0.150,0.550,2.000,0.800,945,599,63.39,-3749.99,-533.89,3216.10,-3.9682,0.3280,3751.84,4,639,302,0
23,101,0,0.00030,0.250,0.200,2.000,0.800,956,631,66.00,-3753.00,-506.30,3246.70,-3.9257,0.3315,3756.35,5,645,306,0
24,106,0,0.00030,0.300,0.200,2.000,0.800,956,631,66.00,-3757.10,-510.40,3246.70,-3.9300,0.3308,3760.45,5,645,306,0
25,111,0,0.00030,0.400,0.200,2.000,0.800,956,631,66.00,-3757.10,-510.40,3246.70,-3.9300,0.3308,3760.45,5,645,306,0
26,116,0,0.00030,0.550,0.200,2.000,0.800,956,631,66.00,-3757.10,-510.40,3246.70,-3.9300,0.3308,3760.45,5,645,306,0
27,91,0,0.00030,0.150,0.200,2.000,0.800,956,631,66.00,-3757.89,-511.29,3246.60,-3.9308,0.3305,3761.69,4,646,306,0
28,155,0,0.00050,0.150,0.700,2.000,0.800,946,597,63.11,-3758.59,-529.89,3228.70,-3.9731,0.3263,3760.44,4,640,302,0
29,5,0,0.00015,0.150,0.700,2.000,0.800,939,597,63.58,-3758.76,-589.36,3169.40,-4.0029,0.3231,3760.71,4,633,302,0
30,161,0,0.00050,0.250,0.200,2.000,0.800,956,629,65.79,-3761.52,-500.52,3261.00,-3.9346,0.3310,3764.87,5,645,306,0
31,154,0,0.00050,0.150,0.550,2.000,0.800,946,598,63.21,-3762.29,-533.99,3228.30,-3.9771,0.3248,3764.14,4,640,302,0
32,151,0,0.00050,0.150,0.200,2.000,0.800,956,629,65.79,-3763.19,-502.29,3260.90,-3.9364,0.3306,3766.99,4,646,306,0
33,176,0,0.00050,0.550,0.200,2.000,0.800,956,629,65.79,-3765.62,-504.62,3261.00,-3.9389,0.3304,3768.97,5,645,306,0
34,171,0,0.00050,0.400,0.200,2.000,0.800,956,629,65.79,-3765.62,-504.62,3261.00,-3.9389,0.3304,3768.97,5,645,306,0
35,166,0,0.00050,0.300,0.200,2.000,0.800,956,629,65.79,-3765.62,-504.62,3261.00,-3.9389,0.3304,3768.97,5,645,306,0
36,95,0,0.00030,0.150,0.700,2.000,0.800,946,597,63.11,-3766.79,-551.99,3214.80,-3.9818,0.3257,3768.64,4,639,303,0
37,94,0,0.00030,0.150,0.550,2.000,0.800,946,599,63.32,-3770.49,-556.09,3214.40,-3.9857,0.3244,3772.34,4,639,303,0
38,156,0,0.00050,0.200,0.200,2.000,0.800,956,629,65.79,-3771.49,-510.49,3261.00,-3.9451,0.3292,3774.84,4,646,306,0
39,123,0,0.00040,0.150,0.400,2.000,0.800,945,607,64.23,-3773.14,-557.44,3215.70,-3.9927,0.3249,3774.99,4,638,303,0
40,34,0,0.00020,0.150,0.550,2.000,0.800,947,598,63.15,-3778.69,-573.99,3204.70,-3.9902,0.3259,3780.64,3,640,304,0
41,32,0,0.00020,0.150,0.300,2.000,0.800,948,620,65.40,-3779.44,-571.94,3207.50,-3.9868,0.3270,3781.99,3,639,306,0
42,35,0,0.00020,0.150,0.700,2.000,0.800,946,596,63.00,-3779.94,-577.94,3202.00,-3.9957,0.3267,3781.89,3,639,304,0
43,153,0,0.00050,0.150,0.400,2.000,0.800,946,606,64.06,-3781.54,-553.64,3227.90,-3.9974,0.3227,3783.39,4,639,303,0
44,131,0,0.00040,0.250,0.200,2.000,0.800,955,629,65.86,-3783.42,-532.72,3250.70,-3.9617,0.3304,3786.77,5,643,307,0
45,121,0,0.00040,0.150,0.200,2.000,0.800,955,629,65.86,-3784.69,-534.09,3250.60,-3.9630,0.3300,3788.49,4,644,307,0
46,141,0,0.00040,0.400,0.200,2.000,0.800,955,629,65.86,-3787.52,-536.82,3250.70,-3.9660,0.3297,3790.87,5,643,307,0
47,136,0,0.00040,0.300,0.200,2.000,0.800,955,629,65.86,-3787.52,-536.82,3250.70,-3.9660,0.3297,3790.87,5,643,307,0
48,146,0,0.00040,0.550,0.200,2.000,0.800,955,629,65.86,-3787.52,-536.82,3250.70,-3.9660,0.3297,3790.87,5,643,307,0
49,93,0,0.00030,0.150,0.400,2.000,0.800,946,608,64.27,-3789.24,-575.24,3214.00,-4.0055,0.3222,3791.09,4,638,304,0
50,126,0,0.00040,0.200,0.200,2.000,0.800,955,629,65.86,-3793.39,-542.69,3250.70,-3.9721,0.3285,3796.74,4,644,307,0
51,33,0,0.00020,0.150,0.400,2.000,0.800,946,607,64.16,-3799.29,-598.09,3201.20,-4.0162,0.3234,3801.24,3,638,305,0
52,65,0,0.00025,0.150,0.700,2.000,0.800,944,595,63.03,-3801.86,-598.26,3203.60,-4.0274,0.3252,3803.71,4,635,305,0
53,64,0,0.00025,0.150,0.550,2.000,0.800,944,597,63.24,-3804.66,-601.46,3203.20,-4.0304,0.3239,3806.51,4,635,305,0
54,152,0,0.00050,0.150,0.300,2.000,0.800,951,621,65.30,-3806.79,-560.99,3245.80,-4.0029,0.3227,3809.24,4,641,306,0
55,3,0,0.00015,0.150,0.400,2.000,0.800,938,604,64.39,-3806.81,-641.31,3165.50,-4.0584,0.3173,3808.76,4,630,304,0
56,92,0,0.00030,0.150,0.300,2.000,0.800,951,621,65.30,-3817.19,-585.29,3231.90,-4.0139,0.3219,3819.64,4,640,307,0
57,63,0,0.00025,0.150,0.400,2.000,0.800,944,606,64.19,-3823.71,-620.61,3203.10,-4.0505,0.3216,3825.56,4,634,306,0
58,122,0,0.00040,0.150,0.300,2.000,0.800,950,621,65.37,-3827.54,-593.34,3234.20,-4.0290,0.3224,3829.99,4,639,307,0
59,62,0,0.00025,0.150,0.300,2.000,0.800,948,618,65.19,-3827.71,-610.91,3216.80,-4.0377,0.3233,3830.16,4,636,308,0
60,2,0,0.00015,0.150,0.300,2.000,0.800,941,615,65.36,-3835.41,-658.91,3176.50,-4.0759,0.3168,3837.96,4,630,307,0
61,98,0,0.00030,0.200,0.400,2.000,0.800,940,593,63.09,-3844.20,-652.00,3192.20,-4.0896,0.3124,3845.75,5,631,304,0
62,38,0,0.00020,0.200,0.400,2.000,0.800,936,590,63.03,-3855.29,-692.49,3162.80,-4.1189,0.3121,3856.94,3,629,304,0
63,158,0,0.00050,0.200,0.400,2.000,0.800,939,592,63.05,-3856.34,-655.64,3200.70,-4.1069,0.3115,3857.89,4,631,304,0
64,60,0,0.00020,0.550,0.700,2.000,0.800,881,216,24.52,-3862.30,-880.80,2981.50,-4.3840,0.3264,3862.30,33,557,291,0
65,128,0,0.00040,0.200,0.400,2.000,0.800,938,592,63.11,-3871.64,-681.74,3189.90,-4.1275,0.3118,3873.19,4,629,305,0
66,68,0,0.00025,0.200,0.400,2.000,0.800,938,591,63.01,-3878.51,-696.11,3182.40,-4.1349,0.3120,3880.06,4,628,306,0
67,30,0,0.00015,0.550,0.700,2.000,0.800,881,216,24.52,-3888.36,-907.76,2980.60,-4.4136,0.3204,3888.36,33,558,290,0
68,97,0,0.00030,0.200,0.300,2.000,0.800,947,617,65.15,-3905.80,-684.30,3221.50,-4.1244,0.3140,3908.25,5,633,309,0
69,37,0,0.00020,0.200,0.300,2.000,0.800,945,615,65.08,-3910.69,-710.09,3200.60,-4.1383,0.3140,3913.24,3,633,309,0
70,99,0,0.00030,0.200,0.550,2.000,0.800,939,529,56.34,-3913.55,-722.65,3190.90,-4.1678,0.3064,3914.20,5,629,305,0
71,67,0,0.00025,0.200,0.300,2.000,0.800,944,614,65.04,-3917.86,-711.96,3205.90,-4.1503,0.3152,3920.31,4,630,310,0
72,57,0,0.00020,0.550,0.300,2.000,0.800,950,620,65.26,-3919.51,-703.11,3216.40,-4.1258,0.3105,3922.06,7,634,309,0
73,52,0,0.00020,0.400,0.300,2.000,0.800,950,620,65.26,-3920.72,-704.02,3216.70,-4.1271,0.3103,3923.27,6,635,309,0
74,100,0,0.00030,0.200,0.700,2.000,0.800,939,523,55.70,-3924.15,-733.05,3191.10,-4.1791,0.3065,3924.80,5,629,305,0
75,127,0,0.00040,0.200,0.300,2.000,0.800,946,617,65.22,-3925.99,-702.69,3223.30,-4.1501,0.3125,3928.44,4,633,309,0
76,159,0,0.00050,0.200,0.550,2.000,0.800,938,528,56.29,-3927.14,-727.44,3199.70,-4.1867,0.3054,3927.79,4,629,305,0
77,157,0,0.00050,0.200,0.300,2.000,0.800,947,616,65.05,-3931.24,-696.04,3235.20,-4.1513,0.3108,3933.69,4,634,309,0
78,117,0,0.00030,0.550,0.300,2.000,0.800,953,621,65.16,-3934.51,-693.81,3240.70,-4.1286,0.3094,3936.96,8,635,310,0
79,160,0,0.00050,0.200,0.700,2.000,0.800,938,522,55.65,-3936.14,-736.24,3199.90,-4.1963,0.3057,3936.79,4,629,305,0
80,129,0,0.00040,0.200,0.550,2.000,0.800,937,529,56.46,-3936.99,-748.39,3188.60,-4.2017,0.3067,3937.64,4,627,306,0
