rank,combo_id,TP_RR,SL_FRAC,TRAIL_FRAC,MFE_TRAIL_FRAC,n_trades,n_wins,WR_pct,net_usd,gross_usd,cost_usd,mean_net,PF,max_dd,tp_count,trail_count,sl_count,be_count,oos_trades,oos_wins,oos_WR_pct,oos_net_usd
1,46,2.00,0.60,0.20,0.40,958,567,59.19,-3709.04,-477.74,3231.30,-3.8716,0.3056,3710.69,9,597,352,0,227,132,58.15,-921.69
2,91,2.50,0.60,0.20,0.40,958,566,59.08,-3720.45,-488.85,3231.60,-3.8836,0.3059,3722.10,3,602,353,0,227,132,58.15,-915.77
3,136,3.00,0.60,0.20,0.40,958,566,59.08,-3737.25,-505.65,3231.60,-3.9011,0.3028,3738.90,0,605,353,0,227,132,58.15,-925.55
4,1,1.50,0.60,0.20,0.40,959,567,59.12,-3754.23,-519.22,3235.00,-3.9147,0.2999,3757.48,23,583,353,0,227,132,58.15,-924.35
5,48,2.00,0.60,0.30,0.30,969,588,60.68,-3760.06,-484.16,3275.90,-3.8804,0.3086,3762.61,14,597,358,0,228,132,57.89,-933.76
6,45,2.00,0.60,0.20,0.30,967,585,60.50,-3777.19,-508.19,3269.00,-3.9061,0.3069,3780.09,9,599,359,0,228,132,57.89,-928.54
7,90,2.50,0.60,0.20,0.30,967,584,60.39,-3789.40,-519.90,3269.50,-3.9187,0.3071,3792.30,3,604,360,0,228,132,57.89,-922.63
8,51,2.00,0.60,0.45,0.30,970,587,60.52,-3791.79,-510.89,3280.90,-3.9091,0.3064,3794.34,15,595,360,0,229,132,57.64,-950.61
9,141,3.00,0.60,0.45,0.30,972,589,60.60,-3803.91,-517.31,3286.60,-3.9135,0.3030,3806.46,2,610,360,0,229,132,57.64,-954.55
10,93,2.50,0.60,0.30,0.30,969,587,60.58,-3805.45,-529.35,3276.10,-3.9272,0.3029,3808.00,3,607,359,0,228,132,57.89,-936.47
11,135,3.00,0.60,0.20,0.30,967,584,60.39,-3806.20,-536.70,3269.50,-3.9361,0.3040,3809.10,0,607,360,0,228,132,57.89,-932.40
12,53,2.00,0.60,0.45,0.55,936,386,41.24,-3816.60,-659.80,3156.80,-4.0776,0.2820,3816.85,34,557,345,0,224,95,42.41,-1024.52
13,0,1.50,0.60,0.20,0.30,967,584,60.39,-3819.43,-549.62,3269.80,-3.9498,0.3019,3825.98,22,585,360,0,228,132,57.89,-928.01
14,138,3.00,0.60,0.30,0.30,969,587,60.58,-3823.15,-547.05,3276.10,-3.9455,0.2996,3825.70,0,610,359,0,228,132,57.89,-946.25
15,143,3.00,0.60,0.45,0.55,931,382,41.03,-3828.15,-687.35,3140.80,-4.1119,0.2816,3828.40,8,577,346,0,222,92,41.44,-1027.52
16,3,1.50,0.60,0.30,0.30,967,584,60.39,-3829.14,-558.63,3270.50,-3.9598,0.3004,3835.69,28,579,360,0,228,132,57.89,-938.82
17,6,1.50,0.60,0.45,0.30,967,584,60.39,-3829.64,-559.13,3270.50,-3.9603,0.3003,3836.19,28,579,360,0,228,132,57.89,-939.12
18,47,2.00,0.60,0.20,0.55,958,509,53.13,-3836.19,-604.79,3231.40,-4.0044,0.2955,3836.94,9,592,357,0,227,122,53.74,-938.04
19,96,2.50,0.60,0.45,0.30,970,585,60.31,-3837.53,-555.92,3281.60,-3.9562,0.3008,3840.08,6,603,361,0,229,132,57.64,-948.77
20,26,1.50,0.80,0.45,0.55,914,402,43.98,-3844.36,-749.16,3095.20,-4.2061,0.2889,3844.61,40,584,290,0,219,97,44.29,-1082.30
21,154,3.00,0.80,0.20,0.40,936,590,63.03,-3846.05,-683.25,3162.80,-4.1090,0.3137,3847.70,1,631,304,0,223,139,62.33,-1016.30
22,92,2.50,0.60,0.20,0.55,958,508,53.03,-3847.30,-615.40,3231.90,-4.0160,0.2959,3848.05,3,597,358,0,227,122,53.74,-932.12
23,98,2.50,0.60,0.45,0.55,934,383,41.01,-3849.85,-699.95,3149.90,-4.1219,0.2852,3850.10,19,566,349,0,224,93,41.52,-1034.90
24,109,2.50,0.80,0.20,0.40,936,590,63.03,-3853.35,-690.55,3162.80,-4.1168,0.3124,3855.00,1,631,304,0,223,139,62.33,-1016.30
25,8,1.50,0.60,0.45,0.55,938,383,40.83,-3855.14,-693.43,3161.70,-4.1100,0.2846,3855.39,78,511,349,0,223,93,41.70,-990.88
26,64,2.00,0.80,0.20,0.40,936,590,63.03,-3855.29,-692.49,3162.80,-4.1189,0.3121,3856.94,3,629,304,0,223,139,62.33,-1016.30
27,171,3.00,1.00,0.20,0.30,913,623,68.24,-3858.40,-763.10,3095.30,-4.2261,0.3283,3876.40,1,645,267,0,221,143,64.71,-1085.40
28,137,3.00,0.60,0.20,0.55,958,508,53.03,-3864.10,-632.20,3231.90,-4.0335,0.2929,3864.85,0,600,358,0,227,122,53.74,-941.90
29,126,2.50,1.00,0.20,0.30,913,623,68.24,-3867.27,-771.97,3095.30,-4.2358,0.3268,3885.27,1,645,267,0,221,143,64.71,-1085.40
30,19,1.50,0.80,0.20,0.40,936,590,63.03,-3867.58,-704.78,3162.80,-4.1320,0.3097,3869.23,12,620,304,0,223,139,62.33,-1014.64
31,36,1.50,1.00,0.20,0.30,913,623,68.24,-3868.70,-773.40,3095.30,-4.2373,0.3265,3886.70,6,640,267,0,221,143,64.71,-1077.62
32,2,1.50,0.60,0.20,0.55,958,508,53.03,-3882.35,-650.05,3232.30,-4.0526,0.2898,3883.41,23,577,358,0,227,122,53.74,-940.90
33,49,2.00,0.60,0.30,0.40,947,553,58.39,-3883.58,-687.88,3195.70,-4.1009,0.2824,3885.23,16,575,356,0,225,129,57.33,-984.71
34,174,3.00,1.00,0.30,0.30,915,625,68.31,-3886.40,-783.90,3102.50,-4.2474,0.3266,3903.70,1,646,268,0,222,143,64.41,-1127.35
35,116,2.50,0.80,0.45,0.55,910,398,43.74,-3889.25,-808.45,3080.80,-4.2739,0.2885,3889.50,8,609,293,0,219,95,43.38,-1092.30
36,129,2.50,1.00,0.30,0.30,915,625,68.31,-3891.07,-788.57,3102.50,-4.2525,0.3258,3908.37,2,645,268,0,222,143,64.41,-1127.35
37,81,2.00,1.00,0.20,0.30,914,623,68.16,-3896.85,-798.05,3098.80,-4.2635,0.3241,3914.85,1,645,268,0,221,143,64.71,-1085.40
38,114,2.50,0.80,0.45,0.30,950,620,65.26,-3900.65,-683.95,3216.70,-4.1059,0.3138,3903.20,4,637,309,0,225,138,61.33,-1068.25
39,153,3.00,0.80,0.20,0.30,945,615,65.08,-3901.45,-700.85,3200.60,-4.1285,0.3156,3904.00,1,635,309,0,224,139,62.05,-1015.25
40,108,2.50,0.80,0.20,0.30,945,615,65.08,-3908.75,-708.15,3200.60,-4.1362,0.3143,3911.30,1,635,309,0,224,139,62.05,-1015.25
41,161,3.00,0.80,0.45,0.55,908,394,43.39,-3909.75,-834.15,3075.60,-4.3059,0.2884,3910.00,4,610,294,0,219,95,43.38,-1093.30
42,50,2.00,0.60,0.30,0.55,944,380,40.25,-3909.79,-723.29,3186.50,-4.1417,0.2880,3910.04,23,565,356,0,223,93,41.70,-1005.72
