rank,combo_id,TP_RR,SL_FRAC,TRAIL_FRAC,MFE_TRAIL_FRAC,is_trades,is_net_usd,oos_trades,oos_wins,oos_WR_pct,oos_net_usd
1,91,2.50,0.60,0.20,0.40,958,-3720.45,227,132,58.15,-915.77
2,46,2.00,0.60,0.20,0.40,958,-3709.04,227,132,58.15,-921.69
3,90,2.50,0.60,0.20,0.30,967,-3789.40,228,132,57.89,-922.63
4,1,1.50,0.60,0.20,0.40,959,-3754.23,227,132,58.15,-924.35
5,136,3.00,0.60,0.20,0.40,958,-3737.25,227,132,58.15,-925.55
6,0,1.50,0.60,0.20,0.30,967,-3819.43,228,132,57.89,-928.01
7,45,2.00,0.60,0.20,0.30,967,-3777.19,228,132,57.89,-928.54
8,92,2.50,0.60,0.20,0.55,958,-3847.30,227,122,53.74,-932.12
9,135,3.00,0.60,0.20,0.30,967,-3806.20,228,132,57.89,-932.40
10,48,2.00,0.60,0.30,0.30,969,-3760.06,228,132,57.89,-933.76
11,93,2.50,0.60,0.30,0.30,969,-3805.45,228,132,57.89,-936.47
12,47,2.00,0.60,0.20,0.55,958,-3836.19,227,122,53.74,-938.04
13,3,1.50,0.60,0.30,0.30,967,-3829.14,228,132,57.89,-938.82
14,6,1.50,0.60,0.45,0.30,967,-3829.64,228,132,57.89,-939.12
15,2,1.50,0.60,0.20,0.55,958,-3882.35,227,122,53.74,-940.90
16,137,3.00,0.60,0.20,0.55,958,-3864.10,227,122,53.74,-941.90
17,138,3.00,0.60,0.30,0.30,969,-3823.15,228,132,57.89,-946.25
18,96,2.50,0.60,0.45,0.30,970,-3837.53,229,132,57.64,-948.77
19,51,2.00,0.60,0.45,0.30,970,-3791.79,229,132,57.64,-950.61
20,141,3.00,0.60,0.45,0.30,972,-3803.91,229,132,57.64,-954.55
21,7,1.50,0.60,0.45,0.40,949,-3944.02,225,129,57.33,-982.95
22,49,2.00,0.60,0.30,0.40,947,-3883.58,225,129,57.33,-984.71
23,94,2.50,0.60,0.30,0.40,947,-3935.20,225,129,57.33,-987.42
24,4,1.50,0.60,0.30,0.40,949,-3921.52,225,129,57.33,-987.78
25,8,1.50,0.60,0.45,0.55,938,-3855.14,223,93,41.70,-990.88
26,139,3.00,0.60,0.30,0.40,947,-3952.90,225,129,57.33,-997.20
27,50,2.00,0.60,0.30,0.55,944,-3909.79,223,93,41.70,-1005.72
28,52,2.00,0.60,0.45,0.40,950,-3955.73,227,130,57.27,-1006.33
29,97,2.50,0.60,0.45,0.40,950,-4007.93,227,130,57.27,-1006.87
30,140,3.00,0.60,0.30,0.55,942,-3988.77,221,92,41.63,-1007.62
31,142,3.00,0.60,0.45,0.40,950,-3976.76,227,130,57.27,-1012.65
32,18,1.50,0.80,0.20,0.30,945,-3922.78,224,139,62.05,-1013.59
33,19,1.50,0.80,0.20,0.40,936,-3867.58,223,139,62.33,-1014.64
34,108,2.50,0.80,0.20,0.30,945,-3908.75,224,139,62.05,-1015.25
35,63,2.00,0.80,0.20,0.30,945,-3910.69,224,139,62.05,-1015.25
36,153,3.00,0.80,0.20,0.30,945,-3901.45,224,139,62.05,-1015.25
