kind,sb,hb,n,n_wins,sum_winner,sum_loser
J,0,0,0,0,0,0
J,0,1,0,0,0,0
J,0,2,0,0,0,0
J,0,3,0,0,0,0
J,0,4,0,0,0,0
J,0,5,0,0,0,0
J,0,6,0,0,0,0
J,0,7,0,0,0,0
J,0,8,0,0,0,0
J,0,9,1,1,2.4665,0
J,0,10,0,0,0,0
J,0,11,0,0,0,0
J,0,12,3,2,3.616,-6.801
J,0,13,1,1,2.4545,0
J,0,14,4,2,4.9895,-13.792
J,0,15,0,0,0,0
J,0,16,0,0,0,0
J,0,17,2,1,2.5,-6.3915
J,0,18,0,0,0,0
J,0,19,2,2,7.09,0
J,0,20,1,1,5.455,0
J,0,21,0,0,0,0
J,0,22,0,0,0,0
J,0,23,0,0,0,0
J,1,0,0,0,0,0
J,1,1,0,0,0,0
J,1,2,0,0,0,0
J,1,3,0,0,0,0
J,1,4,0,0,0,0
J,1,5,0,0,0,0
J,1,6,0,0,0,0
J,1,7,0,0,0,0
J,1,8,0,0,0,0
J,1,9,0,0,0,0
J,1,10,0,0,0,0
J,1,11,0,0,0,0
J,1,12,10,10,29.373,0
J,1,13,1,1,4.245,0
J,1,14,2,2,8.503,0
J,1,15,2,0,0,-14.3125
J,1,16,1,0,0,-6.9515
J,1,17,0,0,0,0
J,1,18,0,0,0,0
J,1,19,0,0,0,0
J,1,20,1,0,0,-7.9005
J,1,21,0,0,0,0
J,1,22,0,0,0,0
J,1,23,0,0,0,0
J,2,0,0,0,0,0
J,2,1,0,0,0,0
J,2,2,0,0,0,0
J,2,3,0,0,0,0
J,2,4,0,0,0,0
J,2,5,0,0,0,0
J,2,6,0,0,0,0
J,2,7,0,0,0,0
J,2,8,0,0,0,0
J,2,9,0,0,0,0
J,2,10,0,0,0,0
J,2,11,0,0,0,0
J,2,12,5,3,17.838,-16.134
J,2,13,2,1,2.1515,-7.495
J,2,14,0,0,0,0
J,2,15,0,0,0,0
J,2,16,0,0,0,0
J,2,17,0,0,0,0
J,2,18,1,1,2.453,0
J,2,19,0,0,0,0
J,2,20,0,0,0,0
J,2,21,0,0,0,0
J,2,22,0,0,0,0
J,2,23,0,0,0,0
J,3,0,0,0,0,0
J,3,1,0,0,0,0
J,3,2,0,0,0,0
J,3,3,0,0,0,0
J,3,4,0,0,0,0
J,3,5,0,0,0,0
J,3,6,0,0,0,0
J,3,7,0,0,0,0
J,3,8,0,0,0,0
J,3,9,0,0,0,0
J,3,10,0,0,0,0
J,3,11,0,0,0,0
J,3,12,2,1,2.41,-8.006
J,3,13,1,0,0,-6.7475
J,3,14,0,0,0,0
J,3,15,0,0,0,0
J,3,16,0,0,0,0
J,3,17,0,0,0,0
J,3,18,0,0,0,0
J,3,19,0,0,0,0
J,3,20,0,0,0,0
J,3,21,0,0,0,0
J,3,22,0,0,0,0
J,3,23,0,0,0,0
J,4,0,0,0,0,0
J,4,1,0,0,0,0
J,4,2,0,0,0,0
J,4,3,0,0,0,0
J,4,4,0,0,0,0
J,4,5,0,0,0,0
J,4,6,0,0,0,0
J,4,7,0,0,0,0
J,4,8,0,0,0,0
J,4,9,0,0,0,0
J,4,10,0,0,0,0
J,4,11,0,0,0,0
J,4,12,0,0,0,0
J,4,13,2,2,4.849,0
J,4,14,1,0,0,-8.3
J,4,15,0,0,0,0
J,4,16,0,0,0,0
J,4,17,0,0,0,0
J,4,18,0,0,0,0
J,4,19,0,0,0,0
J,4,20,0,0,0,0
J,4,21,0,0,0,0
J,4,22,0,0,0,0
J,4,23,0,0,0,0
J,5,0,0,0,0,0
J,5,1,0,0,0,0
J,5,2,0,0,0,0
J,5,3,0,0,0,0
J,5,4,0,0,0,0
J,5,5,0,0,0,0
J,5,6,0,0,0,0
J,5,7,0,0,0,0
J,5,8,0,0,0,0
J,5,9,0,0,0,0
J,5,10,0,0,0,0
J,5,11,0,0,0,0
J,5,12,0,0,0,0
J,5,13,0,0,0,0
J,5,14,0,0,0,0
J,5,15,0,0,0,0
J,5,16,0,0,0,0
J,5,17,0,0,0,0
J,5,18,0,0,0,0
J,5,19,0,0,0,0
J,5,20,0,0,0,0
J,5,21,0,0,0,0
J,5,22,0,0,0,0
J,5,23,0,0,0,0
S,0,-1,14,10,28.5715,-26.9845
S,1,-1,17,13,42.121,-29.1645
S,2,-1,8,5,22.4425,-23.629
S,3,-1,3,1,2.41,-14.7535
S,4,-1,3,2,4.849,-8.3
S,5,-1,0,0,0,0
G,-1,-1,45,31,100.394,-102.831
