ts_ms_entry,ts_ms_exit,side,entry_price,exit_price,exit_reason,duration_s,gross_pts,gross_usd,spread_at_entry_pts,modeled_cost_usd,net_usd,hour_utc,vol_regime
1709737490521,1709737581014,S,2134.440,2141.546,SL_HIT,91,-7.1060,-7.1060,0.5100,1.6800,-8.7860,15,2
1709904608859,1709904639495,S,2156.960,2164.455,SL_HIT,31,-7.4950,-7.4950,0.6600,1.9800,-9.4750,13,2
1710246760785,1710247143746,L,2175.186,2177.658,TRAIL_HIT,383,2.4715,2.4715,0.4920,1.6440,0.8275,12,2
1711532652885,1711537300267,L,2193.128,2195.595,TRAIL_HIT,4648,2.4665,2.4665,0.4210,1.5020,0.9645,9,2
1711658961021,1711659043680,L,2234.249,2226.348,SL_HIT,82,-7.9005,-7.9005,0.5110,1.6820,-9.5825,20,2
1712066619119,1712068092147,L,2273.551,2276.045,TRAIL_HIT,1473,2.4945,2.4945,0.2410,1.1420,1.3525,14,2
1712257328268,1712257336482,S,2295.271,2292.975,TRAIL_HIT,8,2.2965,2.2965,0.3670,1.3940,0.9025,19,2
1712320206000,1712320239807,S,2286.886,2284.396,TRAIL_HIT,33,2.4895,2.4895,0.3970,1.4540,1.0355,12,2
1712752206847,1712752247271,S,2340.975,2335.385,TRAIL_HIT,41,5.5900,5.5900,0.5570,1.7740,3.8160,12,2
1712770299831,1712770469350,L,2341.345,2343.845,TRAIL_HIT,170,2.5000,2.5000,0.4400,1.5400,0.9600,17,2
1712935911240,1712935954131,S,2382.209,2389.415,SL_HIT,43,-7.2065,-7.2065,0.5570,1.7740,-8.9805,15,2
1713387056311,1713387135458,S,2362.730,2357.275,TRAIL_HIT,79,5.4550,5.4550,0.4910,1.6420,3.8130,20,2
1713447360477,1713447892706,S,2378.769,2376.315,TRAIL_HIT,532,2.4545,2.4545,0.3970,1.4540,1.0005,13,2
1714739402778,1714739472579,L,2307.055,2317.835,TRAIL_HIT,70,10.7800,10.7800,0.9270,2.5140,8.2660,12,2
1714743146662,1714743216970,S,2291.460,2287.215,TRAIL_HIT,70,4.2450,4.2450,0.5400,1.7400,2.5050,13,2
1714744804702,1714744829095,L,2301.495,2293.195,SL_HIT,25,-8.3000,-8.3000,2.3640,5.3880,-13.6880,14,2
1715776204039,1715776208463,L,2371.827,2374.195,TRAIL_HIT,4,2.3685,2.3685,1.0870,2.8340,-0.4655,12,2
1717423210135,1717425629583,L,2342.260,2344.755,TRAIL_HIT,2419,2.4950,2.4950,0.4900,1.6400,0.8550,14,2
1717763404374,1717763421692,S,2325.615,2320.645,TRAIL_HIT,17,4.9700,4.9700,0.6610,1.9820,2.9880,12,2
1718195409131,1718195611169,L,2325.538,2327.984,TRAIL_HIT,202,2.4465,2.4465,2.0270,4.7140,-2.2675,12,2
1718281809496,1718281834747,L,2316.275,2318.745,TRAIL_HIT,25,2.4700,2.4700,0.4110,1.4820,0.9880,12,2
1720182602092,1720182603416,S,2352.411,2351.102,TRAIL_HIT,1,1.3090,1.3090,0.1000,0.8600,0.4490,12,2
1720701001777,1720701018580,L,2389.417,2393.985,TRAIL_HIT,17,4.5685,4.5685,0.7220,2.1040,2.4645,12,2
1721910606276,1721910913061,S,2367.110,2364.615,TRAIL_HIT,307,2.4950,2.4950,0.8770,2.4140,0.0810,12,2
1722358921184,1722359104212,L,2410.979,2404.588,SL_HIT,183,-6.3915,-6.3915,0.4900,1.6400,-8.0315,17,2
