ts_ms,ts_iso,direction,entry_price,bracket_hi,bracket_lo,range_at_fire,spread_at_entry,l2_imb_at_entry,px_5s,fav_5s,px_17s,fav_17s,px_30s,fav_30s,px_60s,fav_60s
1776861011465,2026-04-22T12:30:11+00:00,SHORT,4750.65,4760.0,4750.65,9.350000000000364,0.22000000000025466,0.4982,4750.780,-0.130,4750.550,0.100,4749.940,0.710,4749.810,0.840
1776861012681,2026-04-22T12:30:12+00:00,SHORT,4750.139999999999,4760.0,4750.139999999999,9.860000000000582,0.22000000000025466,0.4936,4750.640,-0.500,4750.470,-0.330,4749.970,0.170,4749.800,0.340
1776861039555,2026-04-22T12:30:39+00:00,SHORT,4750.139999999999,4760.0,4750.139999999999,9.860000000000582,0.22000000000025466,0.4981,4749.630,0.510,4749.480,0.660,4749.560,0.580,4750.470,-0.330
1776861041504,2026-04-22T12:30:41+00:00,SHORT,4750.02,4760.0,4750.02,9.979999999999563,0.22000000000025466,0.5,4749.200,0.820,4749.390,0.630,4749.810,0.210,4750.490,-0.470
1776861042698,2026-04-22T12:30:42+00:00,SHORT,4750.02,4760.0,4750.02,9.979999999999563,0.21999999999934516,0.5,4749.380,0.640,4749.540,0.480,4749.800,0.220,4750.420,-0.400
1776861043865,2026-04-22T12:30:43+00:00,SHORT,4749.83,4760.0,4749.83,10.170000000000073,0.21999999999934516,0.4926,4749.430,0.400,4750.190,-0.360,4749.930,-0.100,4750.070,-0.240
1776861045137,2026-04-22T12:30:45+00:00,SHORT,4749.5599999999995,4760.0,4749.5599999999995,10.44000000000051,0.22000000000025466,0.492,4749.140,0.420,4749.870,-0.310,4750.070,-0.510,4750.050,-0.490
1776861046509,2026-04-22T12:30:46+00:00,SHORT,4749.25,4760.0,4749.25,10.75,0.22000000000025466,0.4995,4749.750,-0.500,4749.860,-0.610,4749.910,-0.660,4749.930,-0.680
1776861049457,2026-04-22T12:30:49+00:00,SHORT,4749.25,4760.0,4749.25,10.75,0.22000000000025466,0.4516,4749.720,-0.470,4748.980,0.270,4749.840,-0.590,4749.920,-0.670
1776861066167,2026-04-22T12:31:06+00:00,SHORT,4749.139999999999,4760.0,4749.139999999999,10.860000000000582,0.22000000000025466,0.5044,4749.790,-0.650,4750.200,-1.060,4750.000,-0.860,4751.470,-2.330
1776863375440,2026-04-22T13:09:35+00:00,LONG,4750.360000000001,4750.360000000001,4739.0,11.360000000000582,0.22000000000025466,0.5005,4745.590,-4.770,4744.500,-5.860,4743.640,-6.720,4742.880,-7.480
1776864004463,2026-04-22T13:20:04+00:00,LONG,4746.09,4746.09,4736.469999999999,9.6200000000008,0.22000000000025466,0.5,4743.350,-2.740,4742.070,-4.020,4743.540,-2.550,4742.930,-3.160
1776868549271,2026-04-22T14:35:49+00:00,SHORT,4730.6,4739.6900000000005,4730.6,9.090000000000146,0.22000000000025466,0.5,4732.430,-1.830,4733.380,-2.780,4732.460,-1.860,4730.700,-0.100
1776868609078,2026-04-22T14:36:49+00:00,SHORT,4730.57,4739.6900000000005,4730.57,9.1200000000008,0.22000000000025466,0.5,4731.960,-1.390,4731.970,-1.400,4730.520,0.050,4734.880,-4.310
1776945706077,2026-04-23T12:01:46+00:00,LONG,4730.13,4730.13,4720.030000000001,10.099999999999454,0.22000000000025466,0.5758,4730.970,0.840,4730.050,-0.080,4730.550,0.420,4730.630,0.500
1776945707559,2026-04-23T12:01:47+00:00,LONG,4730.13,4730.13,4720.030000000001,10.099999999999454,0.21999999999934516,0.4978,4732.030,1.900,4730.280,0.150,4730.620,0.490,4731.060,0.930
1776945708759,2026-04-23T12:01:48+00:00,LONG,4730.15,4730.15,4720.030000000001,10.119999999998981,0.22000000000025466,0.5146,4730.910,0.760,4729.980,-0.170,4730.680,0.530,4731.580,1.430
1776945710016,2026-04-23T12:01:50+00:00,LONG,4730.35,4730.35,4720.030000000001,10.319999999999709,0.22000000000025466,0.5072,4731.750,1.400,4730.410,0.060,4730.830,0.480,4731.520,1.170
1776945711212,2026-04-23T12:01:51+00:00,LONG,4730.76,4730.76,4720.030000000001,10.729999999999563,0.22000000000025466,0.4882,4731.730,0.970,4730.350,-0.410,4730.520,-0.240,4731.100,0.340
1776945712507,2026-04-23T12:01:52+00:00,LONG,4731.889999999999,4731.889999999999,4720.030000000001,11.859999999998763,0.22000000000025466,0.5264,4730.950,-0.940,4730.410,-1.480,4730.960,-0.930,4730.830,-1.060
1776945769468,2026-04-23T12:02:49+00:00,LONG,4732.0599999999995,4732.0599999999995,4720.280000000001,11.779999999998836,0.21999999999934516,0.5027,4731.160,-0.900,4731.980,-0.080,4731.270,-0.790,4729.680,-2.380
1776948377877,2026-04-23T12:46:17+00:00,SHORT,4732.469999999999,4742.389999999999,4732.469999999999,9.920000000000073,0.22000000000025466,0.5,4733.400,-0.930,4732.490,-0.020,4734.440,-1.970,4735.790,-3.320
1776949321314,2026-04-23T13:02:01+00:00,SHORT,4731.67,4740.85,4731.67,9.180000000000291,0.22000000000025466,0.4914,4731.700,-0.030,4731.940,-0.270,4730.760,0.910,4732.640,-0.970
1776949322556,2026-04-23T13:02:02+00:00,SHORT,4731.280000000001,4740.85,4731.280000000001,9.569999999999709,0.22000000000025466,0.5255,4731.240,0.040,4731.440,-0.160,4730.510,0.770,4733.080,-1.800
1776949323807,2026-04-23T13:02:03+00:00,SHORT,4730.74,4740.85,4730.74,10.110000000000582,0.22000000000025466,0.5111,4731.790,-1.050,4731.420,-0.680,4730.060,0.680,4733.630,-2.890
1776949347763,2026-04-23T13:02:27+00:00,SHORT,4730.74,4740.85,4730.74,10.110000000000582,0.21999999999934516,0.4992,4730.520,0.220,4730.250,0.490,4731.300,-0.560,4733.920,-3.180
1776952849724,2026-04-23T14:00:49+00:00,SHORT,4719.79,4729.280000000001,4719.79,9.490000000000691,0.22000000000025466,0.4737,4719.070,0.720,4720.800,-1.010,4720.250,-0.460,4719.110,0.680
