ts,o,h,l,c,v
1776199916,4901.2,4902.0,4900.0,4900.5,666.0
1776204000,4899.6,4911.3,4893.2,4895.6,9925.0
1776207600,4895.7,4905.2,4893.9,4897.9,9312.0
1776211200,4897.9,4900.5,4887.5,4896.3,11758.0
1776214800,4896.0,4932.1,4888.8,4907.1,30091.0
1776218400,4906.8,4913.6,4880.5,4884.2,18920.0
1776222000,4884.3,4890.0,4877.0,4884.1,10450.0
1776225600,4884.1,4887.9,4880.6,4885.4,5213.0
1776229200,4885.0,4890.5,4871.9,4879.5,12579.0
1776232800,4879.5,4884.7,4870.0,4871.1,10963.0
1776236400,4871.1,4876.0,4863.3,4870.1,12803.0
1776240000,4869.9,4881.1,4862.8,4877.5,10787.0
1776243600,4877.7,4878.6,4844.4,4856.5,19260.0
1776247200,4856.7,4864.6,4848.7,4858.7,11493.0
1776250800,4859.1,4873.9,4854.2,4871.2,11399.0
1776254400,4871.0,4874.8,4865.4,4869.7,12730.0
1776258000,4869.8,4889.6,4866.9,4888.4,24253.0
1776261600,4888.0,4890.4,4872.1,4874.6,20906.0
1776265200,4874.7,4875.3,4844.7,4859.8,28897.0
1776268800,4859.8,4870.7,4858.1,4862.1,14622.0
1776272400,4862.2,4866.8,4848.8,4850.7,14335.0
1776276000,4850.7,4860.6,4847.9,4858.1,10392.0
1776279600,4858.3,4862.3,4853.0,4854.5,6860.0
1776283200,4854.6,4855.3,4846.1,4849.4,4788.0
1776290400,4849.5,4869.5,4847.9,4865.1,8580.0
1776294000,4865.3,4884.8,4865.1,4881.5,9756.0
1776297600,4881.2,4895.9,4877.4,4891.0,17708.0
1776301200,4891.1,4894.7,4869.0,4876.3,16744.0
1776304800,4876.3,4883.2,4870.7,4878.2,10994.0
1776308400,4878.0,4885.7,4877.2,4882.5,7545.0
1776312000,4882.4,4892.3,4881.3,4891.8,5845.0
1776315600,4892.0,4897.4,4879.6,4880.0,12723.0
1776319200,4879.9,4888.3,4872.3,4884.0,16531.0
1776322800,4884.0,4889.1,4874.6,4878.6,12859.0
1776326400,4878.8,4879.7,4863.4,4871.0,12440.0
1776330000,4871.0,4875.5,4863.6,4870.2,9291.0
1776333600,4870.1,4874.7,4861.9,4874.5,8004.0
1776337200,4874.8,4880.6,4872.2,4879.9,7464.0
1776340800,4880.1,4881.1,4868.8,4873.9,12165.0
1776344400,4874.0,4882.6,4840.9,4851.9,31814.0
1776348000,4851.7,4864.2,4828.2,4846.2,35547.0
1776351600,4846.1,4870.9,4845.4,4864.6,24742.0
1776355200,4864.9,4867.4,4841.8,4848.8,15891.0
1776358800,4848.7,4852.5,4837.7,4846.1,13917.0
1776362400,4846.1,4851.8,4842.5,4846.3,7791.0
1776366000,4846.3,4855.7,4846.0,4850.6,6057.0
1776369600,4850.7,4851.0,4841.4,4846.4,3806.0
1776376800,4847.0,4854.9,4847.0,4851.5,6789.0
1776380400,4851.5,4854.5,4848.2,4848.2,5805.0
1776384000,4848.1,4858.4,4842.2,4851.9,10044.0
1776387600,4851.7,4852.5,4823.2,4845.6,24882.0
1776391200,4845.4,4851.3,4839.8,4840.5,9343.0
1776394800,4840.2,4855.0,4840.2,4849.7,8221.0
1776398400,4849.7,4862.2,4849.1,4859.9,6173.0
1776402000,4859.8,4863.4,4851.0,4851.7,9040.0
1776405600,4851.6,4852.7,4835.8,4841.5,12564.0
1776409200,4841.8,4851.2,4836.2,4841.5,11490.0
1776412800,4841.6,4854.5,4838.2,4853.6,9030.0
1776416400,4853.6,4858.7,4847.7,4848.4,9037.0
1776420000,4848.4,4852.0,4839.7,4844.8,7402.0
1776423600,4844.9,4870.1,4841.2,4857.7,12363.0
1776427200,4857.7,4906.8,4855.8,4905.3,35635.0
