Omega Sweep Harness S51 X3 -- pairwise 2-factor (490 combos/engine)
ticks: /Users/jo/Tick/duka_ticks/XAUUSD_2024-03_2026-04_combined.csv
n_ticks: 154265439
wall_time: 1235.3s (20.6 min)

========== HBG top-50 by score ==========
combo  min_range max_range sl_frac   tp_rr     trail_frac  trades   wr%  total_pnl   stddev_q      score
261    6.0000    25.3984   0.4200    1.5874    0.2500         49  63.3       0.56     0.2825     0.4377
247    6.0000    16.0000   0.4200    1.5874    0.2500         41  63.4       0.48     0.1469     0.4221
28     7.5595    16.0000   0.4200    2.0000    0.2500         31  64.5       0.39     0.0767     0.3652
212    6.0000    25.3984   0.3334    2.0000    0.2500         49  53.1       0.46     0.3119     0.3527
0      3.0000    16.0000   0.4200    2.0000    0.2500         53  62.3       0.40     0.1368     0.3504
314    6.0000    25.3984   0.4200    2.0000    0.5000         49  61.2       0.46     0.3096     0.3483
23     6.0000    25.3984   0.4200    2.0000    0.2500         49  61.2       0.46     0.3096     0.3483
313    6.0000    25.3984   0.4200    2.0000    0.3969         49  61.2       0.46     0.3096     0.3483
312    6.0000    25.3984   0.4200    2.0000    0.3150         49  61.2       0.46     0.3096     0.3483
311    6.0000    25.3984   0.4200    2.0000    0.2500         49  61.2       0.46     0.3096     0.3483
310    6.0000    25.3984   0.4200    2.0000    0.1984         49  61.2       0.46     0.3096     0.3483
309    6.0000    25.3984   0.4200    2.0000    0.1575         49  61.2       0.46     0.3096     0.3483
262    6.0000    25.3984   0.4200    2.0000    0.2500         49  61.2       0.46     0.3096     0.3483
213    6.0000    25.3984   0.4200    2.0000    0.2500         49  61.2       0.46     0.3096     0.3483
308    6.0000    25.3984   0.4200    2.0000    0.1250         49  61.2       0.46     0.3149     0.3462
259    6.0000    25.3984   0.4200    1.0000    0.2500         48  70.8       0.44     0.2818     0.3462
245    6.0000    16.0000   0.4200    1.0000    0.2500         40  70.0       0.39     0.1228     0.3442
295    6.0000    16.0000   0.4200    2.0000    0.1575         41  61.0       0.37     0.1257     0.3298
296    6.0000    16.0000   0.4200    2.0000    0.1984         41  61.0       0.37     0.1257     0.3298
298    6.0000    16.0000   0.4200    2.0000    0.3150         41  61.0       0.37     0.1257     0.3298
299    6.0000    16.0000   0.4200    2.0000    0.3969         41  61.0       0.37     0.1257     0.3298
21     6.0000    16.0000   0.4200    2.0000    0.2500         41  61.0       0.37     0.1257     0.3298
300    6.0000    16.0000   0.4200    2.0000    0.5000         41  61.0       0.37     0.1257     0.3298
199    6.0000    16.0000   0.4200    2.0000    0.2500         41  61.0       0.37     0.1257     0.3298
248    6.0000    16.0000   0.4200    2.0000    0.2500         41  61.0       0.37     0.1257     0.3298
297    6.0000    16.0000   0.4200    2.0000    0.2500         41  61.0       0.37     0.1257     0.3298
42     12.0000   16.0000   0.4200    2.0000    0.2500         11  72.7       0.36     0.1195     0.3190
246    6.0000    16.0000   0.4200    1.2599    0.2500         41  63.4       0.36     0.1332     0.3175
294    6.0000    16.0000   0.4200    2.0000    0.1250         41  61.0       0.34     0.1147     0.3087
14     4.7622    16.0000   0.4200    2.0000    0.2500         43  58.1       0.33     0.1102     0.2999
211    6.0000    25.3984   0.2646    2.0000    0.2500         49  53.1       0.35     0.2661     0.2783
7      3.7798    16.0000   0.4200    2.0000    0.2500         50  60.0       0.30     0.0963     0.2717
197    6.0000    16.0000   0.2646    2.0000    0.2500         41  53.7       0.30     0.0942     0.2708
260    6.0000    25.3984   0.4200    1.2599    0.2500         49  63.3       0.33     0.2328     0.2699
