event_ts_unix,event_ts_utc,event_utc_weekday,symbol,side,entry_px,tp,sl,verdict,reason
1773732563,"2026-03-17T07:29:23Z","Tue","US500.F","LONG",6681.3750,6761.5515,6654.6495,"BLOCKED","min_breakout_gate"
1773732582,"2026-03-17T07:29:42Z","Tue","EURUSD","LONG",1.1494,1.1504,1.1490,"BLOCKED","momentum_gate"
1773732613,"2026-03-17T07:30:13Z","Tue","NAS100","LONG",24568.6500,24863.4738,24470.3754,"BLOCKED","min_breakout_gate"
1773732614,"2026-03-17T07:30:14Z","Tue","USTEC.F","LONG",24585.5450,24880.5715,24487.2028,"BLOCKED","min_breakout_gate"
1773732615,"2026-03-17T07:30:15Z","Tue","DJ30.F","LONG",46826.0000,47387.9120,46638.6960,"BLOCKED","min_breakout_gate"
1773732615,"2026-03-17T07:30:15Z","Tue","US500.F","LONG",6681.8750,6762.0575,6655.1475,"BLOCKED","min_breakout_gate"
1773732617,"2026-03-17T07:30:17Z","Tue","ESTX50","LONG",5720.0500,5788.6906,5697.1698,"BLOCKED","min_breakout_gate"
1773732627,"2026-03-17T07:30:27Z","Tue","USOIL.F","SHORT",96.6405,95.1909,97.1237,"BLOCKED","min_breakout_gate"
1773732636,"2026-03-17T07:30:36Z","Tue","GOLD.F","LONG",5021.2950,5061.4654,5001.2098,"BLOCKED","can_enter"
1773732657,"2026-03-17T07:30:57Z","Tue","XAGUSD","LONG",81.3170,81.9675,80.9917,"BLOCKED","min_breakout_gate"
1773732658,"2026-03-17T07:30:58Z","Tue","USOIL.F","LONG",96.8505,98.3033,96.3662,"BLOCKED","min_breakout_gate"
1773734389,"2026-03-17T07:59:49Z","Tue","UK100","LONG",10309.0000,10432.7080,10267.7640,"BLOCKED","min_breakout_gate"
1773734404,"2026-03-17T08:00:04Z","Tue","NAS100","LONG",24547.6500,24842.2218,24449.4594,"BLOCKED","min_breakout_gate"
1773734407,"2026-03-17T08:00:07Z","Tue","UK100","SHORT",10307.1000,10183.4148,10348.3284,"BLOCKED","min_breakout_gate"
1773734409,"2026-03-17T08:00:09Z","Tue","USTEC.F","LONG",24564.6750,24859.4511,24466.4163,"BLOCKED","min_breakout_gate"
1773734415,"2026-03-17T08:00:15Z","Tue","UK100","LONG",10317.6500,10441.4618,10276.3794,"BLOCKED","min_breakout_gate"
1773734417,"2026-03-17T08:00:17Z","Tue","GOLD.F","LONG",5025.7450,5065.9510,5005.6420,"BLOCKED","can_enter"
1773734418,"2026-03-17T08:00:18Z","Tue","XAGUSD","LONG",81.0420,81.6903,80.7178,"BLOCKED","min_breakout_gate"
