entry_ts_unix,entry_ts_utc,entry_utc_weekday,exit_ts_unix,exit_ts_utc,exit_utc_weekday,symbol,side,entry_px,exit_px,tp,sl,pnl,hold_sec,verdict,reason,exit_reason
1773734843,"2026-03-17T08:07:23Z","Tue",1773735443,"2026-03-17T08:17:23Z","Tue","USTEC.F","LONG",24567.0450,24561.4250,24861.8495,24468.7768,-5.6200,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773734864,"2026-03-17T08:07:44Z","Tue",1773735464,"2026-03-17T08:17:44Z","Tue","ESTX50","LONG",5726.5500,5724.3000,5795.2686,5703.6438,-2.2500,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773734876,"2026-03-17T08:07:56Z","Tue",1773735477,"2026-03-17T08:17:57Z","Tue","DJ30.F","LONG",46818.9500,46815.4500,47380.7774,46631.6742,-3.5000,601,"BLOCKED","min_breakout_gate","TIMEOUT"
1773734966,"2026-03-17T08:09:26Z","Tue",1773735566,"2026-03-17T08:19:26Z","Tue","ESTX50","SHORT",5725.4500,5728.0000,5656.7446,5748.3518,-2.5500,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773734970,"2026-03-17T08:09:30Z","Tue",1773735570,"2026-03-17T08:19:30Z","Tue","UK100","SHORT",10328.4000,10340.5000,10204.4592,10369.7136,-12.1000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735209,"2026-03-17T08:13:29Z","Tue",1773735572,"2026-03-17T08:19:32Z","Tue","USOIL.F","SHORT",97.2955,97.7820,95.8361,97.7820,-486.4775,363,"BLOCKED","min_breakout_gate","SL_HIT"
1773735016,"2026-03-17T08:10:16Z","Tue",1773735616,"2026-03-17T08:20:16Z","Tue","UK100","LONG",10332.2000,10343.0500,10456.1864,10290.8712,10.8500,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735049,"2026-03-17T08:10:49Z","Tue",1773735649,"2026-03-17T08:20:49Z","Tue","USOIL.F","LONG",97.4305,97.8355,98.8920,96.9433,405.0000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735054,"2026-03-17T08:10:54Z","Tue",1773735654,"2026-03-17T08:20:54Z","Tue","UK100","SHORT",10326.5000,10335.1000,10202.5820,10367.8060,-8.6000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735057,"2026-03-17T08:10:57Z","Tue",1773735657,"2026-03-17T08:20:57Z","Tue","DJ30.F","SHORT",46791.4500,46815.9500,46229.9526,46978.6158,-24.5000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735327,"2026-03-17T08:15:27Z","Tue",1773735687,"2026-03-17T08:21:27Z","Tue","EURUSD","SHORT",1.1489,1.1493,1.1479,1.1493,-45.9542,360,"BLOCKED","momentum_gate","SL_HIT"
1773735155,"2026-03-17T08:12:35Z","Tue",1773735755,"2026-03-17T08:22:35Z","Tue","NAS100","SHORT",24533.8500,24553.5000,24239.4438,24631.9854,-19.6500,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735177,"2026-03-17T08:12:57Z","Tue",1773735777,"2026-03-17T08:22:57Z","Tue","NAS100","LONG",24538.4500,24556.8500,24832.9114,24440.2962,18.4000,600,"BLOCKED","momentum_gate","TIMEOUT"
1773735179,"2026-03-17T08:12:59Z","Tue",1773735779,"2026-03-17T08:22:59Z","Tue","USTEC.F","LONG",24554.9250,24572.5450,24849.5841,24456.7053,17.6200,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735180,"2026-03-17T08:13:00Z","Tue",1773735780,"2026-03-17T08:23:00Z","Tue","UK100","LONG",10331.8000,10337.3000,10455.7816,10290.4728,5.5000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735182,"2026-03-17T08:13:02Z","Tue",1773735782,"2026-03-17T08:23:02Z","Tue","US500.F","LONG",6676.1250,6678.6250,6756.2385,6649.4205,2.5000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735187,"2026-03-17T08:13:07Z","Tue",1773735787,"2026-03-17T08:23:07Z","Tue","DJ30.F","LONG",46806.4500,46819.4500,47368.1274,46619.2242,13.0000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735190,"2026-03-17T08:13:10Z","Tue",1773735790,"2026-03-17T08:23:10Z","Tue","DJ30.F","LONG",46814.9500,46815.4500,47376.7294,46627.6902,0.5000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735191,"2026-03-17T08:13:11Z","Tue",1773735791,"2026-03-17T08:23:11Z","Tue","US500.F","LONG",6677.2450,6677.8750,6757.3719,6650.5360,0.6300,600,"BLOCKED","min_breakout_gate","TIMEOUT"
