entry_ts_unix,exit_ts_unix,symbol,side,engine,entry,exit,gross_pnl,mfe,mae,exit_reason,hold_sec,spread_at_entry,confluence_score
1760662800,1760665392,XAUUSD,LONG,XauTrendFollow2h_2h_Keltner_K2_sl2.0tp4.0,4357.85,4301.32,-0.565361,4.525,57.3,SL_HIT,2592,0,0
1760662800,1760665392,XAUUSD,LONG,XauTrendFollow2h_2h_Donchian_N20_sl2.0tp4.0,4357.85,4301.32,-0.565361,4.525,57.3,SL_HIT,2592,0,0
1760662800,1760665392,XAUUSD,LONG,XauTrendFollow2h_2h_Donchian_N50_sl2.0tp4.0,4357.85,4301.32,-0.565361,4.525,57.3,SL_HIT,2592,0,0
1760677200,1760700886,XAUUSD,LONG,XauTrendFollow2h_2h_Keltner_K2_sl2.0tp4.0,4376.14,4307.31,-0.688221,2.5935,69.313,SL_HIT,23686,0,0
1760997601,1761033833,XAUUSD,LONG,XauTrendFollow2h_2h_Keltner_K2_sl2.0tp4.0,4354.7,4278.49,-0.762054,20.8635,76.783,SL_HIT,36232,0,0
1760706000,1761055353,XAUUSD,SHORT,XauTrendFollow2h_2h_InsideBar_sl2.0tp4.0,4315.06,4166.4,1.48652,148.37,66.5015,TP_HIT,349353,0,0
1761058800,1761577633,XAUUSD,SHORT,XauTrendFollow2h_2h_Keltner_K2_sl2.0tp4.0,4139.1,3975.81,1.63284,162.897,22.365,TP_HIT,518833,0,0
1761058800,1761577633,XAUUSD,SHORT,XauTrendFollow2h_2h_Donchian_N20_sl2.0tp4.0,4139.1,3975.81,1.63284,162.897,22.365,TP_HIT,518833,0,0
1761058800,1761577633,XAUUSD,SHORT,XauTrendFollow2h_2h_InsideBar_sl2.0tp4.0,4139.1,3975.81,1.63284,162.897,22.365,TP_HIT,518833,0,0
1761066000,1761636045,XAUUSD,SHORT,XauTrendFollow2h_2h_Donchian_N50_sl2.0tp4.0,4113.86,3931.56,1.82308,182.545,47.595,TP_HIT,570045,0,0
1761642000,1761666424,XAUUSD,SHORT,XauTrendFollow2h_2h_Donchian_N50_sl2.0tp4.0,3897.7,3965.81,-0.681149,11.143,68.64,SL_HIT,24424,0,0
1761634800,1761725378,XAUUSD,SHORT,XauTrendFollow2h_2h_InsideBar_sl2.0tp4.0,3942.95,4009.08,-0.661278,56.403,66.6085,SL_HIT,90578,0,0
1761728400,1761763008,XAUUSD,LONG,XauTrendFollow2h_2h_InsideBar_sl2.0tp4.0,4016.7,3953.76,-0.629332,13.6135,63.875,SL_HIT,34608,0,0
1761584400,1762754164,XAUUSD,SHORT,XauTrendFollow2h_2h_Keltner_K2_sl2.0tp4.0,3999.77,4068.94,-0.691685,113.22,69.578,SL_HIT,1169764,0,0
1761584400,1762754164,XAUUSD,SHORT,XauTrendFollow2h_2h_Donchian_N20_sl2.0tp4.0,3999.77,4068.94,-0.691685,113.22,69.578,SL_HIT,1169764,0,0
1761822000,1762816174,XAUUSD,LONG,XauTrendFollow2h_2h_InsideBar_sl2.0tp4.0,3983.91,4119.98,1.36071,135.83,55.135,TP_HIT,994174,0,0
1762743600,1762820887,XAUUSD,LONG,XauTrendFollow2h_2h_Donchian_N50_sl2.0tp4.0,4047.91,4125.56,0.776519,77.355,2.955,TP_HIT,77287,0,0
1762858800,1762874587,XAUUSD,LONG,XauTrendFollow2h_2h_InsideBar_sl2.0tp4.0,4141.81,4106.76,-0.350444,5.05,35.3765,SL_HIT,15787,0,0
1762758000,1762960230,XAUUSD,LONG,XauTrendFollow2h_2h_Keltner_K2_sl2.0tp4.0,4074.88,4151.58,0.767066,76.3885,3.335,TP_HIT,202230,0,0
1762758000,1762960230,XAUUSD,LONG,XauTrendFollow2h_2h_Donchian_N20_sl2.0tp4.0,4074.88,4151.58,0.767066,76.3885,3.335,TP_HIT,202230,0,0
1762822800,1762966741,XAUUSD,LONG,XauTrendFollow2h_2h_Donchian_N50_sl2.0tp4.0,4130.69,4197.76,0.670694,66.695,33.4965,TP_HIT,143941,0,0
1762894800,1762967094,XAUUSD,LONG,XauTrendFollow2h_2h_InsideBar_sl2.0tp4.0,4129.36,4202.83,0.734638,73.1535,30.42,TP_HIT,72294,0,0
1762966800,1763058942,XAUUSD,LONG,XauTrendFollow2h_2h_Keltner_K2_sl2.0tp4.0,4196.15,4153.97,-0.421823,49.03,42.717,SL_HIT,92142,0,0
