ts,o,h,l,c
1776199916000,4901.2,4902.0,4900.0,4900.5
1776204000000,4899.6,4911.3,4893.2,4895.6
1776207600000,4895.7,4905.2,4893.9,4897.9
1776211200000,4897.9,4900.5,4887.5,4896.3
1776214800000,4896.0,4932.1,4888.8,4907.1
1776218400000,4906.8,4913.6,4880.5,4884.2
1776222000000,4884.3,4890.0,4877.0,4884.1
1776225600000,4884.1,4887.9,4880.6,4885.4
1776229200000,4885.0,4890.5,4871.9,4879.5
1776232800000,4879.5,4884.7,4870.0,4871.1
1776236400000,4871.1,4876.0,4863.3,4870.1
1776240000000,4869.9,4881.1,4862.8,4877.5
1776243600000,4877.7,4878.6,4844.4,4856.5
1776247200000,4856.7,4864.6,4848.7,4858.7
1776250800000,4859.1,4873.9,4854.2,4871.2
1776254400000,4871.0,4874.8,4865.4,4869.7
1776258000000,4869.8,4889.6,4866.9,4888.4
1776261600000,4888.0,4890.4,4872.1,4874.6
1776265200000,4874.7,4875.3,4844.7,4859.8
1776268800000,4859.8,4870.7,4858.1,4862.1
1776272400000,4862.2,4866.8,4848.8,4850.7
1776276000000,4850.7,4860.6,4847.9,4858.1
1776279600000,4858.3,4862.3,4853.0,4854.5
1776283200000,4854.6,4855.3,4846.1,4849.4
1776290400000,4849.5,4869.5,4847.9,4865.1
1776294000000,4865.3,4884.8,4865.1,4881.5
1776297600000,4881.2,4895.9,4877.4,4891.0
1776301200000,4891.1,4894.7,4869.0,4876.3
1776304800000,4876.3,4883.2,4870.7,4878.2
1776308400000,4878.0,4885.7,4877.2,4882.5
1776312000000,4882.4,4892.3,4881.3,4891.8
1776315600000,4892.0,4897.4,4879.6,4880.0
1776319200000,4879.9,4888.3,4872.3,4884.0
1776322800000,4884.0,4889.1,4874.6,4878.6
1776326400000,4878.8,4879.7,4863.4,4871.0
1776330000000,4871.0,4875.5,4863.6,4870.2
1776333600000,4870.1,4874.7,4861.9,4874.5
1776337200000,4874.8,4880.6,4872.2,4879.9
1776340800000,4880.1,4881.1,4868.8,4873.9
1776344400000,4874.0,4882.6,4840.9,4851.9
1776348000000,4851.7,4864.2,4828.2,4846.2
1776351600000,4846.1,4870.9,4845.4,4864.6
1776355200000,4864.9,4867.4,4841.8,4848.8
1776358800000,4848.7,4852.5,4837.7,4846.1
1776362400000,4846.1,4851.8,4842.5,4846.3
1776366000000,4846.3,4855.7,4846.0,4850.6
1776369600000,4850.7,4851.0,4841.4,4846.4
1776376800000,4847.0,4854.9,4847.0,4851.5
1776380400000,4851.5,4854.5,4848.2,4848.2
1776384000000,4848.1,4858.4,4842.2,4851.9
1776387600000,4851.7,4852.5,4823.2,4845.6
1776391200000,4845.4,4851.3,4839.8,4840.5
1776394800000,4840.2,4855.0,4840.2,4849.7
1776398400000,4849.7,4862.2,4849.1,4859.9
1776402000000,4859.8,4863.4,4851.0,4851.7
1776405600000,4851.6,4852.7,4835.8,4841.5
1776409200000,4841.8,4851.2,4836.2,4841.5
1776412800000,4841.6,4854.5,4838.2,4853.6
1776416400000,4853.6,4858.7,4847.7,4848.4
1776420000000,4848.4,4852.0,4839.7,4844.8
1776423600000,4844.9,4870.1,4841.2,4857.7
1776427200000,4857.7,4906.8,4855.8,4905.3
1776430800000,4905.2,4950.6,4893.1,4940.2
1776434400000,4940.0,4945.3,4919.9,4932.6
1776438000000,4932.7,4940.0,4913.3,4926.4
1776441600000,4925.9,4932.4,4922.1,4925.5
1776445200000,4925.7,4928.3,4911.8,4921.1
1776448800000,4921.1,4926.8,4913.3,4916.3
1776452400000,4916.2,4919.0,4909.9,4911.7
1776456000000,4911.7,4912.6,4884.0,4884.2
1776636000000,4848.4,4851.0,4813.2,4835.3
1776639600000,4835.3,4835.4,4791.6,4810.3
1776643200000,4810.5,4829.7,4799.2,4827.8
1776646800000,4827.6,4870.3,4826.0,4863.7
1776650400000,4863.5,4865.0,4847.9,4852.7
1776654000000,4852.3,4853.9,4844.3,4846.6
1776657600000,4846.8,4851.1,4842.1,4844.1
1776661200000,4844.2,4851.3,4833.5,4845.6
1776664800000,4845.9,4850.8,4838.7,4850.4
1776668400000,4850.9,4861.5,4841.8,4844.9
1776672000000,4844.2,4851.8,4840.9,4851.6
1776675600000,4851.7,4853.7,4839.0,4847.4
1776679200000,4847.4,4857.1,4845.6,4851.8
1776682800000,4852.0,4867.5,4841.8,4867.1
1776686400000,4866.9,4878.9,4854.8,4859.5
1776690000000,4859.5,4883.4,4855.5,4874.7
1776693600000,4874.8,4884.1,4847.9,4861.0
1776697200000,4861.0,4865.9,4848.5,4855.6
1776700800000,4855.8,4862.5,4848.4,4861.9
1776704400000,4862.0,4868.6,4859.7,4863.4
1776708000000,4863.6,4873.2,4863.6,4871.0
1776711600000,4870.6,4878.3,4866.1,4870.7
1776715200000,4870.9,4878.7,4868.7,4877.1
1776722400000,4876.4,4890.5,4876.3,4884.9
1776726000000,4884.5,4889.0,4876.7,4878.7
1776729600000,4879.1,4887.5,4872.2,4879.4
1776733200000,4879.7,4880.4,4861.5,4865.9
1776736800000,4866.0,4866.4,4857.2,4862.0
1776740400000,4862.2,4863.0,4847.0,4852.0
1776744000000,4852.0,4852.6,4842.5,4843.3
1776747600000,4843.4,4851.7,4837.5,4838.5
1776751200000,4838.6,4845.2,4828.9,4832.7
1776754800000,4832.3,4847.3,4826.4,4840.7
1776758400000,4840.4,4847.9,4829.1,4840.5
1776762000000,4840.7,4844.9,4835.5,4838.3
1776765600000,4838.7,4845.4,4835.4,4844.8
1776769200000,4844.9,4853.9,4830.2,4850.2
1776772800000,4850.4,4852.8,4819.0,4833.3
1776776400000,4833.4,4849.8,4813.7,4834.4
1776780000000,4834.3,4837.8,4776.4,4793.2
1776783600000,4793.3,4812.2,4781.3,4795.5
1776787200000,4795.9,4801.9,4761.6,4764.6
1776790800000,4764.7,4777.5,4750.3,4765.9
1776794400000,4766.1,4769.7,4747.0,4763.3
1776798000000,4763.6,4769.6,4721.3,4733.5
1776801600000,4733.5,4774.8,4723.3,4774.0
1776808800000,4775.0,4783.4,4767.8,4772.7
1776812400000,4772.7,4794.0,4771.3,4791.3
1776816000000,4791.7,4801.2,4791.6,4793.2
1776819600000,4793.1,4808.5,4788.7,4805.5
1776823200000,4805.2,4811.9,4802.9,4808.9
1776826800000,4808.7,4818.3,4806.0,4811.6
1776830400000,4811.6,4813.0,4805.0,4807.8
1776834000000,4808.0,4825.7,4805.5,4821.7
1776837600000,4821.7,4822.1,4813.0,4821.6
1776841200000,4821.6,4826.6,4813.9,4814.9
1776844800000,4815.1,4817.0,4805.7,4811.3
1776848400000,4811.1,4816.8,4806.5,4809.2
1776852000000,4809.3,4814.8,4799.6,4813.7
1776855600000,4813.9,4815.4,4801.7,4804.5
1776859200000,4804.3,4814.8,4796.6,4798.3
1776862800000,4798.5,4815.1,4790.0,4807.5
1776866400000,4807.2,4812.0,4782.7,4789.7
1776870000000,4789.7,4793.8,4778.4,4781.7
1776873600000,4781.5,4789.2,4777.5,4783.0
1776877200000,4783.1,4794.1,4782.7,4791.6
1776880800000,4791.7,4805.6,4783.9,4796.5
1776884400000,4796.4,4799.9,4791.2,4794.5
1776888000000,4794.9,4795.2,4788.6,4794.2
1776895200000,4794.8,4802.9,4778.1,4778.4
1776898800000,4778.5,4782.5,4775.9,4780.2
1776902400000,4780.5,4807.0,4745.2,4800.8
1776906000000,4800.8,4803.1,4773.5,4774.7
1776909600000,4774.4,4776.1,4749.0,4749.9
1776913200000,4750.1,4760.2,4749.0,4755.1
1776916800000,4754.4,4757.9,4749.4,4755.2
1776920400000,4755.3,4766.6,4740.0,4764.6
1776924000000,4764.6,4773.7,4759.9,4765.1
1776927600000,4765.1,4772.9,4754.9,4771.4
1776931200000,4771.2,4777.2,4752.8,4754.6
1776934800000,4754.6,4755.1,4745.5,4748.9
1776938400000,4748.6,4753.0,4735.0,4747.8
1776942000000,4748.0,4773.0,4746.5,4772.6
1776945600000,4772.5,4796.9,4771.5,4793.1
1776949200000,4793.5,4794.5,4776.1,4776.9
1776952800000,4776.8,4789.5,4769.0,4786.1
1776956400000,4786.1,4793.8,4768.5,4772.7
1776960000000,4772.7,4789.6,4767.5,4785.4
1776963600000,4785.8,4786.9,4715.2,4760.6
1776967200000,4760.8,4774.1,4750.1,4752.1
1776970800000,4752.3,4755.8,4740.6,4747.8
1776974400000,4747.7,4749.8,4737.7,4744.2
1776981600000,4746.2,4755.9,4740.1,4743.6
1776985200000,4743.6,4751.3,4736.9,4745.9
1776988800000,4746.1,4758.4,4741.3,4755.1
1776992400000,4755.1,4762.1,4740.6,4750.2
1776996000000,4750.3,4751.5,4722.6,4727.6
1776999600000,4726.8,4728.5,4718.4,4721.9
1777003200000,4721.8,4726.6,4706.8,4724.5
1777006800000,4724.6,4737.3,4719.2,4736.5
1777010400000,4736.7,4738.0,4716.5,4722.3
1777014000000,4721.9,4745.8,4721.1,4744.8
1777017600000,4745.0,4747.7,4735.1,4740.8
1777021200000,4741.0,4746.9,4729.7,4732.8
1777024800000,4732.5,4736.6,4724.5,4727.9
1777028400000,4727.7,4769.0,4727.7,4758.1
1777032000000,4758.1,4763.0,4741.2,4751.9
1777035600000,4752.2,4769.4,4740.5,4763.2
1777039200000,4763.3,4793.0,4757.8,4778.6
1777042800000,4778.6,4786.0,4766.1,4778.8
1777046400000,4778.7,4781.9,4770.8,4779.2
1777050000000,4779.2,4782.4,4770.5,4775.4
1777053600000,4775.4,4776.9,4768.3,4774.2
1777057200000,4774.3,4778.0,4764.5,4767.1
1777060800000,4767.2,4768.7,4756.0,4759.9
1777240800000,4753.0,4757.0,4729.2,4734.5
1777244400000,4734.2,4735.0,4724.1,4729.6
1777248000000,4729.9,4748.4,4721.5,4747.7
1777251600000,4747.9,4760.0,4740.6,4752.4
1777255200000,4752.5,4773.8,4745.8,4768.5
1777258800000,4768.4,4780.4,4764.6,4775.0
1777262400000,4775.0,4781.2,4773.6,4776.0
1777266000000,4776.3,4776.7,4759.2,4760.7
1777269600000,4760.7,4766.4,4759.4,4762.8
1777273200000,4762.8,4769.1,4759.8,4763.4
1777276800000,4763.3,4765.7,4755.2,4757.1
1777280400000,4757.5,4758.9,4749.9,4754.4
1777284000000,4754.4,4761.5,4749.5,4759.5
