ts,o,h,l,c
1735750800,0.826920,0.827715,0.826635,0.827590
1735754400,0.827535,0.827875,0.826740,0.826760
1735758000,0.826775,0.827270,0.826725,0.827075
1735761600,0.827070,0.827425,0.826670,0.827290
1735765200,0.827305,0.827605,0.827235,0.827460
1735768800,0.827475,0.827635,0.827280,0.827325
1735772400,0.827335,0.827455,0.827040,0.827280
1735776000,0.827275,0.827325,0.826900,0.826970
1735779600,0.826960,0.827200,0.826860,0.827155
1735783200,0.827140,0.827980,0.827125,0.827610
1735786800,0.827605,0.829155,0.827605,0.829145
1735790400,0.829150,0.829595,0.829015,0.829290
1735794000,0.829300,0.829990,0.828460,0.828890
1735797600,0.828890,0.830145,0.828865,0.829660
1735801200,0.829640,0.831065,0.829500,0.830785
1735804800,0.830790,0.832540,0.830720,0.831435
1735808400,0.831440,0.832365,0.830960,0.831040
1735812000,0.831045,0.832125,0.830200,0.830240
1735815600,0.830235,0.830370,0.827590,0.829230
1735819200,0.829225,0.829955,0.828935,0.829685
1735822800,0.829690,0.829770,0.829075,0.829190
1735826400,0.829170,0.829235,0.828595,0.828785
1735830000,0.828780,0.829005,0.828540,0.828985
1735833600,0.828980,0.829340,0.828965,0.829340
1735837200,0.828905,0.829415,0.828645,0.829000
1735840800,0.829035,0.829490,0.829025,0.829410
1735844400,0.829415,0.829480,0.829180,0.829350
1735848000,0.829345,0.829345,0.828950,0.829015
1735851600,0.829010,0.829205,0.828850,0.829010
1735855200,0.829015,0.829020,0.828600,0.828685
1735858800,0.828680,0.828695,0.828510,0.828610
1735862400,0.828605,0.828815,0.828510,0.828670
1735866000,0.828680,0.828775,0.828485,0.828715
1735869600,0.828710,0.829885,0.828705,0.829135
1735873200,0.829125,0.829735,0.828795,0.829485
1735876800,0.829495,0.829960,0.829225,0.829465
1735880400,0.829450,0.829985,0.829380,0.829640
1735884000,0.829645,0.830060,0.829285,0.829960
1735887600,0.829965,0.830045,0.829685,0.829870
1735891200,0.829875,0.830175,0.829535,0.830010
1735894800,0.830015,0.830255,0.829510,0.829915
1735898400,0.829910,0.830330,0.828955,0.829455
1735902000,0.829445,0.829590,0.828620,0.828725
1735905600,0.828740,0.829460,0.828740,0.829260
1735909200,0.829265,0.829285,0.828860,0.829080
1735912800,0.829065,0.829090,0.828810,0.828900
1735916400,0.828905,0.829350,0.828805,0.829325
1735920000,0.829320,0.829950,0.829270,0.829520
1736096400,0.829115,0.830135,0.829005,0.829555
1736100000,0.829530,0.829820,0.829000,0.829420
1736103600,0.829425,0.829430,0.828860,0.828895
1736107200,0.828890,0.829295,0.828800,0.829285
1736110800,0.829295,0.829495,0.829155,0.829310
1736114400,0.829320,0.829665,0.829280,0.829580
1736118000,0.829575,0.829620,0.829365,0.829365
1736121600,0.829360,0.829370,0.828820,0.828925
1736125200,0.828915,0.828985,0.828560,0.828795
1736128800,0.828780,0.829320,0.828650,0.829320
1736132400,0.829330,0.829525,0.828710,0.829300
1736136000,0.829300,0.830250,0.828915,0.830070
1736139600,0.830060,0.830285,0.828865,0.829235
1736143200,0.829250,0.831480,0.828985,0.830860
1736146800,0.830850,0.831100,0.829495,0.830545
1736150400,0.830550,0.831770,0.830420,0.831075
1736154000,0.831085,0.831500,0.830035,0.830615
1736157600,0.830635,0.831180,0.829790,0.830930
1736161200,0.830940,0.831045,0.829805,0.830000
1736164800,0.829995,0.830350,0.829645,0.829785
1736168400,0.829775,0.830145,0.829615,0.830035
1736172000,0.830030,0.830425,0.830005,0.830225
1736175600,0.830245,0.830245,0.829710,0.829745
1736179200,0.829750,0.829940,0.829665,0.829815
1736182800,0.829930,0.830190,0.829750,0.829955
1736186400,0.829910,0.830020,0.829810,0.830010
1736190000,0.829995,0.830100,0.829715,0.829905
1736193600,0.829885,0.829925,0.829090,0.829195
1736197200,0.829190,0.829420,0.829090,0.829265
1736200800,0.829260,0.829405,0.829090,0.829255
1736204400,0.829240,0.829380,0.829110,0.829255
1736208000,0.829260,0.829605,0.829170,0.829250
1736211600,0.829245,0.829415,0.829090,0.829290
1736215200,0.829275,0.829970,0.829180,0.829700
1736218800,0.829705,0.830405,0.829660,0.829935
1736222400,0.829940,0.830155,0.829485,0.829990
1736226000,0.830000,0.830550,0.829600,0.830320
1736229600,0.830300,0.830565,0.829895,0.830425
1736233200,0.830425,0.830535,0.828970,0.829385
1736236800,0.829375,0.829705,0.828695,0.828910
1736240400,0.828895,0.829615,0.828720,0.829500
1736244000,0.829410,0.830110,0.828920,0.829990
1736247600,0.830010,0.830430,0.829485,0.829690
1736251200,0.829690,0.829820,0.829030,0.829355
1736254800,0.829360,0.829445,0.828915,0.829105
1736258400,0.829110,0.829195,0.828920,0.829060
1736262000,0.829065,0.829235,0.828760,0.828855
1736265600,0.828850,0.828895,0.828640,0.828810
1736269200,0.828850,0.829210,0.828800,0.828950
1736272800,0.828960,0.829165,0.828800,0.828930
1736276400,0.828925,0.829185,0.828910,0.829185
1736280000,0.829180,0.829325,0.829070,0.829195
1736283600,0.829210,0.829260,0.829090,0.829240
1736287200,0.829255,0.829295,0.828980,0.829235
1736290800,0.829245,0.829305,0.829095,0.829280
1736294400,0.829275,0.829440,0.829115,0.829175
1736298000,0.829185,0.829290,0.828680,0.828775
1736301600,0.828780,0.829245,0.828420,0.828690
1736305200,0.828700,0.829715,0.828525,0.829390
1736308800,0.829400,0.829430,0.828795,0.828855
1736312400,0.828855,0.829135,0.828370,0.829010
1736316000,0.829025,0.833710,0.829020,0.832320
1736319600,0.832290,0.834825,0.832215,0.833490
1736323200,0.833510,0.835125,0.833035,0.833860
1736326800,0.833855,0.835135,0.833315,0.834865
1736330400,0.834875,0.835205,0.834430,0.834615
1736334000,0.834610,0.834930,0.833820,0.833965
1736337600,0.833955,0.834935,0.833805,0.834705
1736341200,0.834735,0.834825,0.834090,0.834545
1736344800,0.834540,0.834700,0.834120,0.834240
1736348400,0.834250,0.834580,0.834230,0.834455
1736352000,0.834460,0.834725,0.834240,0.834515
1736355600,0.834490,0.834755,0.834255,0.834560
1736359200,0.834540,0.834800,0.834475,0.834520
1736362800,0.834515,0.834815,0.834250,0.834630
1736366400,0.834640,0.834665,0.834440,0.834540
1736370000,0.834535,0.834750,0.834515,0.834660
1736373600,0.834665,0.835365,0.834655,0.835305
1736377200,0.835310,0.835840,0.835305,0.835815
1736380800,0.835810,0.836110,0.835580,0.835790
1736384400,0.835785,0.837875,0.835715,0.837760
1736388000,0.837770,0.839925,0.837180,0.839475
1736391600,0.839460,0.840375,0.838065,0.838875
1736395200,0.838870,0.839415,0.838245,0.839105
1736398800,0.839105,0.840660,0.838380,0.838670
1736402400,0.838680,0.839300,0.837345,0.838250
1736406000,0.838245,0.839310,0.837945,0.838125
1736409600,0.838120,0.838370,0.837125,0.838015
1736413200,0.838020,0.838490,0.837015,0.837035
1736416800,0.837035,0.837500,0.836725,0.837140
1736420400,0.837140,0.837785,0.836950,0.837120
1736424000,0.837130,0.837170,0.836515,0.837095
1736427600,0.837120,0.837300,0.836800,0.836975
1736431200,0.836965,0.837100,0.836585,0.836635
1736434800,0.836645,0.836885,0.836620,0.836765
1736438400,0.836770,0.836970,0.836675,0.836840
1736442000,0.837035,0.837215,0.836500,0.836740
1736445600,0.836750,0.837275,0.836680,0.837210
1736449200,0.837215,0.837330,0.836935,0.837220
1736452800,0.837235,0.837500,0.837100,0.837295
1736456400,0.837300,0.837405,0.836920,0.837180
1736460000,0.837175,0.837345,0.837090,0.837210
1736463600,0.837215,0.837475,0.837070,0.837430
1736467200,0.837435,0.838030,0.837310,0.837880
1736470800,0.837885,0.838160,0.837415,0.838075
1736474400,0.838065,0.838180,0.837005,0.837795
1736478000,0.837800,0.838575,0.837580,0.838405
1736481600,0.838410,0.838485,0.836995,0.837230
1736485200,0.837215,0.838170,0.837210,0.837910
1736488800,0.837920,0.838410,0.836975,0.837350
1736492400,0.837340,0.837510,0.836565,0.836775
1736496000,0.836765,0.839410,0.836490,0.838535
1736499600,0.838525,0.839195,0.837385,0.837450
1736503200,0.837405,0.838320,0.836770,0.838145
1736506800,0.838140,0.838920,0.838060,0.838310
1736510400,0.838300,0.838610,0.837975,0.838205
1736514000,0.838215,0.838710,0.838165,0.838550
1736517600,0.838565,0.839090,0.838450,0.839090
1736521200,0.839095,0.839280,0.838865,0.839140
1736524800,0.839135,0.839300,0.838935,0.839180
1736701200,0.839275,0.839630,0.839010,0.839270
1736704800,0.839345,0.839395,0.839110,0.839340
1736708400,0.839355,0.839545,0.839135,0.839450
1736712000,0.839445,0.840265,0.839375,0.840080
1736715600,0.840075,0.840715,0.840020,0.840640
1736719200,0.840635,0.841795,0.840580,0.841260
1736722800,0.841200,0.841830,0.840665,0.841225
1736726400,0.841220,0.841870,0.841010,0.841300
1736730000,0.841305,0.841545,0.840530,0.841375
1736733600,0.841380,0.842035,0.840745,0.841575
1736737200,0.841585,0.842275,0.840460,0.842255
1736740800,0.842260,0.842430,0.840515,0.841975
1736744400,0.841995,0.842075,0.840740,0.840955
1736748000,0.840945,0.841980,0.840105,0.841925
1736751600,0.841935,0.842350,0.841065,0.841595
1736755200,0.841600,0.841920,0.840525,0.840765
1736758800,0.840760,0.841310,0.839705,0.840150
1736762400,0.840145,0.840250,0.839030,0.839150
1736766000,0.839155,0.839850,0.838930,0.839800
1736769600,0.839795,0.839810,0.839150,0.839330
1736773200,0.839320,0.839740,0.838775,0.838790
1736776800,0.838810,0.839220,0.838560,0.838925
1736780400,0.838920,0.839165,0.838885,0.839080
1736784000,0.839075,0.839545,0.838995,0.839445
1736787600,0.839440,0.840285,0.838550,0.838575
1736791200,0.838560,0.839490,0.838500,0.839105
1736794800,0.839110,0.839370,0.838885,0.839255
1736798400,0.839265,0.839385,0.838940,0.839320
1736802000,0.839335,0.839840,0.839310,0.839570
1736805600,0.839575,0.839760,0.839085,0.839420
1736809200,0.839425,0.839800,0.839370,0.839510
1736812800,0.839520,0.839800,0.839445,0.839570
1736816400,0.839560,0.839700,0.839135,0.839450
1736820000,0.839455,0.839940,0.839320,0.839810
1736823600,0.839820,0.840305,0.838690,0.840205
1736827200,0.840215,0.842525,0.840215,0.842430
1736830800,0.842435,0.842900,0.841635,0.841860
1736834400,0.841855,0.842455,0.841535,0.842110
1736838000,0.842115,0.842785,0.841810,0.842500
1736841600,0.842505,0.844290,0.842345,0.843655
1736845200,0.843665,0.844740,0.843515,0.844670
1736848800,0.844675,0.844785,0.843135,0.843815
1736852400,0.843825,0.844740,0.843405,0.844570
1736856000,0.844585,0.845080,0.844135,0.844310
1736859600,0.844305,0.844370,0.843565,0.843755
1736863200,0.843760,0.844295,0.843530,0.844130
1736866800,0.844125,0.844525,0.844030,0.844075
1736870400,0.844090,0.844130,0.843775,0.843780
1736874000,0.843655,0.844095,0.843495,0.843950
1736877600,0.843925,0.844215,0.843775,0.844025
1736881200,0.844010,0.844260,0.843900,0.844180
1736884800,0.844185,0.844345,0.843975,0.844270
1736888400,0.844275,0.844625,0.844165,0.844280
1736892000,0.844270,0.844460,0.844030,0.844160
1736895600,0.844155,0.844325,0.843910,0.844180
1736899200,0.844190,0.844360,0.843725,0.843740
1736902800,0.843725,0.844350,0.843685,0.844095
1736906400,0.844085,0.846335,0.841960,0.842410
1736910000,0.842390,0.843915,0.842355,0.843540
1736913600,0.843560,0.844360,0.843545,0.843790
1736917200,0.843810,0.843840,0.842580,0.843000
1736920800,0.843000,0.843555,0.842525,0.842670
1736924400,0.842690,0.843870,0.842660,0.843305
1736928000,0.843300,0.843390,0.840505,0.841145
1736931600,0.841150,0.842065,0.840490,0.841825
1736935200,0.841820,0.842065,0.840495,0.840765
1736938800,0.840760,0.842065,0.840480,0.841905
1736942400,0.841910,0.842190,0.841595,0.842075
1736946000,0.842090,0.842245,0.841555,0.841645
1736949600,0.841650,0.841805,0.841520,0.841595
1736953200,0.841590,0.841620,0.840895,0.840960
1736956800,0.840970,0.841130,0.840410,0.840585
1736960400,0.841215,0.841215,0.840610,0.841075
1736964000,0.841075,0.841150,0.840765,0.840935
1736967600,0.840925,0.841220,0.840780,0.841035
1736971200,0.841030,0.841570,0.840980,0.841400
1736974800,0.841390,0.841715,0.841325,0.841615
1736978400,0.841620,0.841685,0.841270,0.841555
1736982000,0.841565,0.842085,0.841525,0.841955
1736985600,0.841960,0.842305,0.841865,0.842185
1736989200,0.842190,0.842235,0.841830,0.841985
1736992800,0.841985,0.843810,0.841985,0.842755
1736996400,0.842775,0.843680,0.842590,0.843560
1737000000,0.843555,0.843790,0.842860,0.843300
1737003600,0.843310,0.843480,0.842780,0.842905
1737007200,0.842910,0.843085,0.842615,0.842790
1737010800,0.842800,0.842820,0.841635,0.842135
1737014400,0.842135,0.843315,0.841945,0.842935
1737018000,0.842925,0.843370,0.842565,0.842725
1737021600,0.842720,0.843320,0.841630,0.841970
1737025200,0.841960,0.842235,0.841460,0.841515
1737028800,0.841505,0.841570,0.841105,0.841445
1737032400,0.841460,0.842175,0.841270,0.842040
1737036000,0.842050,0.842185,0.841825,0.841965
1737039600,0.841975,0.842215,0.841930,0.842150
1737043200,0.842140,0.842195,0.841620,0.841620
1737046800,0.841655,0.841995,0.841355,0.841935
1737050400,0.841930,0.842160,0.841785,0.842010
1737054000,0.842005,0.842425,0.841820,0.842185
1737057600,0.842180,0.842480,0.842115,0.842430
1737061200,0.842420,0.842435,0.841905,0.842225
1737064800,0.842230,0.842280,0.841900,0.842025
1737068400,0.842020,0.842460,0.841910,0.842350
1737072000,0.842345,0.842585,0.842195,0.842510
1737075600,0.842505,0.842910,0.842210,0.842295
1737079200,0.842285,0.845360,0.842285,0.844770
1737082800,0.844760,0.844885,0.844105,0.844695
1737086400,0.844720,0.845125,0.843895,0.844255
1737090000,0.844260,0.844615,0.843825,0.844615
1737093600,0.844615,0.844990,0.843550,0.844900
1737097200,0.844915,0.845175,0.844510,0.844590
1737100800,0.844580,0.844945,0.844410,0.844705
1737104400,0.844695,0.844975,0.843800,0.844565
1737108000,0.844560,0.845190,0.844255,0.844330
1737111600,0.844355,0.844980,0.843710,0.844635
1737115200,0.844625,0.844950,0.844525,0.844560
1737118800,0.844555,0.845025,0.844435,0.844495
1737122400,0.844485,0.844635,0.844305,0.844515
1737126000,0.844520,0.844590,0.844210,0.844275
1737129600,0.844280,0.844340,0.843885,0.844060
1737306000,0.844130,0.844555,0.843920,0.844300
1737309600,0.844285,0.844640,0.844020,0.844395
1737313200,0.844390,0.844580,0.844120,0.844180
1737316800,0.844165,0.844370,0.843995,0.844035
1737320400,0.844030,0.844265,0.844005,0.844020
1737324000,0.844015,0.844455,0.843910,0.844420
1737327600,0.844430,0.844620,0.844030,0.844120
1737331200,0.844125,0.844150,0.843670,0.843755
1737334800,0.843745,0.844315,0.843685,0.844025
1737338400,0.844035,0.844635,0.843960,0.844535
1737342000,0.844540,0.845720,0.844180,0.845530
1737345600,0.845535,0.847345,0.845475,0.846315
1737349200,0.846305,0.846840,0.845975,0.846175
1737352800,0.846170,0.846215,0.845745,0.845980
1737356400,0.845985,0.846775,0.845710,0.846055
1737360000,0.846030,0.846700,0.845065,0.845470
1737363600,0.845475,0.846410,0.845260,0.846260
1737367200,0.846265,0.846925,0.845660,0.846085
1737370800,0.846090,0.846270,0.845335,0.845715
1737374400,0.845720,0.845860,0.844635,0.845575
1737378000,0.845570,0.845825,0.844445,0.844905
1737381600,0.844910,0.844985,0.844480,0.844790
1737385200,0.844780,0.845240,0.844635,0.844900
1737388800,0.844895,0.845080,0.844870,0.845000
1737392400,0.845275,0.845570,0.844720,0.845020
