ts,o,h,l,c
1740931200,1.040325,1.042115,1.039990,1.040945
1740945600,1.040960,1.042340,1.040765,1.041795
1740960000,1.041765,1.041945,1.038855,1.040115
1740974400,1.040155,1.047620,1.040155,1.047040
1740988800,1.047050,1.050380,1.045960,1.049620
1741003200,1.049610,1.050335,1.046665,1.048225
1741017600,1.048220,1.049275,1.047660,1.048825
1741032000,1.048820,1.049610,1.047135,1.047810
1741046400,1.047805,1.052400,1.047120,1.051905
1741060800,1.051890,1.055710,1.050265,1.055310
1741075200,1.055320,1.055980,1.049640,1.053375
1741089600,1.053375,1.062370,1.053070,1.060855
1741104000,1.060865,1.063705,1.060840,1.062100
1741118400,1.062110,1.062775,1.060210,1.061900
1741132800,1.061895,1.069985,1.061890,1.069795
1741147200,1.069815,1.072225,1.067665,1.069575
1741161600,1.069600,1.078675,1.068680,1.076710
1741176000,1.076700,1.079670,1.076245,1.079235
1741190400,1.079230,1.080300,1.078575,1.079455
1741204800,1.079440,1.082010,1.078430,1.080350
1741219200,1.080365,1.082235,1.079210,1.080135
1741233600,1.080105,1.080695,1.078055,1.080010
1741248000,1.080025,1.085375,1.079115,1.081760
1741262400,1.081745,1.082240,1.076580,1.078655
1741276800,1.078665,1.079635,1.077510,1.078765
1741291200,1.078785,1.081475,1.078125,1.081310
1741305600,1.081305,1.085510,1.080775,1.085090
1741320000,1.085095,1.087150,1.084125,1.085455
1741334400,1.085460,1.088870,1.083550,1.085875
1741348800,1.085865,1.086440,1.082580,1.084745
1741363200,1.084735,1.085140,1.083160,1.083235
1741536000,1.083540,1.086735,1.083140,1.086430
1741550400,1.086425,1.087135,1.083030,1.083080
1741564800,1.083040,1.084485,1.080525,1.081010
1741579200,1.081005,1.087465,1.080880,1.084405
1741593600,1.084410,1.085095,1.082090,1.083040
1741608000,1.083030,1.084580,1.081775,1.083450
1741622400,1.083455,1.085350,1.083115,1.085160
1741636800,1.085170,1.086165,1.084380,1.085445
1741651200,1.085440,1.091915,1.083570,1.091720
1741665600,1.091705,1.092090,1.088135,1.091810
1741680000,1.091805,1.093080,1.089520,1.092520
1741694400,1.092525,1.094725,1.091010,1.091870
1741708800,1.091855,1.092245,1.090570,1.090895
1741723200,1.090905,1.091540,1.089595,1.089895
1741737600,1.089900,1.092165,1.088750,1.092145
1741752000,1.092155,1.093200,1.087635,1.087815
1741766400,1.087820,1.092795,1.087575,1.090580
1741780800,1.090575,1.091425,1.087985,1.088800
1741795200,1.088790,1.089170,1.088265,1.089170
1741809600,1.089165,1.089725,1.088185,1.089350
1741824000,1.089355,1.089355,1.085935,1.087335
1741838400,1.087325,1.088540,1.082625,1.083475
1741852800,1.083490,1.087835,1.082260,1.087265
1741867200,1.087275,1.087355,1.084650,1.085225
1741881600,1.085290,1.085855,1.084805,1.084920
1741896000,1.084915,1.084940,1.083430,1.084105
1741910400,1.084110,1.085690,1.083070,1.085385
1741924800,1.085390,1.091275,1.084705,1.089470
1741939200,1.089490,1.089810,1.086550,1.088315
1741953600,1.088310,1.088800,1.087345,1.087870
1742140800,1.088025,1.088535,1.087480,1.087960
1742155200,1.087965,1.089390,1.087435,1.088215
1742169600,1.088220,1.088695,1.086870,1.088370
1742184000,1.088395,1.091205,1.087710,1.090185
1742198400,1.090190,1.092980,1.089720,1.092125
1742212800,1.092130,1.092785,1.091170,1.092245
1742227200,1.092240,1.092370,1.091505,1.091610
1742241600,1.091600,1.091915,1.090640,1.091100
1742256000,1.091095,1.095460,1.090360,1.095145
1742270400,1.095170,1.095325,1.089275,1.091155
1742284800,1.091165,1.094000,1.089680,1.093870
1742299200,1.093875,1.095190,1.093870,1.094555
1742313600,1.094480,1.094740,1.093200,1.093480
1742328000,1.093475,1.094510,1.092820,1.092995
1742342400,1.092990,1.093620,1.087335,1.090735
1742356800,1.090725,1.091765,1.089150,1.090120
1742371200,1.090145,1.090385,1.087555,1.088515
1742385600,1.088510,1.091325,1.086060,1.090275
1742400000,1.090280,1.091660,1.090275,1.091240
1742414400,1.091235,1.091740,1.090065,1.090330
1742428800,1.090340,1.090340,1.086315,1.086550
1742443200,1.086540,1.086850,1.083105,1.083385
1742457600,1.083375,1.085230,1.081480,1.084880
1742472000,1.084860,1.085910,1.083915,1.085250
1742486400,1.085185,1.085880,1.085010,1.085320
1742500800,1.085315,1.085570,1.082755,1.083030
1742515200,1.083010,1.084560,1.081995,1.083610
1742529600,1.083600,1.086125,1.082485,1.083230
1742544000,1.083215,1.083605,1.079705,1.081825
1742558400,1.081820,1.082690,1.080530,1.081500
1742745600,1.081490,1.084000,1.081250,1.083725
1742760000,1.083730,1.083755,1.081715,1.082290
1742774400,1.082280,1.085820,1.081835,1.084310
1742788800,1.084350,1.085495,1.082170,1.082980
1742803200,1.082985,1.083065,1.078170,1.079190
1742817600,1.079200,1.081320,1.078405,1.080090
1742832000,1.080115,1.080365,1.079505,1.080040
1742846400,1.080020,1.080900,1.079430,1.080355
1742860800,1.080340,1.080720,1.077700,1.079050
1742875200,1.079045,1.083015,1.078760,1.082525
1742889600,1.082510,1.082775,1.079730,1.080660
1742904000,1.080670,1.081690,1.078995,1.079140
1742918400,1.079150,1.079450,1.078375,1.078435
1742932800,1.078430,1.079720,1.077810,1.078425
1742947200,1.078420,1.079980,1.077790,1.079935
1742961600,1.079920,1.080275,1.078190,1.078440
1742976000,1.078445,1.079540,1.076760,1.078770
1742990400,1.078780,1.078940,1.074405,1.075400
1743004800,1.075385,1.075765,1.073325,1.075555
1743019200,1.075570,1.078710,1.075525,1.078050
1743033600,1.078045,1.078260,1.075430,1.077600
1743048000,1.077585,1.079965,1.076120,1.078710
1743062400,1.078715,1.082115,1.077650,1.079900
1743076800,1.079915,1.080880,1.078835,1.080120
1743091200,1.080125,1.080145,1.078830,1.079505
1743105600,1.079500,1.079890,1.078455,1.078865
1743120000,1.078860,1.079995,1.077530,1.077835
1743134400,1.077845,1.079200,1.076460,1.078900
1743148800,1.078880,1.084480,1.078485,1.082170
1743163200,1.082180,1.083615,1.081215,1.082635
1743350400,1.082650,1.082925,1.080540,1.082090
1743364800,1.082375,1.084595,1.082330,1.083310
1743379200,1.083320,1.084940,1.082085,1.083170
1743393600,1.083175,1.083425,1.080555,1.081970
1743408000,1.081970,1.082140,1.078415,1.079420
1743422400,1.079445,1.081990,1.078525,1.081415
1743436800,1.081425,1.082035,1.080960,1.081760
1743451200,1.081770,1.082835,1.081705,1.082685
1743465600,1.082680,1.083005,1.079895,1.080185
1743480000,1.080150,1.082930,1.077840,1.078120
1743494400,1.078125,1.081255,1.077935,1.079945
1743508800,1.079940,1.080470,1.078530,1.078980
1743523200,1.078970,1.080825,1.078870,1.079435
1743537600,1.079485,1.080190,1.078720,1.079580
1743552000,1.079575,1.079755,1.078020,1.079180
1743566400,1.079165,1.080830,1.078600,1.080250
1743580800,1.080255,1.087310,1.079640,1.086750
1743595200,1.086765,1.086775,1.084700,1.084985
1743609600,1.084980,1.092470,1.080505,1.090440
1743624000,1.090405,1.092465,1.087980,1.091490
1743638400,1.091500,1.099010,1.090575,1.097085
1743652800,1.097075,1.114640,1.097075,1.108760
1743667200,1.108780,1.113510,1.104120,1.105070
1743681600,1.105090,1.105590,1.101605,1.102755
1743696000,1.102745,1.107165,1.102215,1.104530
1743710400,1.104520,1.109865,1.103670,1.109365
