ts,o,h,l,c
1749106800,24281.21,24479.42,24220.71,24323.58
1749193200,24304.37,24355.03,24214.53,24304.46
1749448800,24252.26,24289.51,24097.09,24174.32
1749538800,24156.53,24168.59,23964.77,23987.56
1749625200,23996.66,24151.39,23948.57,23948.90
1749711600,23768.05,23885.06,23618.85,23771.45
1749798000,23448.19,23557.71,23360.16,23516.23
1750057200,23589.47,23711.73,23505.54,23699.12
1750143600,23495.06,23550.99,23315.07,23434.65
1750230000,23426.97,23502.95,23262.64,23317.81
1750316400,23178.60,23254.86,23051.55,23057.38
1750402800,23197.12,23481.97,23187.48,23350.55
1750662000,23242.90,23385.60,23080.29,23269.01
1750748400,23689.19,23812.79,23580.21,23641.58
1750834800,23713.24,23713.24,23466.73,23498.33
1750921200,23609.30,23710.58,23521.10,23649.30
1751007600,23864.67,24040.55,23784.62,24033.22
1751266800,24109.15,24120.82,23854.31,23909.61
1751353200,23966.95,23978.30,23671.27,23673.29
1751439600,23789.06,23824.50,23620.42,23790.11
1751526000,23884.80,23944.10,23762.42,23934.13
1751612400,23833.14,23868.93,23702.65,23787.45
1751871600,23845.88,24073.67,23836.58,24073.67
1751958000,24135.74,24244.09,24063.42,24206.91
1752044400,24278.89,24609.15,24261.01,24549.56
1752130800,24638.58,24639.10,24450.97,24456.81
1752217200,24333.11,24369.05,24166.63,24255.31
1752476400,24038.29,24168.14,23975.46,24160.64
1752562800,24220.52,24266.81,24060.29,24060.29
1752649200,24011.99,24207.81,23968.95,24009.38
1752735600,24227.54,24374.50,24174.76,24370.93
1752822000,24483.66,24494.88,24251.36,24289.51
1753081200,24309.39,24335.26,24191.63,24307.80
1753167600,24236.09,24237.41,23921.83,24041.90
1753254000,24246.80,24310.96,24122.19,24240.82
1753340400,24502.99,24514.93,24235.44,24295.93
1753426800,24097.33,24252.59,24065.19,24217.50
1753686000,24424.67,24444.47,23942.12,23970.36
1753772400,24051.71,24310.00,24051.71,24217.37
1753858800,24169.26,24302.77,24138.21,24262.22
1753945200,24340.21,24433.40,24039.92,24065.47
1754031600,23786.91,23802.73,23380.94,23425.97
1754290800,23523.24,23783.79,23521.61,23757.69
1754377200,23914.32,23979.59,23785.08,23846.07
1754463600,23972.03,23996.89,23806.92,23924.36
1754550000,23910.87,24392.04,23899.46,24192.50
1754636400,24165.88,24268.82,24095.99,24162.86
1754895600,24206.26,24219.09,24030.05,24081.34
1754982000,24147.01,24156.25,23940.24,24024.78
1755068400,24156.51,24247.39,24138.79,24185.59
1755154800,24205.59,24409.35,24205.37,24377.50
1755241200,24530.70,24536.11,24327.60,24359.30
1755500400,24313.82,24336.74,24245.17,24314.77
1755586800,24357.23,24441.00,24283.55,24423.07
1755673200,24252.72,24369.87,24217.51,24276.97
1755759600,24274.42,24306.06,24179.91,24293.34
1755846000,24254.81,24444.41,24222.54,24363.09
1756105200,24232.02,24377.38,24224.15,24273.12
1756191600,24110.08,24263.11,24036.88,24152.87
1756278000,24174.62,24198.30,23977.99,24046.21
1756364400,24180.62,24206.53,23972.54,24039.92
1756450800,23949.43,24063.55,23881.98,23902.21
1756710000,24012.04,24046.85,23969.36,24037.33
1756796400,23975.34,23990.81,23482.67,23487.33
1756882800,23606.69,23705.95,23507.11,23594.80
1756969200,23664.79,23800.12,23610.45,23770.33
1757055600,23851.94,23854.68,23546.70,23596.98
1757314800,23771.86,23830.12,23655.47,23807.13
1757401200,23802.61,23859.56,23633.95,23718.45
1757487600,23837.17,23883.58,23600.47,23632.95
1757574000,23654.93,23787.18,23563.37,23703.65
1757660400,23767.34,23793.06,23604.36,23698.15
1757919600,23785.26,23855.35,23664.11,23748.86
1758006000,23711.99,23717.67,23317.30,23329.24
1758092400,23407.39,23476.71,23284.67,23359.18
1758178800,23577.06,23690.47,23557.81,23674.53
1758265200,23723.34,23785.24,23599.26,23639.41
1758524400,23567.49,23589.25,23424.44,23527.05
1758610800,23604.36,23723.20,23564.97,23611.33
1758697200,23601.50,23736.60,23499.98,23666.81
1758783600,23620.40,23629.37,23383.84,23534.83
1758870000,23601.19,23756.04,23579.25,23739.47
1759129200,23835.61,23835.61,23666.81,23745.06
1759215600,23726.43,23887.73,23676.36,23880.72
1759302000,23755.23,24162.23,23753.08,24113.62
