ts,o,h,l,c
1658707200000,14527.0,14527.0,14527.0,14527.0
1658793600000,14422.0,14422.0,14422.0,14422.0
1658880000000,14492.0,14492.0,14492.0,14492.0
1658966400000,14519.0,14519.0,14519.0,14519.0
1659052800000,14729.0,14729.0,14729.0,14729.0
1659312000000,14752.0,14752.0,14752.0,14752.0
1659398400000,14701.0,14701.0,14701.0,14701.0
1659484800000,14863.0,14863.0,14863.0,14863.0
1659571200000,14955.0,14955.0,14955.0,14955.0
1659657600000,14888.0,14888.0,14888.0,14888.0
1659916800000,15023.0,15023.0,15023.0,15023.0
1660003200000,14874.0,14874.0,14874.0,14874.0
1660089600000,15053.0,15053.0,15053.0,15053.0
1660176000000,15028.0,15028.0,15028.0,15028.0
1660262400000,15162.0,15162.0,15162.0,15162.0
1660521600000,15175.0,15175.0,15175.0,15175.0
1660608000000,15313.0,15313.0,15313.0,15313.0
1660694400000,15048.0,15048.0,15048.0,15048.0
1660780800000,15130.0,15130.0,15130.0,15130.0
1660867200000,14968.0,14968.0,14968.0,14968.0
1661126400000,14678.0,14678.0,14678.0,14678.0
1661212800000,14603.0,14603.0,14603.0,14603.0
1661299200000,14688.0,14688.0,14688.0,14688.0
1661385600000,14700.0,14700.0,14700.0,14700.0
1661472000000,14403.0,14403.0,14403.0,14403.0
1661731200000,14380.0,14380.0,14380.0,14380.0
1661817600000,14446.0,14446.0,14446.0,14446.0
1661904000000,14351.0,14351.0,14351.0,14351.0
1661990400000,14098.0,14098.0,14098.0,14098.0
1662076800000,14556.0,14556.0,14556.0,14556.0
1662336000000,14248.0,14248.0,14248.0,14248.0
1662422400000,14354.0,14354.0,14354.0,14354.0
1662508800000,14429.0,14429.0,14429.0,14429.0
1662595200000,14409.0,14409.0,14409.0,14409.0
1662681600000,14619.0,14619.0,14619.0,14619.0
1662940800000,14982.0,14982.0,14982.0,14982.0
1663027200000,14808.0,14808.0,14808.0,14808.0
1663113600000,14612.0,14612.0,14612.0,14612.0
1663200000000,14542.0,14542.0,14542.0,14542.0
1663286400000,14303.0,14303.0,14303.0,14303.0
1663545600000,14419.0,14419.0,14419.0,14419.0
1663632000000,14247.0,14247.0,14247.0,14247.0
1663718400000,14346.0,14346.0,14346.0,14346.0
1663804800000,14119.0,14119.0,14119.0,14119.0
1663891200000,13898.0,13898.0,13898.0,13898.0
1664150400000,13854.0,13854.0,13854.0,13854.0
1664236800000,13730.0,13730.0,13730.0,13730.0
1664323200000,13743.0,13743.0,13743.0,13743.0
1664409600000,13500.0,13500.0,13500.0,13500.0
1664496000000,13674.0,13674.0,13674.0,13674.0
1664755200000,13745.0,13745.0,13745.0,13745.0
1664841600000,14229.0,14229.0,14229.0,14229.0
1664928000000,14089.0,14089.0,14089.0,14089.0
1665014400000,14067.0,14067.0,14067.0,14067.0
1665100800000,13864.0,13864.0,13864.0,13864.0
1665360000000,13865.0,13865.0,13865.0,13865.0
1665446400000,13769.0,13769.0,13769.0,13769.0
1665532800000,13753.0,13753.0,13753.0,13753.0
1665619200000,13946.0,13946.0,13946.0,13946.0
1665705600000,14075.0,14075.0,14075.0,14075.0
1665964800000,14280.0,14280.0,14280.0,14280.0
1666051200000,14429.0,14429.0,14429.0,14429.0
1666137600000,14392.0,14392.0,14392.0,14392.0
1666224000000,14404.0,14404.0,14404.0,14404.0
1666310400000,14351.0,14351.0,14351.0,14351.0
1666569600000,14601.0,14601.0,14601.0,14601.0
1666656000000,14684.0,14684.0,14684.0,14684.0
1666742400000,14845.0,14845.0,14845.0,14845.0
1666828800000,14840.0,14840.0,14840.0,14840.0
1666915200000,14878.0,14878.0,14878.0,14878.0
1667174400000,14937.0,14937.0,14937.0,14937.0
1667260800000,15004.0,15004.0,15004.0,15004.0
1667347200000,14928.0,14928.0,14928.0,14928.0
1667433600000,14805.0,14805.0,14805.0,14805.0
1667520000000,15191.0,15191.0,15191.0,15191.0
1667779200000,15276.0,15276.0,15276.0,15276.0
1667865600000,15441.0,15441.0,15441.0,15441.0
1667952000000,15416.0,15416.0,15416.0,15416.0
1668038400000,15929.0,15929.0,15929.0,15929.0
1668124800000,16026.0,16026.0,16026.0,16026.0
1668384000000,16052.0,16052.0,16052.0,16052.0
1668470400000,16146.0,16146.0,16146.0,16146.0
1668556800000,16013.0,16013.0,16013.0,16013.0
1668643200000,16031.0,16031.0,16031.0,16031.0
1668729600000,16223.0,16223.0,16223.0,16223.0
1668988800000,16175.0,16175.0,16175.0,16175.0
1669075200000,16228.0,16228.0,16228.0,16228.0
1669161600000,16238.0,16238.0,16238.0,16238.0
1669248000000,16339.0,16339.0,16339.0,16339.0
1669334400000,16352.0,16352.0,16352.0,16352.0
1669593600000,16199.0,16199.0,16199.0,16199.0
1669680000000,16145.0,16145.0,16145.0,16145.0
1669766400000,16225.0,16225.0,16225.0,16225.0
1669852800000,16251.0,16251.0,16251.0,16251.0
1669939200000,16323.0,16323.0,16323.0,16323.0
1670198400000,16286.0,16286.0,16286.0,16286.0
1670284800000,16127.0,16127.0,16127.0,16127.0
1670371200000,16039.0,16039.0,16039.0,16039.0
1670457600000,16031.0,16031.0,16031.0,16031.0
1670544000000,16142.0,16142.0,16142.0,16142.0
1670803200000,16112.0,16112.0,16112.0,16112.0
1670889600000,16226.0,16226.0,16226.0,16226.0
1670976000000,16235.0,16235.0,16235.0,16235.0
1671062400000,15701.0,15701.0,15701.0,15701.0
1671148800000,15649.0,15649.0,15649.0,15649.0
1671408000000,15715.0,15715.0,15715.0,15715.0
1671494400000,15657.0,15657.0,15657.0,15657.0
1671580800000,15914.0,15914.0,15914.0,15914.0
1671667200000,15707.0,15707.0,15707.0,15707.0
1671753600000,15764.0,15764.0,15764.0,15764.0
1672099200000,15837.0,15837.0,15837.0,15837.0
1672185600000,15756.0,15756.0,15756.0,15756.0
1672272000000,15897.0,15897.0,15897.0,15897.0
1672358400000,15754.0,15754.0,15754.0,15754.0
1672617600000,15957.0,15957.0,15957.0,15957.0
1672704000000,16059.0,16059.0,16059.0,16059.0
1672790400000,16368.0,16368.0,16368.0,16368.0
1672876800000,16319.0,16319.0,16319.0,16319.0
1672963200000,16508.0,16508.0,16508.0,16508.0
1673222400000,16698.0,16698.0,16698.0,16698.0
1673308800000,16658.0,16658.0,16658.0,16658.0
1673395200000,16845.0,16845.0,16845.0,16845.0
1673481600000,16979.0,16979.0,16979.0,16979.0
1673568000000,16996.0,16996.0,16996.0,16996.0
1673827200000,17052.0,17052.0,17052.0,17052.0
1673913600000,17064.0,17064.0,17064.0,17064.0
1674000000000,17130.0,17130.0,17130.0,17130.0
1674086400000,16822.0,16822.0,16822.0,16822.0
1674172800000,16932.0,16932.0,16932.0,16932.0
1674432000000,17044.0,17044.0,17044.0,17044.0
1674518400000,17021.0,17021.0,17021.0,17021.0
1674604800000,16993.0,16993.0,16993.0,16993.0
1674691200000,17049.0,17049.0,17049.0,17049.0
1674777600000,17070.0,17070.0,17070.0,17070.0
1675036800000,17082.0,17082.0,17082.0,17082.0
1675123200000,17064.0,17064.0,17064.0,17064.0
1675209600000,17120.0,17120.0,17120.0,17120.0
1675296000000,17469.0,17469.0,17469.0,17469.0
1675382400000,17412.0,17412.0,17412.0,17412.0
1675641600000,17304.0,17304.0,17304.0,17304.0
1675728000000,17278.0,17278.0,17278.0,17278.0
1675814400000,17378.0,17378.0,17378.0,17378.0
1675900800000,17508.0,17508.0,17508.0,17508.0
1675987200000,17261.0,17261.0,17261.0,17261.0
1676246400000,17393.0,17393.0,17393.0,17393.0
1676332800000,17422.0,17422.0,17422.0,17422.0
1676419200000,17541.0,17541.0,17541.0,17541.0
1676505600000,17559.0,17559.0,17559.0,17559.0
1676592000000,17481.0,17481.0,17481.0,17481.0
1676851200000,17496.0,17496.0,17496.0,17496.0
1676937600000,17404.0,17404.0,17404.0,17404.0
1677024000000,17390.0,17390.0,17390.0,17390.0
1677110400000,17494.0,17494.0,17494.0,17494.0
1677196800000,17266.0,17266.0,17266.0,17266.0
1677456000000,17436.0,17436.0,17436.0,17436.0
1677542400000,17427.0,17427.0,17427.0,17427.0
1677628800000,17328.0,17328.0,17328.0,17328.0
1677715200000,17364.0,17364.0,17364.0,17364.0
1677801600000,17661.0,17661.0,17661.0,17661.0
1678060800000,17751.0,17751.0,17751.0,17751.0
1678147200000,17661.0,17661.0,17661.0,17661.0
1678233600000,17770.0,17770.0,17770.0,17770.0
1678320000000,17736.0,17736.0,17736.0,17736.0
1678406400000,17423.0,17423.0,17423.0,17423.0
1678665600000,16867.0,16867.0,16867.0,16867.0
1678752000000,17168.0,17168.0,17168.0,17168.0
1678838400000,16500.0,16500.0,16500.0,16500.0
1678924800000,16829.0,16829.0,16829.0,16829.0
1679011200000,16554.0,16554.0,16554.0,16554.0
1679270400000,16709.0,16709.0,16709.0,16709.0
1679356800000,17054.0,17054.0,17054.0,17054.0
1679443200000,17111.0,17111.0,17111.0,17111.0
1679529600000,17072.0,17072.0,17072.0,17072.0
1679616000000,16781.0,16781.0,16781.0,16781.0
1679875200000,17026.0,17026.0,17026.0,17026.0
1679961600000,17051.0,17051.0,17051.0,17051.0
1680048000000,17240.0,17240.0,17240.0,17240.0
1680134400000,17521.0,17521.0,17521.0,17521.0
1680220800000,17646.0,17646.0,17646.0,17646.0
1680480000000,17551.0,17551.0,17551.0,17551.0
1680566400000,17601.0,17601.0,17601.0,17601.0
1680652800000,17445.0,17445.0,17445.0,17445.0
1680739200000,17559.0,17559.0,17559.0,17559.0
1681171200000,17664.0,17664.0,17664.0,17664.0
1681257600000,17718.0,17718.0,17718.0,17718.0
1681344000000,17666.0,17666.0,17666.0,17666.0
1681430400000,17761.0,17761.0,17761.0,17761.0
1681689600000,17758.0,17758.0,17758.0,17758.0
1681776000000,17848.0,17848.0,17848.0,17848.0
1681862400000,17899.0,17899.0,17899.0,17899.0
1681948800000,17766.0,17766.0,17766.0,17766.0
1682035200000,17856.0,17856.0,17856.0,17856.0
1682294400000,17852.0,17852.0,17852.0,17852.0
1682380800000,17855.0,17855.0,17855.0,17855.0
1682467200000,17746.0,17746.0,17746.0,17746.0
1682553600000,17761.0,17761.0,17761.0,17761.0
1682640000000,17856.0,17856.0,17856.0,17856.0
1682985600000,17619.0,17619.0,17619.0,17619.0
1683072000000,17744.0,17744.0,17744.0,17744.0
1683158400000,17620.0,17620.0,17620.0,17620.0
1683244800000,17859.0,17859.0,17859.0,17859.0
1683504000000,17838.0,17838.0,17838.0,17838.0
1683590400000,17834.0,17834.0,17834.0,17834.0
1683676800000,17766.0,17766.0,17766.0,17766.0
1683763200000,17694.0,17694.0,17694.0,17694.0
1683849600000,17771.0,17771.0,17771.0,17771.0
1684108800000,17782.0,17782.0,17782.0,17782.0
1684195200000,17780.0,17780.0,17780.0,17780.0
1684281600000,17821.0,17821.0,17821.0,17821.0
1684368000000,18080.0,18080.0,18080.0,18080.0
1684454400000,18217.0,18217.0,18217.0,18217.0
1684713600000,18142.0,18142.0,18142.0,18142.0
1684800000000,18059.0,18059.0,18059.0,18059.0
1684886400000,17701.0,17701.0,17701.0,17701.0
1684972800000,17687.0,17687.0,17687.0,17687.0
1685059200000,17879.0,17879.0,17879.0,17879.0
1685318400000,17833.0,17833.0,17833.0,17833.0
1685404800000,17780.0,17780.0,17780.0,17780.0
1685491200000,17446.0,17446.0,17446.0,17446.0
1685577600000,17691.0,17691.0,17691.0,17691.0
1685664000000,17936.0,17936.0,17936.0,17936.0
1685923200000,17835.0,17835.0,17835.0,17835.0
1686009600000,17861.0,17861.0,17861.0,17861.0
1686096000000,17834.0,17834.0,17834.0,17834.0
1686182400000,17862.0,17862.0,17862.0,17862.0
1686268800000,17806.0,17806.0,17806.0,17806.0
1686528000000,17951.0,17951.0,17951.0,17951.0
1686614400000,18125.0,18125.0,18125.0,18125.0
1686700800000,18234.0,18234.0,18234.0,18234.0
1686787200000,18223.0,18223.0,18223.0,18223.0
1686873600000,18316.0,18316.0,18316.0,18316.0
1687132800000,18121.0,18121.0,18121.0,18121.0
1687219200000,18013.0,18013.0,18013.0,18013.0
1687305600000,17922.0,17922.0,17922.0,17922.0
1687392000000,17877.0,17877.0,17877.0,17877.0
1687478400000,17681.0,17681.0,17681.0,17681.0
1687737600000,17672.0,17672.0,17672.0,17672.0
1687824000000,17732.0,17732.0,17732.0,17732.0
1687910400000,17838.0,17838.0,17838.0,17838.0
1687996800000,17818.0,17818.0,17818.0,17818.0
1688083200000,18056.0,18056.0,18056.0,18056.0
1688342400000,17981.0,17981.0,17981.0,17981.0
1688428800000,17932.0,17932.0,17932.0,17932.0
1688515200000,17812.0,17812.0,17812.0,17812.0
1688601600000,17351.0,17351.0,17351.0,17351.0
1688688000000,17443.0,17443.0,17443.0,17443.0
1688947200000,17511.0,17511.0,17511.0,17511.0
1689033600000,17662.0,17662.0,17662.0,17662.0
1689120000000,17920.0,17920.0,17920.0,17920.0
1689206400000,18042.0,18042.0,18042.0,18042.0
1689292800000,18002.0,18002.0,18002.0,18002.0
1689552000000,17884.0,17884.0,17884.0,17884.0
1689638400000,17938.0,17938.0,17938.0,17938.0
1689724800000,17927.0,17927.0,17927.0,17927.0
1689811200000,18018.0,18018.0,18018.0,18018.0
1689897600000,17983.0,17983.0,17983.0,17983.0
1690156800000,18056.0,18056.0,18056.0,18056.0
1690243200000,18074.0,18074.0,18074.0,18074.0
1690329600000,17989.0,17989.0,17989.0,17989.0
1690416000000,18304.0,18304.0,18304.0,18304.0
1690502400000,18371.0,18371.0,18371.0,18371.0
1690761600000,18358.0,18358.0,18358.0,18358.0
1690848000000,18136.0,18136.0,18136.0,18136.0
1690934400000,17844.0,17844.0,17844.0,17844.0
1691020800000,17706.0,17706.0,17706.0,17706.0
1691107200000,17784.0,17784.0,17784.0,17784.0
1691366400000,17769.0,17769.0,17769.0,17769.0
1691452800000,17564.0,17564.0,17564.0,17564.0
1691539200000,17641.0,17641.0,17641.0,17641.0
1691625600000,17812.0,17812.0,17812.0,17812.0
1691712000000,17636.0,17636.0,17636.0,17636.0
1691971200000,17711.0,17711.0,17711.0,17711.0
1692057600000,17567.0,17567.0,17567.0,17567.0
1692144000000,17589.0,17589.0,17589.0,17589.0
1692230400000,17463.0,17463.0,17463.0,17463.0
1692316800000,17355.0,17355.0,17355.0,17355.0
1692576000000,17371.0,17371.0,17371.0,17371.0
1692662400000,17490.0,17490.0,17490.0,17490.0
1692748800000,17504.0,17504.0,17504.0,17504.0
1692835200000,17382.0,17382.0,17382.0,17382.0
1692921600000,17391.0,17391.0,17391.0,17391.0
1693180800000,17569.0,17569.0,17569.0,17569.0
1693267200000,17725.0,17725.0,17725.0,17725.0
1693353600000,17681.0,17681.0,17681.0,17681.0
1693440000000,17750.0,17750.0,17750.0,17750.0
1693526400000,17600.0,17600.0,17600.0,17600.0
1693785600000,17560.0,17560.0,17560.0,17560.0
1693872000000,17513.0,17513.0,17513.0,17513.0
1693958400000,17485.0,17485.0,17485.0,17485.0
1694044800000,17449.0,17449.0,17449.0,17449.0
1694131200000,17479.0,17479.0,17479.0,17479.0
1694390400000,17555.0,17555.0,17555.0,17555.0
1694476800000,17461.0,17461.0,17461.0,17461.0
1694563200000,17407.0,17407.0,17407.0,17407.0
1694649600000,17593.0,17593.0,17593.0,17593.0
1694736000000,17693.0,17693.0,17693.0,17693.0
1694995200000,17498.0,17498.0,17498.0,17498.0
1695081600000,17429.0,17429.0,17429.0,17429.0
1695168000000,17560.0,17560.0,17560.0,17560.0
1695254400000,17327.0,17327.0,17327.0,17327.0
1695340800000,17323.0,17323.0,17323.0,17323.0
1695600000000,17127.0,17127.0,17127.0,17127.0
1695686400000,16967.0,16967.0,16967.0,16967.0
1695772800000,16922.0,16922.0,16922.0,16922.0
1695859200000,17025.0,17025.0,17025.0,17025.0
1695945600000,17115.0,17115.0,17115.0,17115.0
1696204800000,16949.0,16949.0,16949.0,16949.0
1696291200000,16776.0,16776.0,16776.0,16776.0
1696377600000,16768.0,16768.0,16768.0,16768.0
1696464000000,16734.0,16734.0,16734.0,16734.0
1696550400000,16907.0,16907.0,16907.0,16907.0
1696809600000,16787.0,16787.0,16787.0,16787.0
1696896000000,17111.0,17111.0,17111.0,17111.0
1696982400000,17152.0,17152.0,17152.0,17152.0
1697068800000,17124.0,17124.0,17124.0,17124.0
1697155200000,16855.0,16855.0,16855.0,16855.0
1697414400000,16886.0,16886.0,16886.0,16886.0
1697500800000,16909.0,16909.0,16909.0,16909.0
1697587200000,16752.0,16752.0,16752.0,16752.0
1697673600000,16680.0,16680.0,16680.0,16680.0
1697760000000,16422.0,16422.0,16422.0,16422.0
1698019200000,16404.0,16404.0,16404.0,16404.0
1698105600000,16484.0,16484.0,16484.0,16484.0
1698192000000,16513.0,16513.0,16513.0,16513.0
1698278400000,16320.0,16320.0,16320.0,16320.0
1698364800000,16295.0,16295.0,16295.0,16295.0
1698624000000,16280.0,16280.0,16280.0,16280.0
1698710400000,16364.0,16364.0,16364.0,16364.0
1698796800000,16501.0,16501.0,16501.0,16501.0
1698883200000,16750.0,16750.0,16750.0,16750.0
1698969600000,16806.0,16806.0,16806.0,16806.0
1699228800000,16745.0,16745.0,16745.0,16745.0
1699315200000,16761.0,16761.0,16761.0,16761.0
1699401600000,16837.0,16837.0,16837.0,16837.0
1699488000000,16970.0,16970.0,16970.0,16970.0
1699574400000,16848.0,16848.0,16848.0,16848.0
1699833600000,16961.0,16961.0,16961.0,16961.0
1699920000000,17266.0,17266.0,17266.0,17266.0
1700006400000,17409.0,17409.0,17409.0,17409.0
1700092800000,17439.0,17439.0,17439.0,17439.0
1700179200000,17587.0,17587.0,17587.0,17587.0
1700438400000,17574.0,17574.0,17574.0,17574.0
1700524800000,17573.0,17573.0,17573.0,17573.0
1700611200000,17630.0,17630.0,17630.0,17630.0
1700697600000,17668.0,17668.0,17668.0,17668.0
1700784000000,17705.0,17705.0,17705.0,17705.0
1701043200000,17640.0,17640.0,17640.0,17640.0
1701129600000,17645.0,17645.0,17645.0,17645.0
1701216000000,17825.0,17825.0,17825.0,17825.0
1701302400000,17891.0,17891.0,17891.0,17891.0
1701388800000,18046.0,18046.0,18046.0,18046.0
1701648000000,18069.0,18069.0,18069.0,18069.0
1701734400000,18197.0,18197.0,18197.0,18197.0
1701820800000,18365.0,18365.0,18365.0,18365.0
1701907200000,18318.0,18318.0,18318.0,18318.0
1701993600000,18459.0,18459.0,18459.0,18459.0
1702252800000,18522.0,18522.0,18522.0,18522.0
1702339200000,18504.0,18504.0,18504.0,18504.0
1702425600000,18467.0,18467.0,18467.0,18467.0
1702512000000,18453.0,18453.0,18453.0,18453.0
1702598400000,18442.0,18442.0,18442.0,18442.0
1702857600000,18315.0,18315.0,18315.0,18315.0
1702944000000,18431.0,18431.0,18431.0,18431.0
1703030400000,18420.0,18420.0,18420.0,18420.0
1703116800000,18356.0,18356.0,18356.0,18356.0
1703203200000,18376.0,18376.0,18376.0,18376.0
1703635200000,18398.0,18398.0,18398.0,18398.0
1703721600000,18348.0,18348.0,18348.0,18348.0
1703808000000,18395.0,18395.0,18395.0,18395.0
1704153600000,18409.0,18409.0,18409.0,18409.0
1704240000000,18127.0,18127.0,18127.0,18127.0
1704326400000,18248.0,18248.0,18248.0,18248.0
1704412800000,18214.0,18214.0,18214.0,18214.0
1704672000000,18331.0,18331.0,18331.0,18331.0
1704758400000,18313.0,18313.0,18313.0,18313.0
1704844800000,18327.0,18327.0,18327.0,18327.0
1704931200000,18162.0,18162.0,18162.0,18162.0
1705017600000,18316.0,18316.0,18316.0,18316.0
1705276800000,18249.0,18249.0,18249.0,18249.0
1705363200000,18171.0,18171.0,18171.0,18171.0
1705449600000,18024.0,18024.0,18024.0,18024.0
1705536000000,18168.0,18168.0,18168.0,18168.0
1705622400000,18164.0,18164.0,18164.0,18164.0
1705881600000,18299.0,18299.0,18299.0,18299.0
1705968000000,18253.0,18253.0,18253.0,18253.0
1706054400000,18531.0,18531.0,18531.0,18531.0
1706140800000,18538.0,18538.0,18538.0,18538.0
1706227200000,18589.0,18589.0,18589.0,18589.0
1706486400000,18562.0,18562.0,18562.0,18562.0
1706572800000,18605.0,18605.0,18605.0,18605.0
1706659200000,18509.0,18509.0,18509.0,18509.0
1706745600000,18438.0,18438.0,18438.0,18438.0
1706832000000,18522.0,18522.0,18522.0,18522.0
1707091200000,18504.0,18504.0,18504.0,18504.0
1707177600000,18674.0,18674.0,18674.0,18674.0
1707264000000,18527.0,18527.0,18527.0,18527.0
1707350400000,18583.0,18583.0,18583.0,18583.0
1707436800000,18529.0,18529.0,18529.0,18529.0
1707696000000,18646.0,18646.0,18646.0,18646.0
1707782400000,18477.0,18477.0,18477.0,18477.0
1707868800000,18547.0,18547.0,18547.0,18547.0
1707955200000,18645.0,18645.0,18645.0,18645.0
1708041600000,18731.0,18731.0,18731.0,18731.0
1708300800000,18700.0,18700.0,18700.0,18700.0
1708387200000,18677.0,18677.0,18677.0,18677.0
1708473600000,18716.0,18716.0,18716.0,18716.0
1708560000000,19003.0,19003.0,19003.0,19003.0
1708646400000,19045.0,19045.0,19045.0,19045.0
1708905600000,19059.0,19059.0,19059.0,19059.0
1708992000000,19199.0,19199.0,19199.0,19199.0
1709078400000,19088.0,19238.0,19088.0,19238.0
1709164800000,19361.0,19361.0,19361.0,19361.0
1709251200000,19377.0,19377.0,19377.0,19377.0
1709510400000,19358.0,19358.0,19358.0,19358.0
1709596800000,19335.0,19335.0,19335.0,19335.0
1709683200000,19354.0,19354.0,19354.0,19354.0
1709769600000,19516.0,19516.0,19516.0,19516.0
1709856000000,19467.0,19467.0,19467.0,19467.0
1710115200000,19392.0,19392.0,19392.0,19392.0
1710201600000,19633.0,19633.0,19633.0,19633.0
1710288000000,19627.0,19627.0,19627.0,19627.0
1710374400000,19581.0,19581.0,19581.0,19581.0
1710460800000,19606.0,19606.0,19606.0,19606.0
1710720000000,19591.0,19591.0,19591.0,19591.0
1710806400000,19643.0,19643.0,19643.0,19643.0
1710892800000,19648.0,19678.0,19648.0,19664.0
1710979200000,19759.0,19831.0,19759.0,19831.0
1711065600000,19837.0,19905.0,19837.0,19873.0
1711324800000,19874.0,19934.0,19874.0,19934.0
1711411200000,19949.0,20076.0,19916.0,20076.0
1711497600000,20037.0,20148.0,20037.0,20147.0
1711584000000,20170.0,20181.0,20169.0,20181.0
1712016000000,20143.0,20147.0,19946.0,19946.0
1712102400000,19985.0,20028.0,19974.0,20028.0
1712188800000,20043.0,20060.0,19835.0,20052.0
1712275200000,19821.0,19823.0,19789.0,19789.0
1712534400000,19892.0,19954.0,19892.0,19954.0
1712620800000,19785.0,19785.0,19696.0,19696.0
1712707200000,19862.0,19862.0,19587.0,19709.0
1712793600000,19594.0,19626.0,19521.0,19548.0
1712880000000,19720.0,19720.0,19463.0,19493.0
1713139200000,19618.0,19618.0,19490.0,19597.0
