ts,o,h,l,c
1735772400,19853.500000,19879.100000,19822.533500,19844.550000
1735776000,19845.016500,19853.700000,19777.150000,19844.189000
1735779600,19843.705500,19898.216500,19842.189000,19891.211000
1735783200,19890.700000,19910.705500,19886.194500,19897.700000
1735786800,19898.694500,19901.255500,19869.200000,19872.694500
1735790400,19873.200000,19884.261000,19865.216500,19881.178000
1735794000,19881.761000,19927.194500,19879.178000,19925.200000
1735797600,19925.683500,19945.694500,19913.200000,19918.211000
1735801200,19918.694500,19968.189000,19918.694500,19937.211000
1735804800,19939.183500,20023.222000,19894.200000,19938.211000
1735808400,19937.211000,19958.750000,19877.183500,19911.761000
1735812000,19912.200000,19916.200000,19838.194500,19857.216500
1735815600,19858.205500,19906.200000,19825.628000,19904.255500
1735819200,19904.772000,19938.694500,19884.128000,19911.722000
1735822800,19911.216500,19966.811000,19911.216500,19942.855500
1735826400,19943.778000,19986.850000,19912.872000,19969.811000
1735830000,19970.816500,20000.866500,19934.783500,19988.811000
1735833600,19989.783500,20040.289000,19948.744500,19987.305500
1735837200,19986.861000,20013.250000,19896.366500,19941.816500
1735840800,19942.800000,19942.800000,19905.739000,19927.805500
1735844400,19927.283500,19952.861000,19920.739000,19926.728000
1735848000,19927.794500,19967.789000,19927.794500,19960.811000
1735851600,19959.322000,19971.011000,19955.083500,19966.739000
1735858800,19959.116500,19961.611000,19927.594500,19939.078000
1735862400,19937.800000,19993.800000,19934.400000,19990.305500
1735866000,19989.789000,19997.294500,19977.789000,19991.800000
1735869600,19991.294500,20006.350000,19987.289000,19998.805500
1735873200,19999.800000,20009.861000,19996.816500,19997.372000
1735876800,19997.733500,19999.866500,19989.800000,19991.322000
1735880400,19991.805500,19992.316500,19978.805500,19989.800000
1735884000,19989.350000,19998.311000,19984.816500,19988.311000
1735887600,19985.316500,20012.800000,19971.300000,20004.294500
1735891200,20003.283500,20034.822000,19917.800000,19925.350000
1735894800,19924.300000,19979.805500,19916.733500,19968.355500
1735898400,19969.239000,19970.311000,19919.244500,19927.805500
1735902000,19927.300000,19966.805500,19927.300000,19953.294500
1735905600,19952.305500,19962.794500,19938.783500,19956.239000
1735909200,19955.739000,19970.300000,19890.800000,19908.316500
1735912800,19910.283500,19950.300000,19890.283500,19925.366500
1735916400,19926.283500,19930.739000,19865.278000,19904.311000
1735920000,19907.805500,19928.800000,19881.794500,19902.305500
1735923600,19901.733500,19914.800000,19894.311000,19905.250000
1735927200,19904.800000,19919.805500,19894.778000,19903.311000
1735930800,19902.350000,19918.305500,19900.300000,19906.861000
1735934400,19905.800000,19912.866500,19897.300000,19911.289000
1735938000,19910.244500,19910.244500,19910.244500,19910.244500
1736118000,19907.689000,19913.500000,19885.605500,19905.505500
1736121600,19907.194500,19937.850000,19897.455500,19925.278000
1736125200,19924.811000,19940.316500,19916.289000,19938.728000
1736128800,19938.289000,19949.316500,19929.294500,19947.300000
1736132400,19947.811000,19961.316500,19946.355500,19952.294500
1736136000,19951.744500,19965.372000,19943.316500,19964.305500
1736139600,19965.294500,19986.372000,19965.294500,19985.739000
1736143200,19986.305500,20007.811000,19985.778000,19991.794500
1736146800,19988.861000,20002.233500,19940.289000,19973.800000
1736150400,19980.294500,20000.311000,19919.311000,19977.244500
1736154000,19980.250000,20008.861000,19973.783500,19993.805500
1736157600,19992.794500,19995.311000,19950.311000,19977.855500
1736161200,19978.361000,20177.822000,19951.800000,20166.939000
1736164800,20165.000000,20199.011000,20151.983500,20158.516500
1736168400,20157.989000,20159.005500,20088.928000,20148.005500
1736172000,20146.983500,20159.561000,19993.939000,20105.000000
1736175600,20104.489000,20205.444500,20091.516500,20197.061000
1736179200,20198.066500,20248.516500,20174.939000,20225.989000
1736182800,20225.055500,20225.055500,20188.494500,20197.939000
1736186400,20197.555500,20198.478000,20154.928000,20159.016500
1736190000,20159.433500,20161.500000,20120.989000,20121.989000
1736193600,20120.989000,20139.489000,20111.072000,20138.494500
1736197200,20138.500000,20152.072000,20136.000000,20147.000000
1736204400,20148.444500,20158.505500,20138.589000,20140.372000
1736208000,20139.344500,20154.022000,20132.694500,20138.989000
1736211600,20138.516500,20148.450000,20128.011000,20141.011000
1736215200,20140.494500,20148.000000,20118.000000,20119.000000
1736218800,20118.500000,20135.050000,20108.489000,20134.555500
1736222400,20134.989000,20144.555500,20129.994500,20131.072000
1736226000,20131.489000,20137.500000,20109.939000,20135.500000
1736229600,20135.011000,20146.061000,20116.022000,20121.489000
1736233200,20122.500000,20185.428000,20115.500000,20176.516500
1736236800,20180.000000,20241.944500,20148.989000,20222.011000
1736240400,20222.944500,20270.500000,20205.489000,20221.516500
1736244000,20221.994500,20288.994500,20221.494500,20272.983500
1736247600,20272.016500,20304.572000,20264.989000,20273.516500
1736251200,20274.016500,20327.516500,20265.933500,20312.500000
1736254800,20313.505500,20351.494500,20311.500000,20348.061000
1736258400,20347.511000,20392.489000,20339.950000,20341.005500
1736262000,20343.494500,20347.066500,20253.983500,20316.983500
1736265600,20315.500000,20353.005500,20305.011000,20320.005500
1736269200,20321.016500,20341.005500,20303.050000,20323.994500
1736272800,20323.478000,20350.016500,20323.444500,20327.978000
1736276400,20327.494500,20335.566500,20301.994500,20308.011000
1736280000,20307.516500,20309.005500,20262.500000,20295.000000
1736283600,20290.011000,20307.900000,20282.400000,20307.083500
1736290800,20298.394500,20322.316500,20277.100000,20320.533500
1736294400,20321.411000,20331.766500,20295.066500,20302.428000
1736298000,20301.505500,20323.933500,20300.989000,20320.005500
1736301600,20318.572000,20322.005500,20297.500000,20315.489000
1736305200,20316.005500,20318.989000,20302.994500,20312.994500
1736308800,20313.550000,20317.005500,20299.005500,20302.566500
1736312400,20301.939000,20324.011000,20299.489000,20322.494500
1736316000,20323.566500,20324.055500,20287.505500,20288.483500
1736319600,20290.005500,20301.983500,20263.505500,20299.483500
1736323200,20299.989000,20408.000000,20285.500000,20380.989000
1736326800,20378.983500,20417.566500,20374.994500,20401.011000
1736330400,20400.500000,20467.483500,20399.005500,20463.989000
1736334000,20463.433500,20483.016500,20277.483500,20353.061000
1736337600,20351.005500,20352.011000,20271.505500,20272.500000
1736341200,20274.561000,20325.572000,20252.005500,20307.505500
1736344800,20308.566500,20324.494500,20239.555500,20271.511000
1736348400,20270.500000,20321.522000,20244.505500,20320.450000
1736352000,20319.500000,20350.005500,20301.933500,20331.483500
1736355600,20331.000000,20335.950000,20255.933500,20300.500000
1736359200,20301.011000,20342.516500,20287.494500,20307.000000
1736362800,20307.516500,20356.066500,20296.005500,20326.000000
1736366400,20326.494500,20350.522000,20317.072000,20345.989000
1736370000,20344.444500,20364.872000,20339.889000,20341.589000
1736377200,20334.450000,20346.411000,20319.494500,20321.211000
1736380800,20322.961000,20335.000000,20304.833500,20332.505500
1736384400,20331.500000,20344.933500,20322.994500,20331.933500
1736388000,20332.494500,20360.950000,20332.494500,20359.555500
1736391600,20359.011000,20361.516500,20339.505500,20340.511000
1736395200,20341.516500,20344.439000,20324.933500,20335.489000
1736398800,20335.016500,20345.522000,20330.505500,20336.489000
1736402400,20336.016500,20339.444500,20316.944500,20322.516500
1736406000,20321.500000,20326.066500,20261.511000,20269.950000
1736409600,20268.928000,20318.016500,20248.005500,20308.016500
1736413200,20309.000000,20313.994500,20265.994500,20287.511000
1736416800,20288.428000,20324.478000,20284.428000,20305.066500
1736420400,20304.055500,20320.994500,20286.989000,20311.439000
1736424000,20311.989000,20331.505500,20302.016500,20329.994500
1736427600,20329.439000,20361.022000,20322.994500,20340.061000
1736431200,20338.483500,20358.989000,20327.516500,20337.994500
1736434800,20338.511000,20350.505500,20312.500000,20328.983500
1736438400,20329.489000,20331.450000,20311.489000,20329.066500
1736442000,20328.550000,20333.011000,20321.511000,20324.000000
1736445600,20325.061000,20327.489000,20319.050000,20322.494500
1736449200,20322.994500,20327.989000,20320.928000,20324.500000
1736452800,20324.989000,20338.011000,20323.500000,20333.989000
1736456400,20334.061000,20334.061000,20334.061000,20334.061000
1736463600,20344.605500,20348.200000,20290.500000,20311.305500
1736467200,20312.133500,20317.816500,20261.511000,20290.511000
1736470800,20286.500000,20330.500000,20281.511000,20310.000000
1736474400,20309.522000,20332.061000,20298.500000,20329.494500
1736478000,20330.055500,20343.511000,20328.516500,20337.011000
1736481600,20337.555500,20341.561000,20319.505500,20333.011000
1736485200,20333.555500,20342.011000,20323.994500,20331.000000
1736488800,20330.450000,20330.450000,20287.433500,20290.439000
1736492400,20290.983500,20317.011000,20289.428000,20310.500000
1736496000,20303.555500,20349.500000,20298.989000,20335.500000
1736499600,20336.500000,20340.055500,20295.561000,20334.428000
1736503200,20335.550000,20392.555500,20326.483500,20352.483500
1736506800,20353.016500,20403.516500,20353.016500,20392.500000
1736510400,20393.511000,20402.505500,20367.944500,20395.505500
1736514000,20394.500000,20395.494500,20268.500000,20312.555500
1736517600,20314.005500,20375.489000,20297.489000,20315.516500
1736521200,20316.000000,20316.000000,20194.428000,20245.289000
1736524800,20246.322000,20250.289000,20187.228000,20212.305500
1736528400,20214.311000,20274.861000,20197.800000,20271.294500
1736532000,20270.294500,20307.355500,20252.278000,20304.789000
1736535600,20305.305500,20306.294500,20263.300000,20276.283500
1736539200,20275.311000,20277.822000,20229.228000,20247.744500
1736542800,20249.294500,20249.294500,20249.294500,20249.294500
1736722800,20226.889000,20255.966500,20197.094500,20233.950000
1736726400,20234.866500,20260.294500,20222.861000,20236.305500
1736730000,20235.800000,20237.800000,20178.350000,20199.283500
1736733600,20199.866500,20217.816500,20193.289000,20205.250000
1736737200,20205.744500,20213.305500,20171.300000,20180.322000
1736740800,20180.733500,20194.372000,20174.250000,20185.316500
1736744400,20183.283500,20192.855500,20172.783500,20179.866500
1736748000,20180.366500,20191.305500,20172.866500,20172.866500
1736751600,20173.794500,20183.733500,20134.750000,20159.350000
1736755200,20158.283500,20182.800000,20072.300000,20073.800000
1736758800,20077.289000,20092.800000,20048.500000,20053.950000
1736762400,20053.500000,20101.444500,20046.522000,20068.978000
1736766000,20069.511000,20086.555500,20023.505500,20070.994500
1736769600,20072.016500,20149.322000,20052.883500,20116.816500
1736773200,20117.866500,20118.805500,20078.794500,20089.811000
1736776800,20090.805500,20159.866500,20068.850000,20144.800000
1736780400,20144.250000,20174.783500,20126.728000,20162.278000
1736784000,20164.305500,20168.850000,20112.289000,20114.794500
1736787600,20115.300000,20170.739000,20107.816500,20168.744500
1736791200,20169.250000,20178.350000,20154.289000,20175.739000
1736794800,20174.866500,20183.305500,20155.289000,20175.816500
1736798400,20175.350000,20199.822000,20165.228000,20199.300000
1736802000,20199.300000,20215.216500,20194.944500,20210.750000
1736809200,20241.922000,20279.900000,20235.000000,20243.650000
1736812800,20244.400000,20261.789000,20220.294500,20229.794500
1736816400,20232.778000,20232.800000,20211.239000,20219.316500
1736820000,20219.794500,20229.800000,20199.233500,20229.800000
1736823600,20227.872000,20247.372000,20223.778000,20227.316500
1736827200,20227.816500,20241.805500,20217.783500,20241.805500
1736830800,20240.811000,20253.805500,20230.228000,20245.805500
1736834400,20246.289000,20256.811000,20237.350000,20240.311000
1736838000,20237.305500,20254.322000,20204.794500,20218.305500
1736841600,20219.850000,20279.316500,20213.250000,20259.355500
1736845200,20258.289000,20273.300000,20233.811000,20258.300000
1736848800,20259.311000,20301.872000,20252.244500,20299.789000
1736852400,20299.300000,20300.361000,20270.278000,20287.316500
1736856000,20286.294500,20295.322000,20247.289000,20294.300000
1736859600,20295.244500,20361.289000,20273.233500,20295.316500
1736863200,20297.811000,20310.800000,20232.822000,20241.283500
1736866800,20242.228000,20283.305500,20241.872000,20259.239000
1736870400,20260.228000,20280.289000,20230.305500,20231.294500
1736874000,20230.783500,20266.800000,20226.305500,20258.805500
1736877600,20258.316500,20296.300000,20257.289000,20287.805500
1736881200,20286.811000,20295.855500,20240.816500,20244.789000
1736884800,20245.294500,20268.800000,20221.778000,20265.300000
1736888400,20265.289000,20301.700000,20262.683500,20288.555500
1736895600,20287.805500,20288.361000,20265.994500,20276.428000
1736899200,20275.705500,20292.822000,20270.728000,20285.816500
1736902800,20286.305500,20304.366500,20284.305500,20300.800000
1736906400,20300.250000,20301.739000,20283.305500,20285.316500
1736910000,20284.861000,20285.311000,20270.316500,20270.861000
1736913600,20270.300000,20281.800000,20267.366500,20281.800000
1736917200,20280.289000,20280.289000,20265.300000,20267.811000
1736920800,20267.278000,20286.305500,20267.278000,20282.316500
1736924400,20278.800000,20312.783500,20277.805500,20312.361000
1736928000,20314.283500,20354.822000,20284.805500,20339.811000
1736931600,20338.311000,20378.322000,20336.305500,20365.866500
1736935200,20366.305500,20403.239000,20344.355500,20397.322000
1736938800,20399.372000,20458.316500,20395.872000,20448.850000
1736942400,20449.866500,20469.800000,20438.728000,20448.316500
1736946000,20447.355500,20616.289000,20428.289000,20604.311000
1736949600,20606.300000,20615.294500,20539.300000,20592.300000
1736953200,20593.300000,20615.800000,20571.283500,20602.294500
1736956800,20603.316500,20630.355500,20581.822000,20592.283500
1736960400,20591.872000,20614.800000,20588.294500,20601.488500
1736964000,20601.755000,20624.855500,20601.755000,20619.316500
1736967600,20618.744500,20623.811000,20604.294500,20611.805500
1736971200,20612.300000,20626.811000,20611.728000,20619.728000
1736974800,20619.794500,20631.922000,20612.950000,20612.950000
1736982000,20628.555500,20643.600000,20616.100000,20640.111000
1736985600,20640.489000,20660.305500,20632.289000,20641.300000
1736989200,20641.805500,20642.239000,20605.361000,20606.366500
1736992800,20606.750000,20608.783500,20593.728000,20601.778000
1736996400,20600.794500,20615.322000,20593.372000,20598.239000
1737000000,20597.800000,20611.228000,20597.289000,20605.811000
1737003600,20605.316500,20607.355500,20583.728000,20585.361000
1737007200,20585.866500,20631.800000,20584.294500,20619.805500
1737010800,20621.800000,20705.283500,20615.278000,20702.872000
1737014400,20702.278000,20702.278000,20586.122000,20586.122000
1737018000,20586.539000,20618.122000,20582.583500,20586.672000
1737021600,20587.100000,20617.666500,20575.589000,20593.661000
1737025200,20594.605500,20635.089000,20585.083500,20628.089000
1737028800,20627.544500,20652.655500,20612.155500,20636.100000
1737032400,20636.622000,20656.611000,20625.083500,20635.100000
1737036000,20635.661000,20664.100000,20600.600000,20605.172000
1737039600,20606.094500,20617.094500,20582.089000,20604.111000
1737043200,20602.083500,20668.600000,20598.544500,20663.078000
1737046800,20662.094500,20665.172000,20643.044500,20646.172000
1737050400,20646.594500,20661.089000,20621.589000,20628.650000
1737054000,20628.100000,20652.105500,20619.078000,20649.105500
1737057600,20648.111000,20656.589000,20634.083500,20644.616500
1737061200,20644.600000,20646.294500,20605.978000,20606.894500
1737068400,20632.455500,20644.994500,20624.589000,20644.816500
1737072000,20643.844500,20648.266500,20631.089000,20639.605500
1737075600,20640.655500,20656.550000,20637.605500,20655.105500
1737079200,20656.105500,20674.111000,20647.611000,20650.616500
1737082800,20650.111000,20669.155500,20647.089000,20668.033500
1737086400,20669.094500,20679.533500,20665.028000,20668.116500
1737090000,20667.605500,20675.655500,20652.111000,20666.594500
1737093600,20666.028000,20672.111000,20654.050000,20665.116500
1737097200,20671.611000,20716.650000,20668.605500,20713.611000
1737100800,20717.605500,20808.105500,20714.578000,20795.089000
1737104400,20796.605500,20888.589000,20795.105500,20853.055500
1737108000,20853.978000,20885.555500,20822.505500,20852.489000
1737111600,20853.494500,20877.500000,20852.994500,20860.583500
1737115200,20859.589000,20868.122000,20827.600000,20865.100000
1737118800,20863.661000,20895.600000,20853.111000,20875.611000
1737122400,20876.105500,20924.166500,20869.661000,20916.594500
1737126000,20917.550000,20927.611000,20883.033500,20895.589000
1737129600,20896.600000,20912.111000,20891.583500,20904.105500
1737133200,20903.039000,20915.100000,20894.539000,20899.583500
1737136800,20899.100000,20902.655500,20880.600000,20886.616500
1737140400,20886.100000,20899.172000,20878.100000,20883.594500
1737144000,20883.111000,20912.116500,20872.600000,20894.650000
1737327600,20896.105500,20896.105500,20858.444500,20873.600000
1737331200,20873.994500,20897.611000,20862.611000,20895.089000
1737334800,20894.650000,20912.033500,20891.655500,20902.605500
1737338400,20902.105500,20907.111000,20894.044500,20899.150000
1737342000,20898.611000,20915.105500,20897.083500,20915.105500
1737345600,20916.111000,20922.105500,20906.044500,20913.105500
1737349200,20912.650000,20923.100000,20911.089000,20922.111000
1737352800,20922.605500,20923.100000,20884.589000,20891.083500
1737356400,20891.600000,20908.083500,20887.600000,20890.100000
1737360000,20892.100000,20933.100000,20886.672000,20909.100000
1737363600,20909.600000,20923.661000,20902.172000,20916.105500
1737367200,20916.583500,20925.661000,20903.544500,20911.055500
1737370800,20913.005500,20922.500000,20892.994500,20894.483500
1737374400,20895.494500,20909.061000,20894.000000,20900.494500
1737381600,21048.005500,21054.983500,21031.444500,21036.000000
1737385200,21035.478000,21044.005500,20982.000000,21004.061000
1737388800,21004.483500,21015.066500,20982.983500,20986.005500
1737392400,20985.566500,20997.478000,20879.500000,20980.511000
1737396000,20979.950000,20988.511000,20953.511000,20975.555500
1737399600,20974.978000,20992.016500,20962.494500,20991.500000
1737403200,20990.983500,21021.978000,20985.483500,21018.428000
1737414000,21005.633500,21030.766500,20993.011000,21030.705500
1737417600,21031.166500,21059.550000,20895.994500,20895.994500
1737421200,20889.505500,20967.989000,20865.000000,20959.928000
1737424800,20960.478000,20985.050000,20960.478000,20974.011000
1737428400,20975.005500,21011.000000,20973.483500,20981.005500
1737432000,20982.016500,20983.005500,20945.000000,20949.978000
1737435600,20950.483500,20959.011000,20929.000000,20941.989000
1737439200,20942.483500,20944.939000,20903.522000,20924.994500
1737442800,20925.505500,20967.500000,20914.011000,20942.983500
1737446400,20945.505500,20999.500000,20915.994500,20968.505500
1737450000,20969.005500,20990.505500,20947.478000,20981.511000
1737453600,20981.989000,21002.500000,20962.494500,20965.000000
1737457200,20964.483500,20985.483500,20954.505500,20968.489000
1737460800,20968.016500,20987.566500,20956.439000,20967.505500
1737464400,20966.989000,20996.561000,20954.989000,20994.944500
1737468000,20996.050000,21020.489000,20984.005500,21006.450000
1737471600,21008.061000,21018.500000,20983.505500,21011.505500
1737475200,21011.000000,21068.505500,21005.439000,21064.489000
1737478800,21064.016500,21094.005500,21054.978000,21088.450000
1737482400,21087.994500,21092.000000,21074.072000,21085.494500
1737486000,21084.489000,21098.000000,21081.989000,21097.500000
1737489600,21097.000000,21133.500000,21093.994500,21124.000000
1737493200,21122.522000,21149.289000,21119.894500,21130.922000
1737500400,21148.666500,21168.905500,21128.711000,21152.205500
1737504000,21152.661000,21175.505500,21137.950000,21170.505500
1737507600,21171.061000,21171.061000,21139.478000,21147.928000
1737511200,21147.439000,21158.505500,21134.994500,21136.439000
1737514800,21136.989000,21148.516500,21136.550000,21147.572000
1737518400,21146.928000,21161.500000,21139.983500,21161.066500
1737522000,21159.511000,21160.011000,21143.500000,21148.000000
1737525600,21147.494500,21157.061000,21127.483500,21129.016500
1737529200,21130.983500,21178.000000,21123.016500,21155.011000
1737532800,21149.055500,21277.994500,21147.000000,21252.889000
1737536400,21253.889000,21272.889000,21246.883500,21250.472000
1737540000,21250.833500,21288.522000,21248.889000,21288.522000
1737543600,21287.994500,21308.511000,21273.939000,21288.989000
1737547200,21290.016500,21335.000000,21287.939000,21313.850000
1737550800,21313.378000,21329.911000,21289.950000,21300.344500
1737554400,21301.916500,21306.422000,21258.828000,21275.411000
1737558000,21275.839000,21275.839000,21214.383500,21219.972000
1737561600,21220.889000,21275.966500,21211.883500,21272.350000
1737565200,21271.911000,21274.889000,21253.905500,21253.961000
1737568800,21253.394500,21263.344500,21238.839000,21239.916500
1737572400,21239.400000,21254.900000,21235.839000,21252.394500
1737576000,21251.894500,21258.961000,21238.850000,21242.405500
1737579600,21241.905500,21246.411000,21234.639000,21240.239000
1737586800,21249.405500,21251.511000,21233.539000,21236.139000
1737590400,21235.311000,21245.878000,21227.450000,21240.950000
1737594000,21240.394500,21264.400000,21235.894500,21236.900000
1737597600,21235.839000,21257.394500,21223.900000,21253.900000
1737601200,21254.400000,21258.416500,21247.405500,21251.889000
1737604800,21253.883500,21270.339000,21253.883500,21270.339000
1737608400,21271.416500,21279.466500,21250.878000,21254.394500
