bar_start_ms,open,high,low,close
1735761600000,19853.50000,19879.10000,19822.53350,19844.55000
1735776000000,19845.01650,19910.70550,19777.15000,19872.69450
1735790400000,19873.20000,19968.18900,19865.21650,19937.21100
1735804800000,19939.18350,20023.22200,19825.62800,19904.25550
1735819200000,19904.77200,20000.86650,19884.12800,19988.81100
1735833600000,19989.78350,20040.28900,19896.36650,19926.72800
1735848000000,19927.79450,19971.01100,19927.59450,19939.07800
1735862400000,19937.80000,20009.86100,19934.40000,19997.37200
1735876800000,19997.73350,20012.80000,19971.30000,20004.29450
1735891200000,20003.28350,20034.82200,19916.73350,19953.29450
1735905600000,19952.30550,19970.30000,19865.27800,19904.31100
1735920000000,19907.80550,19928.80000,19881.79450,19906.86100
1735934400000,19905.80000,19912.86650,19897.30000,19910.24450
1736107200000,19907.68900,19913.50000,19885.60550,19905.50550
1736121600000,19907.19450,19961.31650,19897.45550,19952.29450
1736136000000,19951.74450,20007.81100,19940.28900,19973.80000
1736150400000,19980.29450,20177.82200,19919.31100,20166.93900
1736164800000,20165.00000,20205.44450,19993.93900,20197.06100
1736179200000,20198.06650,20248.51650,20120.98900,20121.98900
1736193600000,20120.98900,20158.50550,20111.07200,20140.37200
1736208000000,20139.34450,20154.02200,20108.48900,20134.55550
1736222400000,20134.98900,20185.42800,20109.93900,20176.51650
1736236800000,20180.00000,20304.57200,20148.98900,20273.51650
1736251200000,20274.01650,20392.48900,20253.98350,20316.98350
1736265600000,20315.50000,20353.00550,20301.99450,20308.01100
1736280000000,20307.51650,20322.31650,20262.50000,20320.53350
1736294400000,20321.41100,20331.76650,20295.06650,20312.99450
1736308800000,20313.55000,20324.05550,20263.50550,20299.48350
1736323200000,20299.98900,20483.01650,20277.48350,20353.06100
1736337600000,20351.00550,20352.01100,20239.55550,20320.45000
1736352000000,20319.50000,20356.06650,20255.93350,20326.00000
1736366400000,20326.49450,20364.87200,20317.07200,20321.21100
1736380800000,20322.96100,20361.51650,20304.83350,20340.51100
1736395200000,20341.51650,20345.52200,20261.51100,20269.95000
1736409600000,20268.92800,20324.47800,20248.00550,20311.43900
1736424000000,20311.98900,20361.02200,20302.01650,20328.98350
1736438400000,20329.48900,20333.01100,20311.48900,20324.50000
1736452800000,20324.98900,20348.20000,20290.50000,20311.30550
1736467200000,20312.13350,20343.51100,20261.51100,20337.01100
1736481600000,20337.55550,20342.01100,20287.43350,20310.50000
1736496000000,20303.55550,20403.51650,20295.56100,20392.50000
1736510400000,20393.51100,20402.50550,20194.42800,20245.28900
1736524800000,20246.32200,20307.35550,20187.22800,20276.28350
1736539200000,20275.31100,20277.82200,20229.22800,20249.29450
1736712000000,20226.88900,20255.96650,20197.09450,20233.95000
1736726400000,20234.86650,20260.29450,20171.30000,20180.32200
1736740800000,20180.73350,20194.37200,20134.75000,20159.35000
1736755200000,20158.28350,20182.80000,20023.50550,20070.99450
1736769600000,20072.01650,20174.78350,20052.88350,20162.27800
1736784000000,20164.30550,20183.30550,20107.81650,20175.81650
1736798400000,20175.35000,20279.90000,20165.22800,20243.65000
1736812800000,20244.40000,20261.78900,20199.23350,20227.31650
1736827200000,20227.81650,20256.81100,20204.79450,20218.30550
1736841600000,20219.85000,20301.87200,20213.25000,20287.31650
1736856000000,20286.29450,20361.28900,20232.82200,20259.23900
1736870400000,20260.22800,20296.30000,20226.30550,20244.78900
1736884800000,20245.29450,20301.70000,20221.77800,20276.42800
1736899200000,20275.70550,20304.36650,20270.31650,20270.86100
1736913600000,20270.30000,20312.78350,20265.30000,20312.36100
1736928000000,20314.28350,20458.31650,20284.80550,20448.85000
1736942400000,20449.86650,20616.28900,20428.28900,20602.29450
1736956800000,20603.31650,20630.35550,20581.82200,20611.80550
1736971200000,20612.30000,20643.60000,20611.72800,20640.11100
1736985600000,20640.48900,20660.30550,20593.37200,20598.23900
1737000000000,20597.80000,20705.28350,20583.72800,20702.87200
1737014400000,20702.27800,20702.27800,20575.58900,20628.08900
1737028800000,20627.54450,20664.10000,20582.08900,20604.11100
1737043200000,20602.08350,20668.60000,20598.54450,20649.10550
1737057600000,20648.11100,20656.58900,20605.97800,20644.81650
1737072000000,20643.84450,20674.11100,20631.08900,20668.03350
1737086400000,20669.09450,20716.65000,20652.11100,20713.61100
1737100800000,20717.60550,20888.58900,20714.57800,20860.58350
1737115200000,20859.58900,20927.61100,20827.60000,20895.58900
1737129600000,20896.60000,20915.10000,20878.10000,20883.59450
1737144000000,20883.11100,20912.11650,20872.60000,20894.65000
