ts,o,h,l,c
1776200032000,2736.2,2737.7,2736.2,2737.7
1776204000000,2733.5,2736.7,2733.1,2735.4
1776207600000,2735.3,2739.1,2735.2,2736.5
1776211200000,2736.4,2738.2,2735.6,2737.1
1776214800000,2737.1,2738.9,2736.1,2736.6
1776218400000,2736.7,2736.7,2732.3,2733.6
1776222000000,2733.7,2735.7,2732.8,2735.2
1776225600000,2734.9,2735.6,2732.8,2733.2
1776229200000,2733.1,2738.4,2730.3,2732.6
1776232800000,2732.6,2735.1,2732.2,2734.5
1776236400000,2734.5,2735.7,2732.3,2734.7
1776240000000,2734.6,2736.4,2733.4,2735.3
1776243600000,2735.5,2736.0,2730.8,2732.2
1776247200000,2732.4,2734.8,2728.1,2733.7
1776250800000,2733.8,2738.7,2729.4,2733.0
1776254400000,2732.8,2737.7,2729.9,2737.0
1776258000000,2737.0,2745.4,2730.8,2738.3
1776261600000,2738.3,2742.5,2732.4,2736.5
1776265200000,2736.6,2740.6,2731.3,2732.6
1776268800000,2732.4,2738.3,2725.0,2728.4
1776272400000,2728.7,2735.3,2728.1,2733.1
1776276000000,2733.2,2740.5,2731.3,2739.4
1776279600000,2739.5,2744.6,2737.8,2743.3
1776283200000,2743.4,2744.1,2739.9,2742.7
1776290400000,2742.7,2746.8,2740.7,2746.0
1776294000000,2746.0,2748.4,2745.6,2747.6
1776297600000,2747.6,2749.1,2745.3,2747.4
1776301200000,2747.1,2747.7,2745.1,2745.4
1776304800000,2745.4,2747.9,2745.2,2746.3
1776308400000,2746.2,2748.2,2744.8,2744.9
1776312000000,2745.0,2745.9,2743.7,2744.6
1776315600000,2744.8,2746.7,2743.3,2745.9
1776319200000,2746.1,2748.6,2745.3,2748.6
1776322800000,2748.1,2748.2,2744.1,2745.4
1776326400000,2745.2,2746.1,2740.7,2742.8
1776330000000,2742.8,2745.0,2741.9,2744.9
1776333600000,2745.1,2746.6,2743.1,2745.2
1776337200000,2745.5,2748.8,2743.9,2744.9
1776340800000,2745.0,2748.1,2739.4,2739.8
1776344400000,2740.0,2752.4,2732.0,2740.7
1776348000000,2740.7,2741.2,2729.1,2738.4
1776351600000,2738.3,2751.1,2737.9,2748.2
1776355200000,2748.3,2751.1,2737.0,2742.0
1776358800000,2742.3,2742.7,2733.7,2738.9
1776362400000,2739.0,2743.9,2738.0,2742.1
