ts,o,h,l,c
1759708800,24849.21700,25045.28850,24841.74450,24936.31100
1759795200,24935.90800,25067.63950,24778.84150,24881.73350
1759881600,24881.12450,25171.25700,24827.48900,25167.85250
1759968000,25168.21150,25195.08600,24964.61600,25133.89100
1760054400,25133.75000,25199.24200,24207.46700,24265.03300
1760227200,24381.47600,24565.37150,24381.47600,24514.38050
1760313600,24515.41900,24781.14100,24488.03850,24754.47250
1760400000,24754.60250,24867.65200,24247.77750,24605.75550
1760486400,24605.63000,24939.78850,24490.28550,24804.79400
1760572800,24805.02750,25004.22000,24473.50000,24577.25000
1760659200,24578.64100,24883.88950,24245.24450,24841.39650
1760832000,24923.77750,24923.77750,24874.14100,24893.87450
1760918400,24894.85100,25184.15750,24790.63550,25157.13000
1761004800,25157.22250,25204.36900,25040.11050,25110.47800
1761091200,25110.35800,25178.26650,24648.13300,24891.72800
1761177600,24892.00550,25153.27200,24784.36200,25141.84700
1761264000,25142.52200,25418.66300,25136.00000,25357.39350
1761436800,25605.77500,25606.51750,25554.76350,25572.53000
1761523200,25572.02450,25875.35250,25565.53250,25852.62300
1761609600,25852.10250,26086.38000,25800.84700,26040.76650
1761696000,26041.71700,26233.10850,25907.26650,26094.16300
1761782400,26094.49450,26257.86350,25713.73900,26035.38550
1761868800,26035.75550,26137.15200,25753.75000,25848.47800
1762041600,25891.23350,25959.00850,25891.23350,25947.25550
1762128000,25946.85800,26131.63950,25883.22250,25939.76100
1762214400,25939.50000,25939.50000,25378.77950,25380.49650
1762300800,25380.56700,25752.57000,25159.85150,25652.01250
1762387200,25652.38250,25701.51650,25081.95650,25205.89100
1762473600,25206.40750,25244.70050,24602.33900,25092.90100
1762646400,25239.65200,25250.62300,25191.71700,25229.64650
1762732800,25226.24450,25655.46000,25163.24600,25641.35250
1762819200,25641.25850,25666.88000,25378.21350,25546.82000
1762905600,25549.01300,25726.36950,25387.92150,25438.00450
1762992000,25437.77100,25617.93300,24905.69750,25014.88550
1763078400,25013.85250,25201.29450,24532.26250,25042.27150
1763251200,25049.00850,25100.98350,24935.59200,25083.01100
1763337600,25082.85800,25274.01100,24647.23900,24836.75550
1763424000,24836.61900,24875.61350,24297.34700,24509.78850
1763510400,24510.11350,25026.85800,24365.85250,25024.72800
1763596800,25023.99200,25222.41300,23946.90750,24063.39650
1763683200,24063.60800,24520.55600,23831.60250,24251.64800
1763856000,24417.88050,24453.01100,24388.10650,24402.39100
1763942400,24402.25550,24920.67450,24293.11900,24890.96700
1764028800,24891.37850,25066.97800,24534.37300,25025.41300
1764115200,25025.27750,25310.60200,25006.24050,25261.33550
1764201600,25261.06200,25276.92550,25223.81900,25272.77450
1764288000,25272.75650,25443.83900,25272.75650,25421.78150
1764460800,25475.63050,25475.63050,25393.74600,25416.88000
1764547200,25418.73900,25444.13200,25143.86900,25350.74450
1764633600,25351.02750,25621.72800,25277.26650,25577.79400
1764720000,25578.10650,25639.73000,25375.40200,25604.29400
1764806400,25603.99450,25688.76650,25446.27600,25582.46150
1764892800,25582.25000,25827.14650,25539.36900,25695.59900
1765065600,25716.85850,25720.11350,25683.88250,25709.84700
1765152000,25709.52200,25824.50550,25530.24200,25694.11900
1765238400,25694.37300,25700.79450,25527.74450,25643.10800
1765324800,25643.10650,25834.32550,25500.80650,25703.60250
1765411200,25703.40450,25721.93700,25358.26650,25653.39100
1765497600,25653.64900,25686.11900,25102.83600,25200.60450
1765670400,25210.52200,25210.52200,25119.63800,25180.26650
1765756800,25180.14100,25395.00550,25016.25650,25041.12300
1765843200,25040.14100,25190.22300,24808.75150,25067.28300
1765929600,25066.12500,25258.66300,24650.98800,24697.64100
1766016000,24698.46700,25164.68900,24666.77750,25021.77200
1766102400,25022.01100,25364.38800,24977.15750,25343.11900
1766275200,25427.36400,25437.77200,25394.72250,25431.79400
1766361600,25432.02200,25557.28300,25393.14900,25482.48300
1766448000,25482.57450,25593.81900,25377.46100,25583.84350
1766534400,25583.69450,25665.68400,25552.57450,25643.43800
1766620800,25663.35850,25678.52750,25647.50550,25668.90200
1766707200,25668.46150,25715.58600,25615.50150,25651.00900
1766880000,25658.27400,25663.39650,25629.15200,25655.37450
1766966400,25655.64100,25678.39650,25438.28000,25494.86900
1767052800,25495.13000,25579.87150,25438.15750,25451.13000
1767139200,25451.14900,25508.64100,25236.07450,25250.14000
1767225600,25284.82750,25304.15650,25261.21300,25298.52800
1767312000,25297.93550,25603.24750,25082.37900,25211.95450
1767484800,25254.89900,25281.37850,25225.61350,25276.01800
1767571200,25276.00000,25522.00200,25254.33100,25383.64650
1767657600,25383.87450,25662.26100,25345.00700,25643.00850
1767744000,25644.54400,25813.50850,25544.90200,25647.21100
1767830400,25647.34100,25668.10200,25395.24450,25504.14650
1767916800,25502.29950,25812.76850,25443.70600,25761.40850
1768089600,25781.64150,25781.64150,25710.97250,25724.64650
1768176000,25724.87850,25851.86000,25466.64350,25730.77200
1768262400,25729.52750,25880.36900,25640.99000,25728.36350
1768348800,25727.75000,25762.74200,25262.83150,25443.02200
1768435200,25443.37300,25792.09700,25400.63000,25588.25550
1768521600,25588.38000,25736.46150,25437.86350,25522.48350
1768694400,25305.87900,25311.50450,25248.35000,25310.37600
1768780800,25309.65100,25309.65100,25080.13700,25225.88950
1768867200,25225.36350,25284.89100,24945.39650,24973.03900
1768953600,24973.90650,25503.22600,24883.83300,25410.48300
1769040000,25412.85750,25597.96950,25341.68900,25482.40550
1769126400,25481.64450,25709.83000,25405.40150,25570.01300
1769299200,25372.38000,25441.88400,25325.23350,25430.75000
1769385600,25431.15750,25797.33650,25431.15750,25762.00000
1769472000,25761.88000,26018.00550,25747.25550,26009.22000
1769558400,26009.21700,26219.59700,25868.59400,26043.06100
1769644800,26042.19100,26153.01150,25411.37450,25854.11600
1769731200,25853.89100,25873.60250,25455.31350,25532.50100
1769904000,25388.25850,25457.86900,25261.73350,25420.61900
1769990400,25419.49050,25866.36300,25068.75850,25837.62400
1770076800,25837.47200,25917.35200,25112.32450,25323.98300
1770163200,25324.12400,25411.33000,24680.68300,24968.27750
1770249600,24968.53300,25069.76100,24202.85800,24244.35800
1770336000,24244.23900,25132.56300,24150.36350,25040.68750
1770508800,25084.50550,25208.39650,25084.50550,25189.86350
1770595200,25189.75550,25339.43200,24869.72250,25259.86750
1770681600,25260.17950,25361.63000,25114.47800,25191.10800
1770768000,25191.63400,25382.97000,24977.09400,25155.04600
1770854400,25153.93550,25339.94100,24643.15600,24750.35250
1770940800,24750.76650,24923.72750,24507.24450,24728.05050
1771113600,24728.60300,24771.24450,24688.00000,24769.60300
1771200000,24769.35850,24851.60250,24602.37450,24747.98350
1771286400,24748.91300,24820.35250,24382.21700,24646.03950
1771372800,24646.26200,25060.38000,24645.14200,24898.63250
1771459200,24898.39650,24987.78850,24686.07450,24819.47800
1771545600,24819.74200,25079.97550,24621.13550,25018.96900
1771718400,24966.33100,25000.26450,24879.97250,24915.40750
1771804800,24915.48350,24983.28300,24614.31700,24737.03450
1771891200,24737.03850,25023.10300,24645.11750,24994.49100
1771977600,24993.97450,25371.34150,24950.05600,25269.99450
1772064000,25268.76400,25368.37850,24819.13700,24954.21350
1772150400,24952.08350,25056.89400,24741.09450,24935.20150
1772323200,24628.31850,24775.18400,24628.31850,24700.67450
1772409600,24701.68550,25059.73000,24438.93000,24935.39650
1772496000,24935.39350,24943.88000,24316.03450,24666.99450
1772582400,24667.97250,25182.11000,24464.88000,25137.40200
1772668800,25137.37850,25208.51650,24741.92700,25030.93350
1772755200,25031.58800,25112.09750,24577.66000,24629.44100
1772928000,24429.64150,24429.64150,24143.00000,24188.86600
1773014400,24188.72250,25022.87000,23974.24600,24854.92250
1773100800,24851.20000,25189.34600,24806.09650,24992.19650
1773187200,24995.51150,25108.18950,24713.51800,24768.01250
1773273600,24767.95050,24908.09000,24521.37700,24570.60250
1773360000,24512.47250,24788.91850,24335.15650,24347.21800
1773532800,24305.22250,24481.32550,24282.78300,24426.10250
1773619200,24426.39100,24797.16900,24426.39100,24655.80800
1773705600,24655.38350,24882.95600,24507.23050,24775.59150
1773792000,24771.48350,24981.67950,24341.59700,24396.01100
1773878400,24395.74450,24504.16000,24106.75550,24402.63000
1773964800,24403.10100,24443.38000,23759.44200,23932.24450
1774137600,23688.99450,23883.50300,23688.99450,23794.22800
1774224000,23794.13550,24490.75600,23561.61600,24241.30550
1774310400,24241.03300,24291.23800,23920.99450,24203.91650
1774396800,24203.99900,24330.60050,24074.50550,24113.03850
1774483200,24114.80000,24210.98300,23564.90400,23683.46850
1774569600,23684.31100,23781.93000,23086.80400,23097.38650
1774742400,23031.83650,23060.23350,22955.27200,23027.74050
1774828800,22946.66300,23356.71150,22841.67000,22919.04000
1774915200,22919.01100,23793.55200,22781.13000,23779.18750
1775001600,23778.30750,24162.41350,23767.05750,23995.37550
1775088000,23996.84250,24070.88650,23492.23350,24035.57600
1775347200,23894.88600,23925.42400,23809.59700,23907.36900
1775433600,23907.15200,24274.74450,23871.87450,24133.72250
1775520000,24133.89100,24757.78350,23776.90350,24748.16950
1775606400,24748.29450,25087.06100,24748.29450,24863.41800
1775692800,24862.92200,25097.06600,24782.02700,25042.76000
1775779200,25042.99900,25228.27100,25033.34600,25128.23650
