ts,o,h,l,c
1776199970000,26247.25,26251.0,26242.5,26243.5
1776204000000,26239.25,26268.75,26230.0,26249.25
1776207600000,26249.25,26289.5,26247.0,26272.0
1776211200000,26271.25,26276.75,26248.5,26272.5
1776214800000,26271.5,26296.5,26267.75,26292.5
1776218400000,26291.75,26292.5,26243.5,26249.5
1776222000000,26249.0,26280.25,26248.5,26275.5
1776225600000,26275.25,26279.25,26263.5,26267.75
1776229200000,26267.75,26312.25,26219.25,26232.0
1776232800000,26232.5,26251.5,26221.25,26241.5
1776236400000,26242.0,26263.0,26223.75,26258.5
1776240000000,26258.25,26292.0,26253.5,26286.0
1776243600000,26286.0,26292.25,26228.5,26231.75
1776247200000,26232.25,26252.0,26186.75,26238.75
1776250800000,26239.0,26302.0,26225.75,26251.75
1776254400000,26252.0,26261.0,26213.75,26243.5
1776258000000,26243.5,26326.5,26232.5,26322.75
1776261600000,26323.5,26431.5,26302.5,26418.25
1776265200000,26418.25,26471.25,26393.75,26452.25
1776268800000,26452.75,26507.5,26356.75,26399.25
1776272400000,26399.25,26475.75,26391.75,26446.25
1776276000000,26445.75,26572.0,26428.5,26559.75
1776279600000,26559.5,26634.75,26548.75,26621.5
1776283200000,26621.5,26628.5,26586.75,26616.75
1776290400000,26607.0,26650.75,26602.0,26647.25
1776294000000,26647.0,26676.75,26640.75,26664.5
1776297600000,26665.5,26703.0,26646.25,26695.75
1776301200000,26695.5,26723.5,26683.75,26698.75
1776304800000,26698.75,26717.0,26697.75,26700.5
1776308400000,26700.0,26718.5,26695.5,26701.5
1776312000000,26700.75,26702.5,26686.75,26692.25
1776315600000,26692.75,26719.25,26674.25,26713.0
1776319200000,26713.75,26744.25,26713.25,26739.0
1776322800000,26738.0,26746.5,26710.25,26718.0
1776326400000,26717.5,26722.75,26666.0,26698.5
1776330000000,26698.5,26716.0,26691.5,26711.25
1776333600000,26711.75,26724.0,26621.75,26663.5
1776337200000,26665.0,26683.0,26640.25,26676.0
1776340800000,26676.75,26690.25,26650.25,26659.5
1776344400000,26659.5,26711.25,26531.75,26578.0
1776348000000,26578.0,26680.5,26547.0,26661.75
1776351600000,26661.25,26802.0,26661.25,26792.0
1776355200000,26792.5,26823.25,26688.25,26731.5
1776358800000,26732.5,26768.25,26688.75,26718.75
1776362400000,26718.25,26742.5,26612.0,26696.0
1776366000000,26696.0,26757.0,26692.0,26742.75
1776369600000,26743.0,26749.25,26698.75,26722.5
1776376800000,26718.0,26745.75,26703.25,26733.5
1776380400000,26731.75,26747.0,26728.5,26737.75
1776384000000,26738.0,26755.75,26714.0,26746.0
1776387600000,26746.0,26756.25,26738.75,26746.75
1776391200000,26747.75,26753.5,26713.0,26723.25
1776394800000,26723.0,26726.5,26707.5,26717.25
1776398400000,26717.25,26740.0,26714.0,26721.5
1776402000000,26721.5,26728.25,26698.0,26723.75
1776405600000,26724.25,26738.5,26704.75,26714.75
1776409200000,26715.0,26750.75,26715.0,26746.75
1776412800000,26747.25,26779.75,26735.0,26777.5
1776416400000,26777.5,26800.5,26764.75,26795.75
1776420000000,26795.75,26806.0,26764.0,26785.25
1776423600000,26784.5,26827.5,26780.5,26825.0
1776427200000,26825.75,27006.75,26820.5,27002.25
1776430800000,27002.75,27079.25,26889.25,26992.0
1776434400000,26992.5,27117.75,26975.0,27089.0
1776438000000,27089.5,27139.25,27060.75,27066.25
1776441600000,27066.25,27147.0,27052.75,27121.25
1776445200000,27121.5,27139.5,26996.25,27069.5
1776448800000,27069.75,27083.75,27016.5,27046.0
1776452400000,27046.25,27092.75,27018.75,27089.0
1776456000000,27089.25,27106.75,27077.5,27102.5
1776636000000,26859.25,26935.25,26793.75,26925.0
1776639600000,26925.75,26942.25,26896.5,26919.75
1776643200000,26918.25,26925.0,26875.75,26916.75
1776646800000,26917.75,26975.25,26913.0,26965.75
1776650400000,26966.25,26966.75,26945.0,26955.0
1776654000000,26954.75,26961.75,26937.25,26939.5
1776657600000,26939.25,26942.5,26914.25,26935.75
1776661200000,26935.75,26938.75,26871.5,26894.75
1776664800000,26895.75,26961.75,26893.0,26947.5
1776668400000,26949.25,26982.0,26906.25,26929.25
1776672000000,26928.75,26968.75,26878.75,26956.25
