ts,o,h,l,c
1781215200000,29739.0,29819.0,29733.75,29810.25
1781216100000,29811.5,29834.75,29804.25,29818.25
1781217000000,29818.25,29842.0,29805.25,29836.75
1781217900000,29840.0,29873.25,29840.0,29846.0
1781218800000,29844.75,29849.0,29811.0,29826.0
1781219700000,29829.0,29846.25,29776.25,29805.25
1781220600000,29816.0,29850.0,29804.0,29850.0
1781221500000,29851.0,29876.0,29844.5,29860.0
1781222400000,29858.75,29886.0,29820.25,29864.0
1781223300000,29863.25,29900.0,29829.0,29893.5
1781224200000,29894.75,29928.0,29869.75,29874.25
1781225100000,29876.75,29899.0,29849.0,29870.75
1781226000000,29870.5,29870.5,29818.75,29848.0
1781226900000,29847.75,29859.0,29755.0,29764.0
1781227800000,29765.75,29803.75,29749.75,29779.25
1781228700000,29775.5,29842.25,29773.5,29836.5
1781229600000,29837.5,29869.25,29837.5,29854.5
1781230500000,29854.25,29854.25,29799.0,29799.0
1781231400000,29800.5,29834.0,29790.25,29831.25
1781232300000,29834.75,29858.0,29831.5,29848.0
1781233200000,29847.5,29847.5,29796.5,29808.0
1781234100000,29809.75,29814.25,29778.0,29809.75
1781235000000,29806.25,29837.5,29803.0,29821.5
1781235900000,29817.0,29826.0,29787.25,29814.5
1781236800000,29815.0,29815.25,29779.25,29803.75
1781237700000,29807.0,29826.5,29776.75,29826.5
1781238600000,29821.5,29833.5,29808.5,29828.0
1781239500000,29826.25,29837.5,29819.25,29832.5
1781240400000,29832.25,29842.25,29793.0,29811.25
1781241300000,29816.75,29830.5,29803.25,29821.25
1781242200000,29820.5,29820.5,29743.75,29767.0
1781243100000,29769.0,29769.0,29665.0,29690.25
1781244000000,29691.5,29761.75,29679.75,29749.0
1781244900000,29747.25,29748.75,29706.5,29714.5
1781245800000,29710.75,29710.75,29662.0,29672.0
1781246700000,29669.75,29679.0,29621.25,29645.0
1781247600000,29648.75,29655.75,29559.0,29559.75
1781248500000,29561.5,29608.75,29549.75,29583.75
1781249400000,29580.25,29672.5,29573.0,29667.25
1781250300000,29663.5,29743.25,29654.0,29718.5
1781251200000,29719.75,29773.5,29706.5,29753.75
1781252100000,29758.5,29855.0,29733.75,29810.75
1781253000000,29819.0,29827.75,29743.5,29754.25
1781253900000,29758.25,29804.25,29738.0,29768.5
1781254800000,29769.75,29835.75,29768.0,29834.5
1781255700000,29837.25,29906.25,29831.0,29900.25
1781256600000,29902.25,29958.0,29881.75,29927.25
1781257500000,29928.0,29950.25,29901.0,29914.5
1781258400000,29910.75,29948.75,29892.75,29912.5
1781259300000,29918.75,29918.75,29809.75,29823.25
