ts,o,h,l,c
1735750800,0.559835,0.560285,0.559410,0.560270
1735754400,0.560315,0.560475,0.559555,0.559780
1735758000,0.559780,0.560575,0.559300,0.560350
1735761600,0.560360,0.561640,0.560130,0.561515
1735765200,0.561510,0.562140,0.561205,0.562140
1735768800,0.562135,0.562135,0.561415,0.561640
1735772400,0.561645,0.562060,0.561600,0.561675
1735776000,0.561670,0.561695,0.561190,0.561480
1735779600,0.561465,0.561520,0.560955,0.561300
1735783200,0.561285,0.561435,0.560790,0.560830
1735786800,0.560835,0.561565,0.560435,0.561545
1735790400,0.561550,0.562460,0.561425,0.561885
1735794000,0.561895,0.562160,0.560845,0.560935
1735797600,0.560925,0.561525,0.560705,0.561385
1735801200,0.561390,0.561555,0.560755,0.560810
1735804800,0.560830,0.561395,0.560375,0.561125
1735808400,0.561135,0.561615,0.560420,0.560680
1735812000,0.560690,0.561365,0.560150,0.560230
1735815600,0.560225,0.560310,0.559095,0.559895
1735819200,0.559890,0.560365,0.559245,0.559425
1735822800,0.559410,0.559570,0.558810,0.559195
1735826400,0.559200,0.559455,0.558695,0.558760
1735830000,0.558755,0.559685,0.558755,0.559310
1735833600,0.559320,0.559660,0.559275,0.559455
1735837200,0.559450,0.559730,0.559185,0.559630
1735840800,0.559640,0.559735,0.559100,0.559315
1735844400,0.559325,0.560795,0.559315,0.560735
1735848000,0.560745,0.560745,0.559815,0.560045
1735851600,0.560035,0.560595,0.559965,0.560390
1735855200,0.560395,0.560690,0.560245,0.560455
1735858800,0.560435,0.560685,0.560170,0.560640
1735862400,0.560665,0.561095,0.560545,0.560665
1735866000,0.560655,0.561035,0.560565,0.560925
1735869600,0.560935,0.561075,0.559310,0.560175
1735873200,0.560185,0.560565,0.559455,0.559705
1735876800,0.559695,0.560745,0.559695,0.560120
1735880400,0.560115,0.560295,0.559820,0.559995
1735884000,0.560005,0.560860,0.560000,0.560645
1735887600,0.560625,0.560790,0.560215,0.560645
1735891200,0.560650,0.560920,0.560230,0.560505
1735894800,0.560510,0.561295,0.560345,0.561150
1735898400,0.561125,0.561140,0.559355,0.560025
1735902000,0.560005,0.560715,0.559950,0.560300
1735905600,0.560295,0.561365,0.560295,0.560705
1735909200,0.560695,0.561105,0.560435,0.560660
1735912800,0.560650,0.561330,0.560480,0.560865
1735916400,0.560850,0.561335,0.560705,0.560870
1735920000,0.560860,0.561475,0.560840,0.561280
1736096400,0.561540,0.561595,0.561045,0.561225
1736100000,0.561205,0.562035,0.560960,0.561695
1736103600,0.561705,0.562895,0.561505,0.562655
1736107200,0.562660,0.563435,0.561620,0.561905
1736110800,0.561890,0.562730,0.561715,0.562135
1736114400,0.562125,0.562325,0.561400,0.562190
1736118000,0.562200,0.562445,0.561885,0.562165
1736121600,0.562160,0.562810,0.562085,0.562395
1736125200,0.562385,0.562895,0.562215,0.562580
1736128800,0.562570,0.562930,0.562305,0.562645
1736132400,0.562635,0.564215,0.562435,0.564155
1736136000,0.564165,0.564370,0.563445,0.563590
1736139600,0.563595,0.563640,0.563095,0.563100
1736143200,0.563095,0.567480,0.562640,0.567465
1736146800,0.567445,0.567695,0.566215,0.567375
1736150400,0.567385,0.568475,0.567215,0.567480
1736154000,0.567500,0.568025,0.564020,0.565645
1736157600,0.565655,0.565885,0.563705,0.564075
1736161200,0.564070,0.564805,0.563645,0.564405
1736164800,0.564395,0.564475,0.563480,0.564010
1736168400,0.563985,0.564070,0.563280,0.563305
1736172000,0.563315,0.563820,0.563130,0.563810
1736175600,0.563815,0.564115,0.563780,0.564075
1736179200,0.564090,0.564515,0.563955,0.564290
1736182800,0.564335,0.564725,0.564000,0.564005
1736186400,0.564010,0.564170,0.563715,0.563770
1736190000,0.563790,0.564595,0.563570,0.564590
1736193600,0.564575,0.564915,0.564115,0.564695
1736197200,0.564685,0.565300,0.564670,0.565125
1736200800,0.565105,0.566335,0.564795,0.566180
1736204400,0.566195,0.566525,0.565860,0.565910
1736208000,0.565905,0.567005,0.565835,0.566715
1736211600,0.566725,0.567005,0.566240,0.566340
1736215200,0.566325,0.567640,0.566195,0.567595
1736218800,0.567605,0.568705,0.567575,0.568700
1736222400,0.568680,0.569280,0.568480,0.568635
1736226000,0.568630,0.568915,0.568300,0.568480
1736229600,0.568475,0.568495,0.567555,0.567800
1736233200,0.567810,0.568050,0.566920,0.567160
1736236800,0.567155,0.567845,0.567025,0.567080
1736240400,0.567085,0.567095,0.566495,0.566760
1736244000,0.566750,0.566750,0.564090,0.564735
1736247600,0.564740,0.564865,0.563675,0.564225
1736251200,0.564210,0.565120,0.564155,0.564610
1736254800,0.564600,0.564855,0.563705,0.563945
1736258400,0.563945,0.564340,0.563830,0.564070
1736262000,0.564075,0.564125,0.563245,0.563475
1736265600,0.563465,0.563570,0.563295,0.563490
1736269200,0.563475,0.563805,0.563275,0.563300
1736272800,0.563305,0.563535,0.563200,0.563400
1736276400,0.563410,0.564190,0.562895,0.563085
1736280000,0.563095,0.563375,0.562560,0.563260
1736283600,0.563270,0.563480,0.563045,0.563175
1736287200,0.563170,0.563555,0.562945,0.563305
1736290800,0.563285,0.563595,0.563005,0.563315
1736294400,0.563325,0.563915,0.563165,0.563845
1736298000,0.563860,0.564175,0.563450,0.563695
1736301600,0.563685,0.563735,0.562685,0.562825
1736305200,0.562830,0.563105,0.561865,0.561870
1736308800,0.561865,0.562495,0.561780,0.561965
1736312400,0.561970,0.561985,0.561075,0.561580
1736316000,0.561565,0.561605,0.558955,0.560135
1736319600,0.560115,0.560390,0.558975,0.559325
1736323200,0.559335,0.560160,0.559170,0.560060
1736326800,0.560070,0.560530,0.559435,0.559730
1736330400,0.559735,0.560865,0.559730,0.560625
1736334000,0.560620,0.561230,0.560105,0.561120
1736337600,0.561125,0.561260,0.559945,0.560335
1736341200,0.560345,0.561050,0.560155,0.560375
1736344800,0.560370,0.561295,0.560190,0.560375
1736348400,0.560395,0.561050,0.560265,0.560825
1736352000,0.560815,0.561140,0.560690,0.560840
1736355600,0.560860,0.561330,0.560530,0.560600
1736359200,0.560595,0.560825,0.560475,0.560485
1736362800,0.560495,0.560685,0.559485,0.559955
1736366400,0.559930,0.560245,0.559645,0.559745
1736370000,0.559725,0.560535,0.559715,0.560180
