ts,o,h,l,c
1655769600000,4255.5,4255.5,4255.5,4255.5
1655856000000,4232.75,4232.75,4232.75,4232.75
1655942400000,4271.5,4271.5,4271.5,4271.5
1656028800000,4397.5,4397.5,4397.5,4397.5
1656288000000,4384.5,4384.5,4384.5,4384.5
1656374400000,4310.25,4310.25,4310.25,4310.25
1656460800000,4288.75,4288.75,4288.75,4288.75
1656547200000,4241.5,4241.5,4241.5,4241.5
1656633600000,4270.5,4270.5,4270.5,4270.5
1656892800000,4270.5,4270.5,4270.5,4270.5
1656979200000,4272.75,4272.75,4272.75,4272.75
1657065600000,4302.75,4302.75,4302.75,4302.75
1657152000000,4373.25,4373.25,4373.25,4373.25
1657238400000,4382.0,4382.0,4382.0,4382.0
1657497600000,4319.0,4319.0,4319.0,4319.0
1657584000000,4271.5,4271.5,4271.5,4271.5
1657670400000,4256.5,4256.5,4256.5,4256.5
1657756800000,4244.75,4244.75,4244.75,4244.75
1657843200000,4333.0,4333.0,4333.0,4333.0
1658102400000,4298.5,4298.5,4298.5,4298.5
1658188800000,4423.25,4423.25,4423.25,4423.25
1658275200000,4451.25,4451.25,4451.25,4451.25
1658361600000,4492.25,4492.25,4492.25,4492.25
1658448000000,4435.25,4435.25,4435.25,4435.25
1658707200000,4441.75,4441.75,4441.75,4441.75
1658793600000,4390.0,4390.0,4390.0,4390.0
1658880000000,4497.75,4497.75,4497.75,4497.75
1658966400000,4550.5,4550.5,4550.5,4550.5
1659052800000,4616.0,4616.0,4616.0,4616.0
1659312000000,4613.0,4613.0,4613.0,4613.0
1659398400000,4602.0,4602.0,4602.0,4602.0
1659484800000,4664.5,4664.5,4664.5,4664.5
1659571200000,4659.25,4659.25,4659.25,4659.25
1659657600000,4671.0,4671.0,4671.0,4671.0
1659916800000,4665.75,4665.75,4665.75,4665.75
1660003200000,4652.75,4652.75,4652.75,4652.75
1660089600000,4738.75,4738.75,4738.75,4738.75
1660176000000,4738.75,4738.75,4738.75,4738.75
1660262400000,4825.0,4825.0,4825.0,4825.0
1660521600000,4843.25,4843.25,4843.25,4843.25
1660608000000,4854.0,4854.0,4854.0,4854.0
1660694400000,4821.75,4821.75,4821.75,4821.75
1660780800000,4831.5,4831.5,4831.5,4831.5
1660867200000,4776.5,4776.5,4776.5,4776.5
1661126400000,4679.75,4679.75,4679.75,4679.75
1661212800000,4667.75,4667.75,4667.75,4667.75
1661299200000,4681.75,4681.75,4681.75,4681.75
1661385600000,4745.25,4745.25,4745.25,4745.25
1661472000000,4590.25,4590.25,4590.25,4590.25
1661731200000,4561.25,4561.25,4561.25,4561.25
1661817600000,4508.5,4508.5,4508.5,4508.5
1661904000000,4485.75,4485.75,4485.75,4485.75
1661990400000,4498.75,4498.75,4498.75,4498.75
1662076800000,4438.5,4438.5,4438.5,4438.5
1662336000000,4438.5,4438.5,4438.5,4438.5
1662422400000,4424.5,4424.5,4424.5,4424.5
1662508800000,4499.75,4499.75,4499.75,4499.75
1662595200000,4533.25,4533.25,4533.25,4533.25
1662681600000,4603.25,4603.25,4603.25,4603.25
1662940800000,4651.75,4651.75,4651.75,4651.75
1663027200000,4471.75,4471.75,4471.75,4471.75
1663113600000,4489.0,4489.0,4489.0,4489.0
1663200000000,4439.5,4439.5,4439.5,4439.5
1663286400000,4408.25,4408.25,4408.25,4408.25
1663545600000,4438.5,4438.5,4438.5,4438.5
1663632000000,4390.0,4390.0,4390.0,4390.0
1663718400000,4333.0,4333.0,4333.0,4333.0
1663804800000,4296.25,4296.25,4296.25,4296.25
1663891200000,4227.5,4227.5,4227.5,4227.5
1664150400000,4184.25,4184.25,4184.25,4184.25
1664236800000,4173.5,4173.5,4173.5,4173.5
1664323200000,4238.25,4238.25,4238.25,4238.25
1664409600000,4153.0,4153.0,4153.0,4153.0
1664496000000,4096.0,4096.0,4096.0,4096.0
1664755200000,4193.0,4193.0,4193.0,4193.0
1664841600000,4319.0,4319.0,4319.0,4319.0
1664928000000,4309.25,4309.25,4309.25,4309.25
1665014400000,4269.5,4269.5,4269.5,4269.5
1665100800000,4167.0,4167.0,4167.0,4167.0
1665360000000,4136.0,4136.0,4136.0,4136.0
1665446400000,4106.75,4106.75,4106.75,4106.75
1665532800000,4095.0,4095.0,4095.0,4095.0
1665619200000,4197.25,4197.25,4197.25,4197.25
1665705600000,4116.5,4116.5,4116.5,4116.5
1665964800000,4217.75,4217.75,4217.75,4217.75
1666051200000,4265.0,4265.0,4265.0,4265.0
1666137600000,4238.25,4238.25,4238.25,4238.25
1666224000000,4203.75,4203.75,4203.75,4203.75
1666310400000,4298.5,4298.5,4298.5,4298.5
1666569600000,4348.0,4348.0,4348.0,4348.0
1666656000000,4420.25,4420.25,4420.25,4420.25
1666742400000,4389.0,4389.0,4389.0,4389.0
1666828800000,4364.25,4364.25,4364.25,4364.25
1666915200000,4464.25,4464.25,4464.25,4464.25
1667174400000,4437.25,4437.25,4437.25,4437.25
1667260800000,4429.25,4429.25,4429.25,4429.25
1667347200000,4322.25,4322.25,4322.25,4322.25
1667433600000,4278.0,4278.0,4278.0,4278.0
1667520000000,4333.0,4333.0,4333.0,4333.0
1667779200000,4371.75,4371.75,4371.75,4371.75
1667865600000,4393.25,4393.25,4393.25,4393.25
1667952000000,4306.0,4306.0,4306.0,4306.0
1668038400000,4511.75,4511.75,4511.75,4511.75
1668384000000,4527.75,4527.75,4527.75,4527.75
1668470400000,4564.5,4564.5,4564.5,4564.5
1668556800000,4530.0,4530.0,4530.0,4530.0
1668643200000,4516.0,4516.0,4516.0,4516.0
1668729600000,4537.5,4537.5,4537.5,4537.5
1668988800000,4531.0,4531.0,4531.0,4531.0
1669075200000,4588.0,4588.0,4588.0,4588.0
1669161600000,4615.0,4615.0,4615.0,4615.0
1669248000000,4615.0,4615.0,4615.0,4615.0
1669334400000,4615.0,4615.0,4615.0,4615.0
1669593600000,4541.25,4541.25,4541.25,4541.25
1669680000000,4531.0,4531.0,4531.0,4531.0
1669766400000,4661.25,4661.25,4661.25,4661.25
1669852800000,4661.25,4661.25,4661.25,4661.25
1669939200000,4649.5,4649.5,4649.5,4649.5
1670198400000,4571.0,4571.0,4571.0,4571.0
1670284800000,4506.25,4506.25,4506.25,4506.25
1670371200000,4485.75,4485.75,4485.75,4485.75
1670457600000,4518.25,4518.25,4518.25,4518.25
1670544000000,4492.25,4492.25,4492.25,4492.25
1670803200000,4553.75,4553.75,4553.75,4553.75
1670889600000,4586.0,4586.0,4586.0,4586.0
1670976000000,4548.25,4548.25,4548.25,4548.25
1671062400000,4433.0,4433.0,4433.0,4433.0
1671148800000,4379.25,4379.25,4379.25,4379.25
1671408000000,4342.5,4342.5,4342.5,4342.5
1671494400000,4347.0,4347.0,4347.0,4347.0
1671580800000,4407.25,4407.25,4407.25,4407.25
1671667200000,4343.75,4343.75,4343.75,4343.75
1671753600000,4366.25,4366.25,4366.25,4366.25
1672099200000,4359.75,4359.75,4359.75,4359.75
1672185600000,4305.0,4305.0,4305.0,4305.0
1672272000000,4380.75,4380.75,4380.75,4380.75
1672358400000,4369.5,4369.5,4369.5,4369.5
1672704000000,4352.25,4352.25,4352.25,4352.25
1672790400000,4378.25,4378.25,4378.25,4378.25
1672876800000,4329.75,4329.75,4329.75,4329.75
1672963200000,4423.25,4423.25,4423.25,4423.25
1673222400000,4415.75,4415.75,4415.75,4415.75
1673308800000,4446.0,4446.0,4446.0,4446.0
1673395200000,4499.75,4499.75,4499.75,4499.75
1673481600000,4513.75,4513.75,4513.75,4513.75
1673568000000,4530.0,4530.0,4530.0,4530.0
1673827200000,4530.0,4530.0,4530.0,4530.0
1673913600000,4520.25,4520.25,4520.25,4520.25
1674000000000,4450.25,4450.25,4450.25,4450.25
1674086400000,4411.5,4411.5,4411.5,4411.5
1674172800000,4490.25,4490.25,4490.25,4490.25
1674432000000,4547.25,4547.25,4547.25,4547.25
1674518400000,4543.0,4543.0,4543.0,4543.0
1674604800000,4541.75,4541.75,4541.75,4541.75
1674691200000,4595.75,4595.75,4595.75,4595.75
1674777600000,4605.25,4605.25,4605.25,4605.25
1675036800000,4549.25,4549.25,4549.25,4549.25
1675123200000,4611.75,4611.75,4611.75,4611.75
1675209600000,4658.0,4658.0,4658.0,4658.0
1675296000000,4723.75,4723.75,4723.75,4723.75
1675382400000,4689.25,4689.25,4689.25,4689.25
1675641600000,4672.0,4672.0,4672.0,4672.0
1675728000000,4729.25,4729.25,4729.25,4729.25
1675814400000,4678.5,4678.5,4678.5,4678.5
1675900800000,4642.0,4642.0,4642.0,4642.0
1675987200000,4651.75,4651.75,4651.75,4651.75
1676246400000,4704.5,4704.5,4704.5,4704.5
1676332800000,4720.5,4720.5,4720.5,4720.5
1676419200000,4734.5,4734.5,4734.5,4734.5
1676505600000,4671.0,4671.0,4671.0,4671.0
1676592000000,4657.0,4657.0,4657.0,4657.0
1676851200000,4657.0,4657.0,4657.0,4657.0
1676937600000,4567.75,4567.75,4567.75,4567.75
1677024000000,4560.0,4560.0,4560.0,4560.0
1677110400000,4581.75,4581.75,4581.75,4581.75
1677196800000,4534.25,4534.25,4534.25,4534.25
1677456000000,4549.25,4549.25,4549.25,4549.25
