ts,o,h,l,c
1704150000,4771.1255,4776.4085,4770.6175,4774.8545
1704153600,4774.6210,4775.3800,4772.8470,4773.8785
1704157200,4773.6630,4776.6345,4771.8530,4772.8815
1704160800,4772.6210,4773.8875,4771.1285,4772.6015
1704164400,4772.8785,4774.1345,4772.3470,4773.3815
1704168000,4773.1300,4775.4025,4772.8800,4774.6270
1704171600,4774.7560,4777.4100,4774.6240,4776.3725
1704175200,4776.6270,4776.6600,4773.8485,4774.1285
1704178800,4774.4040,4778.6315,4774.1255,4776.8830
1704182400,4776.9925,4782.4085,4776.8500,4781.1240
1704186000,4780.8800,4780.8860,4769.5970,4770.8755
1704189600,4770.6330,4772.1330,4767.3710,4767.8470
1704193200,4767.7560,4767.8875,4740.8725,4745.7485
1704196800,4746.1375,4746.3845,4732.7530,4733.6315
1704200400,4733.3470,4739.6600,4732.3695,4737.1540
1704204000,4737.3800,4744.3785,4729.6015,4739.1075
1704207600,4738.6315,4743.6315,4730.8700,4734.6800
1704211200,4734.4300,4750.7775,4734.1755,4749.7630
1704214800,4749.9985,4754.4275,4743.8555,4744.3470
1704218400,4744.5895,4747.5185,4737.8985,4739.3445
1704222000,4739.1285,4740.3570,4727.2185,4727.2470
1704225600,4727.3655,4745.4385,4722.9715,4745.4385
1704229200,4745.2170,4746.4345,4742.4730,4745.0040
1704236400,4747.0630,4747.5630,4743.7640,4745.6200
1704240000,4745.8615,4746.1405,4742.8970,4743.4600
1704243600,4743.2730,4744.4170,4742.4410,4743.4825
1704247200,4743.5855,4743.9915,4741.4985,4742.2900
1704250800,4742.0085,4743.0340,4741.5070,4741.7985
1704254400,4741.5515,4742.0600,4740.3275,4740.6270
1704258000,4740.3485,4741.1375,4739.3640,4741.1255
1704261600,4740.8845,4742.8855,4740.2570,4741.8985
1704265200,4741.3755,4742.8730,4739.8740,4741.9100
1704268800,4742.0045,4746.0730,4738.6875,4738.9630
1704272400,4739.3315,4740.1795,4733.0610,4733.0610
1704276000,4733.1915,4737.2990,4732.0560,4734.0660
1704279600,4734.2970,4735.5670,4728.6840,4730.4275
1704283200,4730.1640,4730.4260,4723.7560,4724.7460
1704286800,4724.5170,4730.2285,4723.2585,4724.0690
1704290400,4723.9430,4725.5500,4714.1885,4717.2470
1704294000,4716.2855,4727.7585,4704.7015,4711.3175
1704297600,4711.0840,4716.6415,4708.7830,4710.1470
1704301200,4710.1585,4721.5160,4707.5245,4720.7985
1704304800,4720.5200,4725.7000,4716.4485,4718.6870
1704308400,4718.5805,4729.3370,4707.3900,4719.9940
1704312000,4720.2185,4720.7100,4699.6245,4705.4540
1704315600,4705.5500,4706.3930,4702.9300,4704.9430
1704322800,4708.3225,4711.0500,4706.6315,4707.8745
1704326400,4707.6230,4710.6615,4704.9130,4710.6615
1704330000,4710.4055,4710.9145,4708.6385,4710.1775
1704333600,4709.9260,4710.4130,4706.9610,4708.9540
1704337200,4708.9925,4710.2115,4707.2690,4707.7600
1704340800,4707.7630,4709.9815,4707.7425,4708.0030
1704344400,4708.2445,4708.4885,4706.2810,4706.6415
1704348000,4706.4060,4713.6330,4706.3970,4713.3860
1704351600,4713.6285,4715.8845,4711.8485,4712.7470
1704355200,4712.8755,4717.1285,4710.3470,4710.8740
1704358800,4710.6240,4714.6630,4709.1225,4713.8785
1704362400,4714.1300,4714.7755,4708.6270,4711.3470
1704366000,4711.1060,4714.6300,4706.1075,4706.8860
1704369600,4707.1255,4714.1270,4703.1210,4710.3800
1704373200,4710.1255,4711.1330,4701.6075,4702.8755
1704376800,4702.6270,4708.8755,4697.6300,4705.4085
1704380400,4705.1315,4719.5800,4703.1375,4715.8955
1704384000,4716.2775,4726.8155,4712.1430,4714.5260
1704387600,4714.2700,4715.5015,4703.8745,4708.3085
1704391200,4708.0600,4711.7530,4706.8825,4708.0230
1704394800,4708.2610,4710.5125,4699.0300,4704.1025
1704398400,4703.8645,4707.5060,4687.7830,4691.0830
1704402000,4690.5810,4693.8015,4688.1185,4689.1055
1704409200,4694.1160,4697.0975,4694.1085,4694.5085
1704412800,4694.6445,4696.4185,4693.6500,4694.6925
1704416400,4694.8915,4696.9230,4693.4530,4695.9475
1704420000,4695.6960,4695.6985,4693.3445,4693.7425
1704423600,4693.9915,4694.7560,4692.7770,4693.0460
1704427200,4693.2845,4695.5455,4692.3290,4692.7960
1704430800,4692.7075,4693.3200,4690.3585,4690.8845
1704434400,4691.1275,4692.3555,4683.3600,4686.3585
1704438000,4686.2400,4688.9025,4682.5670,4683.2725
1704441600,4683.5615,4689.1540,4683.0195,4684.1910
1704445200,4684.4500,4685.6925,4678.5400,4679.2660
1704448800,4679.5325,4681.5230,4674.6245,4679.3300
1704452400,4679.0485,4680.9345,4672.1875,4678.3700
1704456000,4678.5140,4681.6900,4675.4300,4677.4355
1704459600,4677.2675,4684.8490,4663.4775,4681.1645
1704463200,4681.4075,4702.8960,4680.5330,4698.7060
1704466800,4702.5375,4721.6945,4700.9140,4718.8070
1704470400,4719.0570,4721.7670,4703.4715,4705.0415
1704474000,4705.2425,4705.7545,4688.8700,4692.5755
1704477600,4692.3475,4704.0190,4683.9925,4700.7970
1704481200,4701.0515,4706.8960,4683.7840,4685.2700
1704484800,4685.5100,4700.1510,4681.7330,4696.6270
1704488400,4696.8770,4699.8785,4695.8815,4698.3860
1704672000,4700.1300,4703.6375,4700.1195,4702.6240
1704675600,4702.3875,4704.8800,4697.6300,4697.8785
1704679200,4697.6555,4697.9070,4694.6300,4696.3470
1704682800,4696.1255,4696.3875,4691.6015,4692.6045
1704686400,4692.7455,4694.1315,4691.8755,4693.8845
1704690000,4694.0300,4695.3530,4690.8710,4692.1270
1704693600,4691.9985,4694.1360,4689.6615,4690.6330
1704697200,4690.8860,4695.6360,4690.6300,4691.4955
1704700800,4691.6030,4697.1000,4688.6390,4690.8860
1704704400,4691.1210,4691.1300,4676.6270,4686.3800
1704708000,4686.6330,4690.6300,4685.2410,4686.1300
1704711600,4685.8875,4694.2440,4682.3710,4692.6330
1704715200,4692.7770,4697.3770,4691.0030,4696.8800
1704718800,4696.7560,4700.8860,4694.1270,4696.6045
1704722400,4696.8830,4714.1330,4694.3740,4713.6210
1704726000,4714.1240,4725.1955,4709.8755,4721.1830
1704729600,4721.4555,4726.6010,4717.6800,4726.1185
1704733200,4726.3570,4733.6785,4723.1515,4732.2385
1704758400,4758.0715,4759.5570,4757.5945,4758.3410
1704762000,4758.1070,4759.1130,4756.8700,4758.3945
1704765600,4758.1415,4759.8815,4757.6275,4758.6730
1704769200,4758.7855,4759.1775,4757.6875,4758.4275
1704772800,4758.2415,4758.2415,4755.9630,4757.2740
1704776400,4756.9925,4757.7560,4755.5855,4756.0915
1704780000,4755.8440,4758.2985,4755.3555,4757.5855
1704783600,4757.3140,4757.8630,4754.8930,4755.6985
1704787200,4755.9515,4755.9515,4748.7585,4750.7055
1704790800,4750.5600,4751.7255,4745.0475,4750.2500
1704794400,4750.1345,4751.0045,4746.5805,4748.3205
1704798000,4748.5525,4749.0740,4739.6840,4740.9170
1704801600,4741.0515,4747.4130,4739.4310,4746.4255
1704805200,4746.6490,4746.6490,4735.8000,4736.2915
1704808800,4736.5415,4738.3455,4730.5370,4738.1895
1704812400,4738.4485,4746.1590,4732.3425,4739.0400
1704816000,4738.8215,4758.8575,4738.8215,4758.8575
1704819600,4759.1285,4761.2730,4755.1800,4760.2470
1704823200,4760.0025,4765.9400,4748.3330,4759.4825
1704826800,4759.7325,4762.1410,4750.3525,4754.4255
1704830400,4754.6470,4759.0700,4746.0355,4755.2030
1704834000,4754.9410,4756.6870,4753.2375,4753.9545
1704841200,4752.2255,4754.5100,4749.7570,4754.2370
1704844800,4753.9960,4756.9875,4753.9810,4754.7700
1704848400,4755.0115,4755.0115,4752.0570,4753.3125
1704852000,4753.0940,4754.5875,4751.8740,4753.7440
1704855600,4753.6270,4754.2290,4749.9425,4751.1760
1704859200,4751.3300,4753.1930,4750.7270,4751.2730
1704862800,4751.3585,4752.7560,4749.9770,4752.0175
1704866400,4751.7555,4753.4690,4748.5240,4749.9915
1704870000,4750.1415,4755.2730,4749.5260,4754.7500
1704873600,4754.8955,4756.5115,4752.5455,4755.5555
1704877200,4755.2830,4766.1815,4755.0225,4763.2285
1704880800,4763.0760,4763.7260,4757.5585,4759.0545
1704884400,4759.2985,4760.5545,4751.4260,4753.9215
1704888000,4753.8030,4759.1075,4753.8030,4755.4400
1704891600,4755.6555,4757.6530,4751.9610,4751.9760
1704895200,4752.2140,4770.0215,4750.4930,4764.0490
1704898800,4763.7945,4769.2540,4755.7300,4769.0055
1704902400,4769.2500,4769.5270,4761.0695,4766.0130
1704906000,4766.3200,4771.4400,4762.8245,4770.6685
1704909600,4770.9575,4776.1725,4765.3185,4774.2515
1704913200,4774.5300,4789.9805,4773.5010,4789.7530
1704916800,4789.9460,4791.4375,4769.3800,4782.6440
1704920400,4782.4040,4784.6360,4781.6475,4782.6885
1704927600,4783.4285,4787.4300,4780.9255,4785.9360
1704931200,4785.6800,4791.4000,4785.1500,4789.4300
1704934800,4789.6875,4792.3000,4789.6875,4791.1470
1704938400,4791.4630,4793.4315,4790.6755,4791.6875
1704942000,4791.9255,4794.6575,4791.6740,4794.4300
1704945600,4794.2100,4794.7130,4792.6695,4793.4210
1704949200,4793.1770,4794.6800,4792.1830,4792.9525
1704952800,4792.6785,4797.2100,4792.1830,4795.9315
1704956400,4796.1815,4798.2970,4795.6710,4795.9600
1704960000,4796.1530,4802.6785,4794.6545,4800.9600
1704963600,4800.6890,4801.2985,4790.9195,4792.3985
1704967200,4792.2685,4793.3030,4787.6785,4789.6830
1704970800,4789.9375,4793.1860,4788.9300,4790.4345
1704974400,4790.1710,4794.0890,4788.1755,4791.0815
1704978000,4791.3285,4798.5705,4767.8570,4772.4000
1704981600,4772.6725,4797.8830,4771.4330,4779.8845
1704985200,4780.1375,4780.6330,4752.3800,4756.4025
1704988800,4756.6270,4759.3785,4738.8830,4742.9300
1704992400,4743.1530,4760.1540,4742.1540,4756.4900
1704996000,4756.2415,4775.8730,4755.5075,4775.3500
1704999600,4775.6060,4786.7870,4770.1440,4785.3145
1705003200,4785.5410,4786.0545,4771.4800,4780.2200
1705006800,4780.2095,4780.7515,4778.5000,4779.7385
1705014000,4776.6315,4778.6485,4774.1825,4776.2315
1705017600,4776.4115,4778.5355,4770.3915,4771.3560
1705021200,4771.1505,4773.6460,4768.9025,4772.9015
1705024800,4773.1500,4777.4115,4772.6540,4776.4030
1705028400,4776.2655,4776.9370,4775.1385,4775.9360
1705032000,4775.9130,4775.9130,4770.2600,4773.4930
1705035600,4773.2430,4775.9640,4772.7740,4772.7740
1705039200,4773.0240,4776.3000,4772.5210,4776.0615
1705042800,4776.1860,4777.1655,4767.1525,4767.9040
1705046400,4767.6660,4785.9800,4767.6660,4783.8345
1705050000,4783.7085,4787.8000,4778.0225,4778.5215
1705053600,4779.0215,4783.2445,4775.8195,4777.0745
1705057200,4777.3200,4780.5655,4758.2645,4765.9930
1705060800,4766.2055,4772.4275,4763.9955,4768.2200
1705064400,4767.9755,4782.9600,4765.2400,4780.8755
1705068000,4781.1525,4802.2185,4779.3660,4787.6085
1705071600,4788.1085,4791.1330,4768.7830,4774.2370
1705082400,4777.9285,4786.5015,4777.9285,4785.8030
1705089600,4778.8385,4785.5115,4774.0060,4782.7270
1705273200,4777.7240,4778.9860,4772.7255,4776.4785
1705276800,4776.2210,4777.9815,4773.9710,4777.7345
1705280400,4777.4830,4778.5100,4774.7225,4778.0025
1705284000,4778.1000,4783.9785,4777.9560,4783.4695
1705287600,4783.7285,4784.5100,4782.4830,4783.2360
1705291200,4782.9785,4784.7315,4782.4725,4784.7315
1705294800,4784.5970,4784.5970,4781.4470,4782.0040
1705298400,4782.2270,4787.0070,4782.2270,4786.9695
1705302000,4786.8575,4788.9860,4782.7255,4782.9755
1705305600,4783.2270,4787.7375,4776.7045,4776.7045
1705309200,4776.8440,4783.9785,4773.9725,4778.2315
1705312800,4777.9710,4780.7300,4775.6060,4779.2330
1705316400,4778.9785,4779.2585,4774.7300,4777.2375
1705320000,4776.7405,4779.5070,4775.1985,4775.7270
1705323600,4775.9740,4778.2300,4772.9830,4775.9815
1705327200,4776.2300,4778.7375,4773.7300,4777.2300
1705330800,4777.0910,4779.4905,4776.7195,4779.3530
1705334400,4779.4755,4779.5130,4776.7015,4777.0070
1705338000,4776.7405,4779.4860,4776.4500,4779.4470
1705359600,4777.9740,4779.2285,4774.2285,4774.4830
1705363200,4774.5970,4774.5970,4764.9740,4765.2375
1705366800,4765.4740,4771.2255,4763.2330,4769.4830
1705370400,4769.2300,4771.4725,4767.2330,4768.7360
1705374000,4768.9770,4768.9845,4764.5895,4766.7240
1705377600,4766.5085,4767.5100,4764.7285,4766.7270
1705381200,4766.4800,4766.9905,4763.2030,4763.4875
1705384800,4763.2270,4764.0115,4760.4575,4763.9830
1705388400,4763.7270,4766.2525,4760.7255,4763.4875
1705392000,4763.2000,4763.2000,4752.2045,4756.9815
1705395600,4757.2330,4760.5100,4755.2030,4758.4830
1705399200,4758.0940,4758.9875,4751.9800,4754.9710
1705402800,4754.7345,4765.2285,4754.4695,4763.7360
1705406400,4763.9725,4770.9845,4760.2285,4769.4740
1705410000,4769.7315,4771.5025,4759.9815,4761.9710
1705413600,4761.8230,4771.9830,4750.6285,4760.8530
1705417200,4761.0985,4782.2990,4758.1300,4778.5900
1705420800,4778.8330,4782.4245,4763.4995,4768.7140
1705424400,4768.4625,4770.4325,4755.4425,4755.7060
1705428000,4755.9470,4768.2560,4754.1870,4756.8630
1705431600,4757.1070,4759.9555,4746.9100,4759.2170
1705435200,4759.4760,4766.9700,4754.3415,4765.7345
1705438800,4765.4830,4767.7145,4764.9570,4765.9825
1705446000,4766.5625,4767.8460,4764.9845,4767.4415
1705449600,4767.2425,4767.7245,4762.2870,4763.7795
1705453200,4763.6660,4764.2785,4759.9775,4761.8385
1705456800,4762.0825,4762.3655,4757.6585,4757.6585
1705460400,4757.4355,4758.4100,4753.3185,4753.5700
1705464000,4753.3140,4758.3240,4753.3140,4757.3055
1705467600,4757.0685,4757.0745,4752.0345,4752.0555
1705471200,4752.1885,4752.8100,4742.8830,4743.9345
1705474800,4743.8030,4745.1660,4738.5015,4743.7130
1705478400,4743.4585,4746.5375,4740.4910,4741.2685
1705482000,4741.5245,4746.2545,4736.7900,4745.5055
1705485600,4745.7495,4747.7500,4741.0560,4744.5200
1705489200,4744.7940,4748.5585,4740.3575,4747.3115
1705492800,4747.0630,4753.0500,4746.3230,4748.8255
1705496400,4748.6130,4748.6130,4732.9775,4734.9845
1705500000,4734.7700,4738.7100,4725.2460,4727.8875
1705503600,4727.1300,4739.5140,4725.1525,4736.2330
1705507200,4736.4760,4743.8670,4736.4760,4737.8685
1705510800,4738.1100,4739.1115,4726.9170,4732.6090
1705514400,4732.8130,4736.2945,4714.5500,4722.3915
1705518000,4722.6285,4733.4770,4721.2615,4730.7015
1705521600,4730.9800,4741.9660,4722.7310,4739.2440
1705525200,4738.7485,4739.7545,4736.5015,4736.8055
1705532400,4735.5000,4738.6600,4732.8830,4737.8905
1705536000,4737.6015,4739.8845,4735.1390,4739.8785
1705539600,4739.6240,4741.1585,4736.6255,4739.6000
1705543200,4739.3740,4740.8815,4737.1015,4737.8905
1705546800,4738.1315,4739.6360,4735.6285,4735.8470
1705550400,4735.6285,4736.4085,4732.8710,4735.3800
1705554000,4735.1345,4739.2395,4734.6060,4738.6615
1705557600,4738.5015,4742.1360,4738.3800,4741.3740
1705561200,4741.1630,4742.3875,4737.1285,4741.3875
1705564800,4741.8770,4744.3845,4739.3800,4742.1540
1705568400,4741.9955,4747.1330,4741.1210,4743.6270
1705572000,4743.8815,4749.8815,4741.1255,4749.6240
1705575600,4749.3785,4757.8905,4749.3785,4757.1060
1705579200,4756.8500,4762.3755,4756.8500,4758.8755
1705582800,4759.1285,4766.8800,4752.1285,4752.6285
1705586400,4752.8830,4761.8860,4749.3575,4754.1315
1705590000,4754.4085,4764.8555,4749.3515,4758.6945
1705593600,4758.9460,4766.2475,4752.7900,4760.6930
1705597200,4760.9295,4761.7040,4745.2085,4748.8015
1705600800,4749.0430,4757.1455,4741.1510,4755.6330
1705604400,4755.8815,4775.3760,4755.6045,4773.3145
1705608000,4773.4445,4786.2285,4771.8140,4780.2940
1705611600,4779.0660,4779.5600,4776.0885,4778.8140
1705618800,4780.0900,4784.1915,4777.8660,4783.9430
1705622400,4783.6915,4784.2140,4780.6540,4782.4200
1705626000,4782.6600,4783.6630,4778.3640,4783.3445
1705629600,4783.0885,4785.1030,4781.6000,4783.8655
1705633200,4783.6200,4785.7625,4783.5345,4785.0405
1705636800,4785.3015,4785.3015,4783.5300,4783.8215
1705640400,4784.0640,4785.0985,4780.9310,4781.1855
1705644000,4781.4685,4784.9255,4780.9430,4783.6985
1705647600,4783.8215,4791.4115,4782.6615,4790.1670
1705651200,4790.4155,4793.6515,4786.7015,4793.4070
1705654800,4793.2890,4800.8090,4792.9070,4798.9125
1705658400,4798.6355,4801.3745,4795.8925,4799.6375
1705662000,4799.3855,4804.8870,4798.6505,4803.6330
1705665600,4803.3470,4804.9015,4798.6910,4804.3785
1705669200,4804.1615,4810.1100,4799.2255,4800.2155
1705672800,4800.4400,4801.4615,4785.0940,4795.0805
1705676400,4794.8170,4800.7355,4786.0855,4798.7485
1705680000,4798.9930,4808.0115,4796.0285,4804.8800
1705683600,4805.1360,4818.3790,4799.3730,4818.3760
1705687200,4818.5975,4833.1825,4813.6810,4833.1710
1705690800,4832.9285,4843.0690,4829.5340,4838.2615
1705694400,4838.2985,4841.4870,4834.2370,4840.3755
1705698000,4840.1525,4843.1300,4836.8770,4840.8785
1705878000,4842.1060,4848.3860,4842.0030,4843.8860
1705881600,4843.7500,4855.9085,4842.8545,4855.1255
1705885200,4854.8800,4856.5045,4850.7225,4852.2300
1705888800,4852.4800,4854.4785,4849.1985,4851.2270
1705892400,4851.3200,4852.4740,4849.4785,4850.7000
1705896000,4850.9485,4852.7300,4850.8500,4851.7000
1705899600,4851.6000,4851.7315,4848.2270,4848.9485
1705903200,4848.8260,4851.2345,4848.2030,4849.7315
1705906800,4849.6360,4851.6555,4846.8755,4850.6225
1705910400,4850.3830,4853.6300,4848.1240,4851.3515
1705914000,4851.6330,4854.1630,4849.8800,4853.4115
1705917600,4853.6255,4855.6270,4851.6585,4852.8845
1705921200,4852.6285,4856.8770,4852.3740,4853.3725
1705924800,4853.1255,4859.6360,4853.1255,4858.8770
1705928400,4859.1225,4859.3890,4852.8695,4855.1345
1705932000,4854.9100,4867.1315,4852.3755,4865.4055
1705935600,4866.3875,4867.3830,4849.5000,4851.2225
1705939200,4851.4845,4857.9415,4846.0790,4856.4255
1705942800,4856.6655,4857.4170,4848.4970,4853.4630
1705946400,4853.2160,4855.5085,4843.7655,4854.0215
1705950000,4854.2985,4855.7645,4846.1300,4852.0230
1705953600,4852.5055,4857.6405,4849.0385,4850.9930
1705957200,4851.4860,4851.9830,4849.0160,4849.5190
1705964400,4849.8195,4852.4840,4848.4460,4850.7585
1705968000,4850.8470,4852.4760,4849.9910,4851.2600
1705971600,4851.5010,4854.2955,4848.8100,4852.7770
1705975200,4852.6570,4854.5375,4850.8390,4850.8390
1705978800,4851.0770,4853.2205,4849.8845,4849.8875
1705982400,4850.0930,4852.8930,4850.0930,4851.3940
1705986000,4851.6370,4852.6600,4850.4310,4851.1860
1705989600,4851.0585,4853.2185,4850.9400,4852.7075
1705993200,4852.9455,4855.1915,4852.6925,4854.0185
1705996800,4853.7715,4855.2885,4847.2845,4848.5900
1706000400,4848.2875,4852.8255,4848.1660,4851.8485
1706004000,4851.5760,4851.6315,4848.1100,4850.1200
1706007600,4850.3655,4852.6405,4849.1425,4852.3575
1706011200,4852.1460,4854.9015,4851.6445,4854.6590
1706014800,4854.5245,4861.6175,4853.9040,4858.1455
1706018400,4858.4105,4859.1675,4850.7085,4855.4140
1706022000,4855.3015,4858.2245,4846.3160,4848.0830
1706025600,4848.3060,4852.2475,4844.5945,4850.5085
1706029200,4850.7585,4855.2400,4846.3140,4854.5270
1706032800,4854.7560,4855.6655,4851.2230,4855.1270
1706036400,4855.4430,4860.3100,4851.7225,4858.8025
1706040000,4859.0200,4866.5945,4857.5385,4864.6400
1706043600,4866.3460,4868.0975,4863.1125,4868.0975
1706050800,4870.5675,4875.0985,4870.5675,4874.3700
1706054400,4874.1185,4875.8900,4872.9015,4875.1425
1706058000,4874.8955,4875.1575,4872.6755,4873.4500
1706061600,4873.2015,4874.4670,4872.2140,4874.4475
1706065200,4874.7290,4876.4700,4874.2195,4875.2530
1706068800,4875.5060,4875.8030,4874.7385,4875.5225
1706072400,4875.4175,4878.2060,4875.0160,4876.7345
1706076000,4876.6090,4880.5345,4876.3270,4878.8000
1706079600,4878.5815,4884.8525,4878.3240,4883.0815
1706083200,4883.3330,4885.1130,4882.5695,4884.6040
1706086800,4884.3285,4887.0800,4883.3210,4886.8585
1706090400,4886.5500,4887.8255,4882.8330,4885.3270
1706094000,4885.5890,4888.0875,4885.3285,4886.0785
1706097600,4886.3375,4888.1130,4885.0695,4886.8225
1706101200,4887.0860,4894.5815,4886.8345,4889.8585
1706104800,4889.5815,4893.8345,4885.0800,4886.3285
1706108400,4886.5800,4902.0970,4879.6655,4895.3675
1706112000,4895.6415,4899.5415,4890.5025,4898.8100
1706115600,4899.0630,4903.5970,4894.1240,4903.1275
1706119200,4902.9000,4903.4315,4885.1085,4888.9000
1706122800,4889.1530,4889.4600,4875.4625,4881.0715
1706126400,4880.9440,4884.5145,4866.0045,4870.1230
1706130000,4869.4940,4871.6370,4859.9430,4863.9670
1706137200,4871.9940,4873.1315,4868.8545,4870.8860
1706140800,4870.7410,4871.3860,4867.6045,4871.3740
1706144400,4871.1255,4873.6540,4866.0985,4869.6240
1706148000,4869.4940,4872.1300,4865.8770,4868.1375
1706151600,4868.3770,4869.3815,4866.6345,4868.6285
1706155200,4868.4730,4871.6270,4868.3485,4870.1345
1706158800,4870.3860,4873.8815,4869.3575,4873.6375
1706162400,4873.3785,4874.1555,4871.1285,4872.7515
1706166000,4872.8785,4877.1315,4872.1210,4873.1255
1706169600,4872.8800,4875.6630,4869.8815,4873.8800
1706173200,4874.0090,4877.1375,4871.1015,4874.4115
1706176800,4874.1345,4874.6375,4871.1240,4873.1375
1706180400,4872.9910,4875.3800,4871.3755,4875.3800
1706184000,4875.1315,4876.6630,4868.9745,4869.6225
