ts,o,h,l,c
1704139200,16831.11000,16850.60500,16827.59000,16843.39000
1704153600,16843.69000,16852.14000,16814.61500,16820.93500
1704168000,16821.01500,16836.60000,16816.58500,16830.63000
1704182400,16830.78100,16850.21500,16659.38000,16688.60000
1704196800,16691.08500,16691.51000,16509.42000,16535.12000
1704211200,16534.59500,16612.34500,16479.70000,16480.20000
1704225600,16480.09400,16561.89500,16448.52000,16550.01000
1704240000,16550.25500,16554.58500,16525.41000,16528.68500
1704254400,16528.32000,16542.18000,16514.37500,16535.30000
1704268800,16535.22500,16554.58500,16461.56000,16473.65500
1704283200,16473.81500,16478.01500,16369.67000,16419.90000
1704297600,16420.81500,16455.60500,16356.60500,16417.59500
1704312000,16417.83500,16423.37500,16350.69000,16384.44000
1704326400,16384.27000,16398.09500,16368.37000,16384.14500
1704340800,16383.79500,16421.93000,16375.06000,16405.39500
1704355200,16406.16500,16418.84000,16363.40000,16363.77000
1704369600,16364.23000,16379.74000,16278.26000,16363.01500
1704384000,16362.81000,16421.59500,16303.12000,16325.02000
1704398400,16324.67500,16348.85500,16274.28500,16296.70000
1704412800,16296.96000,16309.30500,16285.09500,16286.49500
1704427200,16286.68500,16296.74000,16239.70000,16241.08000
1704441600,16241.22000,16278.81500,16207.79000,16229.19500
1704456000,16229.11900,16408.48500,16174.99000,16403.51000
1704470400,16404.01000,16417.00500,16259.32000,16264.74500
1704484800,16264.80000,16312.10000,16244.70000,16307.99500
1704672000,16324.65500,16342.20500,16280.07000,16283.13000
1704686400,16283.30500,16304.02500,16274.16900,16284.71500
1704700800,16284.71000,16307.68500,16220.50500,16300.72000
1704715200,16299.87000,16514.70500,16294.91000,16501.40000
1704729600,16502.11000,16636.39500,16485.02500,16627.49500
1704744000,16627.02000,16653.89000,16613.90500,16629.88500
1704758400,16629.43000,16640.63000,16627.07500,16634.22500
1704772800,16633.98500,16634.22000,16609.96500,16611.21500
1704787200,16611.68000,16611.88000,16531.50000,16539.08000
1704801600,16539.25600,16600.43500,16503.57000,16582.76500
1704816000,16582.31000,16717.38500,16582.31000,16677.30500
1704830400,16677.72600,16691.80000,16629.91000,16680.29500
1704844800,16688.98100,16701.82500,16673.26500,16676.79500
1704859200,16676.62500,16698.99500,16657.99500,16696.05500
1704873600,16695.99000,16756.80000,16685.61500,16698.53000
1704888000,16698.38000,16743.11500,16653.81500,16742.13500
1704902400,16742.30600,16830.13500,16704.43500,16829.18500
1704916800,16829.03000,16831.34000,16740.60500,16814.09500
1704931200,16814.28000,16861.33500,16812.89500,16859.79500
1704945600,16859.60500,16871.60500,16845.48500,16863.49000
1704960000,16863.45900,16901.38000,16846.38000,16861.30500
1704974400,16861.39600,16908.20000,16684.54000,16715.81000
1704988800,16715.51500,16843.47500,16613.09000,16834.89500
1705003200,16835.59000,16837.93000,16786.09500,16813.49000
1705017600,16815.41000,16826.91000,16783.62000,16818.77000
1705032000,16818.60000,16822.91000,16777.52500,16782.92500
1705046400,16782.61500,16839.43500,16728.78500,16757.80000
1705060800,16757.45500,16904.46000,16749.56000,16805.09500
1705075200,16805.35000,16856.00500,16778.60000,16812.22500
1705089600,16811.56500,16840.80500,16793.28000,16822.31000
1705262400,16820.11000,16826.93500,16801.88500,16808.31500
1705276800,16808.90000,16851.91500,16804.41000,16848.27000
1705291200,16847.77500,16885.02000,16843.46500,16860.81500
1705305600,16860.48000,16884.83000,16809.92000,16831.10000
1705320000,16828.60500,16843.78000,16799.45500,16837.95550
1705334400,16838.28300,16841.91700,16816.83350,16831.14950
1705348800,16821.90050,16827.93250,16796.87200,16798.96200
1705363200,16799.17750,16799.92850,16745.47650,16757.00000
1705377600,16757.18200,16762.91700,16729.56750,16743.31100
1705392000,16742.90650,16751.06150,16675.90050,16744.46700
1705406400,16744.78900,16898.98750,16719.10000,16879.11600
1705420800,16879.49600,16888.34550,16725.91050,16791.33850
1705435200,16790.96650,16845.41100,16784.97200,16844.81000
