ts,o,h,l,c
1664496000000,1973.3,1973.3,1973.3,1973.3
1664755200000,2005.9,2005.9,2005.9,2005.9
1664841600000,2038.5,2038.5,2038.5,2038.5
1664928000000,2028.5,2028.5,2028.5,2028.5
1665014400000,2029.0,2029.0,2029.0,2029.0
1665100800000,2019.5,2019.5,2019.5,2019.5
1665360000000,1983.7,1983.7,1983.7,1983.7
1665446400000,1995.1,1995.1,1995.1,1995.1
1665532800000,1985.8,1985.8,1985.8,1985.8
1665619200000,1986.9,1986.9,1986.9,1986.9
1665705600000,1956.7,1956.7,1956.7,1956.7
1665964800000,1972.7,1972.7,1972.7,1972.7
1666051200000,1963.6,1963.6,1963.6,1963.6
1666137600000,1941.8,1941.8,1941.8,1941.8
1666224000000,1945.9,1945.9,1945.9,1945.9
1666310400000,1968.4,1968.4,1968.4,1968.4
1666569600000,1965.6,1965.6,1965.6,1965.6
1666656000000,1973.1,1973.1,1973.1,1973.1
1666742400000,1984.9,1984.9,1984.9,1984.9
1666828800000,1980.9,1980.9,1980.9,1980.9
1666915200000,1958.1,1958.1,1958.1,1958.1
1667174400000,1954.3,1954.3,1954.3,1954.3
1667260800000,1964.5,1964.5,1964.5,1964.5
1667347200000,1969.1,1969.1,1969.1,1969.1
1667433600000,1947.9,1947.9,1947.9,1947.9
1667520000000,1999.8,1999.8,1999.8,1999.8
1667779200000,2003.7,2003.7,2003.7,2003.7
1667865600000,2042.2,2042.2,2042.2,2042.2
1667952000000,2039.3,2039.3,2039.3,2039.3
1668038400000,2082.7,2082.7,2082.7,2082.7
1668124800000,2100.9,2100.9,2100.9,2100.9
1668384000000,2110.4,2110.4,2110.4,2110.4
1668470400000,2112.0,2112.0,2112.0,2112.0
1668556800000,2111.1,2111.1,2111.1,2111.1
1668643200000,2096.5,2096.5,2096.5,2096.5
1668729600000,2088.0,2088.0,2088.0,2088.0
1668988800000,2072.3,2072.3,2072.3,2072.3
1669075200000,2073.3,2073.3,2073.3,2073.3
1669161600000,2083.4,2083.4,2083.4,2083.4
1669248000000,2083.4,2083.4,2083.4,2083.4
