bar_start_ms,open,high,low,close
1709258400000,2044.41350,2045.90950,2044.15500,2045.43650
1709262000000,2045.46450,2046.91500,2045.32650,2046.60000
1709265600000,2046.57000,2046.61500,2045.33500,2045.59850
1709269200000,2045.65500,2045.78000,2043.47000,2045.13500
1709272800000,2045.15500,2048.17000,2044.98050,2046.79150
1709276400000,2046.78650,2048.90500,2045.34350,2045.49850
1709280000000,2045.50850,2045.75850,2039.09000,2039.90500
1709283600000,2039.88500,2047.64150,2039.52000,2046.43650
1709287200000,2046.43500,2055.17500,2045.94000,2054.89500
1709290800000,2054.92000,2057.55500,2053.94000,2055.46850
1709294400000,2055.47000,2057.13000,2052.26000,2052.44500
1709298000000,2052.42650,2054.57200,2050.13000,2051.65500
1709301600000,2051.67000,2056.70000,2045.66000,2046.48500
1709305200000,2046.51500,2070.96150,2046.48500,2069.28150
1709308800000,2069.27450,2082.03000,2069.27450,2081.22000
1709312400000,2081.00000,2085.74000,2080.07000,2084.88000
1709316000000,2084.87000,2088.38500,2082.27000,2085.75500
1709319600000,2085.77500,2086.77500,2084.77150,2085.29650
1709510400000,2083.63500,2084.46500,2082.28000,2082.69000
1709514000000,2082.75550,2083.01000,2079.46150,2080.26500
1709517600000,2080.24150,2083.54350,2079.89950,2081.55650
1709521200000,2081.49650,2081.94750,2080.38950,2081.53350
1709524800000,2081.54500,2081.66000,2080.34450,2080.88350
1709528400000,2080.82500,2082.36350,2080.55500,2081.53950
1709532000000,2081.53500,2083.92500,2081.11150,2083.55650
1709535600000,2083.61500,2088.36850,2083.61500,2087.49500
1709539200000,2087.45500,2087.59500,2083.54500,2083.94500
1709542800000,2083.94550,2086.22500,2083.24500,2085.25500
1709546400000,2085.23000,2085.85000,2082.71000,2083.98500
1709550000000,2084.02000,2084.66000,2081.95500,2082.18500
1709553600000,2082.21000,2083.51350,2081.91000,2082.62500
1709557200000,2082.62350,2093.17150,2081.18650,2091.64500
1709560800000,2091.72850,2101.47000,2090.56000,2100.87000
1709564400000,2100.79500,2109.44850,2097.66500,2109.09000
1709568000000,2109.08000,2119.97500,2107.80500,2119.34150
1709571600000,2119.34500,2119.81150,2114.02000,2116.53500
1709575200000,2116.47500,2118.11500,2113.60150,2115.38150
1709578800000,2115.37000,2117.37500,2113.38150,2116.36000
1709582400000,2116.39000,2118.62000,2115.41650,2116.72000
1709586000000,2116.70500,2117.34500,2114.22500,2114.51500
1709593200000,2114.92500,2115.90500,2113.70500,2114.63000
1709596800000,2114.61000,2115.94000,2114.20650,2115.58000
1709600400000,2115.53500,2116.91000,2110.53500,2112.66950
1709604000000,2112.65500,2113.42500,2111.45500,2112.41000
1709607600000,2112.41500,2114.05500,2111.30500,2113.05050
1709611200000,2113.05500,2115.99150,2112.72500,2115.97500
1709614800000,2115.92000,2119.82350,2115.42500,2119.37500
1709618400000,2119.39000,2119.63500,2115.25450,2117.40350
1709622000000,2117.39850,2117.87850,2114.01500,2114.48500
1709625600000,2114.58500,2123.42850,2114.51000,2120.74000
1709629200000,2120.80000,2125.35000,2119.09000,2124.58850
1709632800000,2124.63500,2127.41000,2123.40000,2123.75500
1709636400000,2123.77000,2127.24500,2122.71350,2124.54000
1709640000000,2124.58500,2125.34500,2121.26350,2124.44650
1709643600000,2124.48500,2141.90650,2122.45500,2127.80500
1709647200000,2127.90500,2133.29000,2124.35850,2128.29950
1709650800000,2128.32500,2139.56450,2123.78350,2126.72850
1709654400000,2126.72350,2128.77500,2123.73350,2128.38000
1709658000000,2128.39650,2131.05000,2127.60500,2130.93500
1709661600000,2131.01000,2133.63000,2129.63650,2130.75650
1709665200000,2130.80650,2134.79000,2129.60650,2129.63650
1709668800000,2129.63000,2131.00500,2128.55000,2129.69150
1709672400000,2129.66650,2130.10650,2127.13150,2127.97500
1709679600000,2127.90000,2128.53500,2127.06650,2128.13000
1709683200000,2128.13350,2128.19500,2126.19000,2126.99550
1709686800000,2126.97550,2128.05150,2125.12650,2125.54450
1709690400000,2125.52000,2126.90350,2123.91000,2126.48550
1709694000000,2126.48850,2126.70000,2123.77000,2124.87350
1709697600000,2124.88500,2126.37650,2124.87350,2126.27500
1709701200000,2126.24500,2128.01650,2125.27000,2125.37350
1709704800000,2125.39350,2127.66850,2125.04350,2127.39350
1709708400000,2127.38550,2131.58350,2127.17000,2128.51500
1709712000000,2128.52000,2129.28000,2124.41500,2125.15000
1709715600000,2125.15500,2129.90500,2124.83000,2128.67500
1709719200000,2128.68150,2128.73000,2124.75000,2125.69000
1709722800000,2125.70500,2132.66000,2125.66000,2132.57000
1709726400000,2132.59000,2135.11650,2131.10500,2134.28000
1709730000000,2134.25500,2139.75850,2131.50500,2139.46000
1709733600000,2139.47500,2149.27500,2135.72500,2144.88000
1709737200000,2144.77500,2145.63650,2132.01650,2141.02500
1709740800000,2141.05000,2149.92850,2140.54500,2148.24650
1709744400000,2148.28150,2150.08150,2142.01000,2144.83000
1709748000000,2144.82150,2152.26000,2144.07500,2147.25000
1709751600000,2147.25500,2147.55000,2139.50500,2144.45000
1709755200000,2144.39500,2147.29150,2143.25500,2146.77000
1709758800000,2146.69500,2149.38650,2144.59500,2148.19500
1709766000000,2148.47000,2151.43350,2146.29500,2147.44500
1709769600000,2147.40000,2149.74000,2147.40000,2149.00550
1709773200000,2149.02550,2149.09550,2144.23150,2146.26150
1709776800000,2146.28150,2152.20500,2145.74150,2150.83000
1709780400000,2150.80500,2152.49150,2149.75000,2151.82000
1709784000000,2151.79000,2161.64550,2151.77000,2158.34000
1709787600000,2158.34500,2158.82050,2154.50500,2154.56000
1709791200000,2154.51000,2156.58500,2151.61850,2155.47000
1709794800000,2155.48500,2158.34000,2152.31500,2156.06500
1709798400000,2156.07000,2159.92050,2154.51500,2155.38350
1709802000000,2155.39550,2157.88850,2154.37650,2157.74000
1709805600000,2157.80500,2159.00000,2156.17650,2157.67000
1709809200000,2157.76500,2157.77000,2153.30650,2156.12500
1709812800000,2156.03150,2158.84500,2154.01000,2158.46500
1709816400000,2158.45000,2164.83350,2157.44500,2159.59500
1709820000000,2159.64000,2159.86500,2147.98500,2154.15000
1709823600000,2154.08500,2157.74000,2151.76000,2153.78000
1709827200000,2153.78500,2158.61500,2149.33500,2156.26000
1709830800000,2156.28000,2158.87500,2155.34500,2158.31000
