ts,o,h,l,c,spr
1779750000,4570.0000,4573.4500,4570.0000,4572.3600,1.2000
1779750060,4572.3700,4572.4900,4570.5600,4571.5200,0.9639
1779750120,4571.5250,4572.6200,4571.1600,4572.5800,0.8361
1779750180,4572.6000,4573.3000,4572.1800,4573.1200,0.7502
1779750240,4573.0850,4573.0850,4571.1500,4571.1500,0.6788
1779750300,4571.1200,4572.1800,4570.8050,4571.4700,0.6718
1779750360,4571.7100,4572.2050,4571.2100,4571.4300,0.6804
1779750420,4571.6700,4572.5600,4571.2700,4572.2150,0.6765
1779750480,4572.2400,4572.9950,4571.5200,4572.5150,0.6959
1779750540,4572.6150,4572.8550,4572.0550,4572.6800,0.6862
1779750600,4572.8200,4572.8200,4572.2750,4572.5600,0.6831
1779750660,4572.5800,4574.1750,4572.5500,4573.6550,0.6887
1779750720,4573.7650,4573.8850,4572.6650,4572.6650,0.6858
1779750780,4572.7650,4573.7050,4572.7650,4573.4650,0.6689
1779750840,4573.5450,4573.5850,4572.9600,4573.5450,0.6714
1779750900,4573.4900,4574.3700,4573.2750,4574.0250,0.6796
1779750960,4574.0950,4575.3050,4574.0950,4574.8400,0.6742
1779751020,4575.0950,4575.0950,4574.0865,4574.1265,0.6655
1779751080,4574.1465,4575.3750,4574.1465,4574.8150,0.6811
1779751140,4574.8650,4574.8650,4573.7500,4574.0200,0.6760
1779751200,4574.0400,4574.5300,4573.0500,4574.4500,0.6675
1779751260,4574.4300,4574.6600,4574.1000,4574.2200,0.6830
1779751320,4574.2700,4574.4700,4573.6200,4574.4550,0.6656
1779751380,4574.4750,4575.1600,4574.2650,4575.0700,0.6731
1779751440,4575.1800,4575.3000,4575.0900,4575.2800,0.6700
1779751500,4575.2400,4575.6800,4574.6600,4574.6600,0.6684
1779751560,4574.6800,4574.8800,4574.0200,4574.0800,0.6699
1779751620,4574.1300,4575.3600,4574.0300,4574.6050,0.6830
1779751680,4574.3215,4574.3350,4572.9365,4573.2450,0.6689
1779751740,4573.2900,4573.7150,4573.1150,4573.3050,0.6631
1779751800,4573.1950,4573.3950,4571.2865,4571.7550,0.6635
1779751860,4571.8050,4572.3750,4571.2515,4571.9500,0.6798
1779751920,4572.0250,4573.0750,4571.7715,4572.7850,0.6976
1779751980,4572.7600,4572.8400,4571.5300,4571.5500,0.6965
1779752040,4571.5700,4571.6500,4571.1700,4571.1700,0.6861
1779752100,4571.1400,4571.3900,4569.7500,4570.1300,0.6781
1779752160,4570.3000,4570.4965,4569.8800,4570.1900,0.7228
1779752220,4570.1550,4572.3085,4570.1550,4571.4200,0.6847
1779752280,4571.4750,4573.8235,4571.4350,4573.0050,0.7202
1779752340,4573.0750,4573.1250,4572.5950,4573.0650,0.6954
1779752400,4573.1050,4573.6250,4572.0450,4573.4850,0.6993
