ts,o,h,l,c
1775468400,4702.68,4706.63,4700.4315,4700.65
1775469000,4700.68,4700.82,4690.985,4693.74
1775469600,4693.7585,4697.73,4691.57,4693.525
1775470200,4693.545,4696.875,4686.2,4690.645
1775470800,4690.475,4693.165,4686.7,4689.93
1775471400,4689.905,4693.96,4687.825,4692.09
1775472000,4692.15,4696.93,4684.77,4692.785
1775472600,4692.81,4694.64,4688.87,4689.82
1775473200,4690.3435,4696.9,4689.28,4692.67
1775473800,4692.7,4693.64,4688.25,4691.805
1775474400,4691.63,4692.47,4685.51,4688.62
1775475000,4688.645,4693.071,4685.4365,4689.6265
1775475600,4690.015,4694.59,4681.43,4682.865
1775476200,4682.9,4684.69,4677.15,4678.05
1775476800,4678.01,4686.82,4678.01,4679.46
1775477400,4679.49,4679.86,4669.41,4673.235
1775478000,4673.28,4673.34,4659.92,4666.23
1775478600,4666.26,4677.725,4665.78,4676.67
1775479200,4676.71,4681.44,4673.66,4678.9035
1775479800,4678.8635,4679.1,4674.1665,4676.01
1775480400,4676.0,4677.6935,4662.29,4670.41
1775481000,4669.96,4671.5635,4664.0,4664.19
1775481600,4664.08,4673.51,4659.8235,4668.88
1775482200,4669.1735,4676.4265,4660.8965,4673.98
1775482800,4673.9635,4679.19,4661.8485,4664.2685
1775483400,4664.2935,4681.8015,4663.5185,4680.0065
1775484000,4680.465,4690.9865,4666.1185,4671.2135
1775484600,4671.39,4683.27,4660.2365,4683.26
1775485200,4683.3215,4688.4985,4677.865,4686.1365
1775485800,4686.165,4697.8985,4678.555,4684.4185
1775486400,4684.4335,4692.05,4677.53,4678.735
1775487000,4678.86,4688.6065,4675.26,4682.7965
1775487600,4682.7915,4683.9415,4664.1485,4667.5665
1775488200,4667.5865,4670.23,4655.36,4666.76
1775488800,4666.8415,4670.15,4661.77,4667.38
1775489400,4667.39,4671.1585,4651.9615,4655.15
1775490000,4655.19,4666.31,4653.565,4664.21
1775490600,4664.02,4669.4285,4662.6315,4668.1665
1775491200,4668.1765,4670.5715,4663.055,4663.28
1775491800,4663.25,4672.5565,4662.5385,4668.6965
1775492400,4668.5065,4671.01,4665.675,4665.74
1775493000,4665.76,4671.2915,4664.525,4664.61
1775493600,4664.5915,4666.33,4661.45,4664.8365
1775494200,4664.82,4666.94,4658.31,4660.6935
1775494800,4660.7235,4661.4,4655.23,4658.55
1775495400,4658.52,4659.9435,4645.7715,4659.82
1775496000,4659.9215,4660.5885,4655.1835,4656.3085
1775496600,4656.3635,4660.94,4652.595,4659.645
1775497200,4659.69,4659.8985,4651.8365,4652.5515
1775497800,4652.5415,4656.7535,4651.9865,4653.9
1775498400,4653.99,4659.07,4651.095,4658.5
1775499000,4658.48,4666.8235,4657.385,4663.05
1775499600,4663.03,4664.93,4660.1735,4660.4385
1775500200,4660.4485,4663.5685,4649.5785,4649.7885
1775500800,4649.7665,4652.5735,4649.2115,4651.0085
1775501400,4650.9885,4659.3135,4648.9985,4658.4985
1775502000,4658.4885,4659.5685,4650.4585,4651.34
1775502600,4651.3385,4653.7785,4645.755,4648.1
1775503200,4648.0985,4650.6685,4646.4235,4650.31
1775503800,4650.2985,4654.0285,4649.98,4651.2335
1775504400,4651.2135,4655.6635,4648.7285,4655.64
1775505000,4655.8035,4658.3085,4653.8285,4655.5115
1775505600,4655.5065,4657.36,4652.3835,4653.29
1775506200,4653.855,4657.9185,4653.37,4656.8985
1775506800,4656.935,4658.1835,4655.6935,4656.0885
1775507400,4656.1035,4658.5535,4652.1635,4652.61
1775508000,4652.57,4654.7035,4650.2835,4650.595
1775508600,4650.5535,4652.42,4647.975,4649.375
1775512800,4651.5,4668.015,4649.975,4667.41
1775513400,4667.415,4667.95,4661.92,4664.8
1775514000,4664.815,4665.57,4659.22,4662.33
1775514600,4662.2585,4663.16,4659.045,4660.51
1775515200,4660.535,4662.42,4658.24,4661.1665
1775515800,4661.1815,4661.6865,4656.8215,4658.56
1775516400,4658.625,4661.3,4657.23,4660.34
1775517000,4660.35,4661.0035,4658.045,4658.51
1775517600,4658.535,4658.725,4653.365,4654.59
1775518200,4654.74,4655.53,4651.62,4655.2
1775518800,4655.2565,4657.58,4652.63,4656.57
1775519400,4656.47,4660.56,4655.22,4658.95
1775520000,4659.55,4659.55,4649.24,4653.92
1775520600,4653.88,4661.24,4652.9,4658.6535
1775521200,4658.36,4660.76,4656.4685,4659.29
1775521800,4659.35,4661.2685,4657.57,4660.4035
1775522400,4660.4085,4661.521,4658.23,4658.78
1775523000,4658.8235,4659.54,4654.73,4655.17
1775523600,4655.11,4664.66,4627.905,4644.59
1775524200,4643.9865,4651.45,4629.24,4651.31
1775524800,4651.02,4657.69,4646.06,4654.7965
1775525400,4654.94,4662.765,4629.055,4639.48
1775526000,4639.7535,4647.73,4633.995,4634.4
1775526600,4634.44,4636.76,4616.48,4627.155
1775527200,4627.19,4632.615,4620.085,4631.6985
1775527800,4631.75,4634.66,4623.12,4631.05
1775528400,4631.08,4635.35,4626.895,4634.67
1775529000,4633.89,4643.2235,4633.82,4642.4835
1775529600,4642.56,4654.0715,4641.3335,4651.2465
1775530200,4651.2415,4653.66,4646.5,4650.6235
1775530800,4650.5535,4654.2235,4641.61,4646.4
1775531400,4646.38,4648.15,4641.3635,4641.7885
1775532000,4641.74,4644.88,4639.8735,4642.79
1775532600,4642.76,4648.535,4642.2,4645.52
1775533200,4645.62,4649.6085,4643.96,4647.6915
1775533800,4647.7065,4651.17,4647.2665,4649.7065
1775534400,4649.6865,4651.4365,4647.7315,4648.67
1775535000,4648.6685,4649.7,4645.68,4649.35
1775535600,4649.3,4651.4585,4647.84,4650.2485
1775536200,4650.3635,4660.8485,4649.67,4658.5935
1775536800,4658.6285,4664.1015,4658.46,4661.3315
1775537400,4661.3165,4663.9565,4659.2315,4659.6165
1775538000,4660.1315,4661.4265,4654.67,4655.76
1775538600,4655.69,4658.08,4653.9515,4654.74
1775539200,4654.78,4654.78,4630.71,4632.56
1775539800,4632.515,4641.7985,4623.24,4639.62
1775540400,4639.65,4641.09,4629.44,4635.7965
1775541000,4635.78,4646.7,4635.78,4643.12
1775541600,4643.1135,4646.68,4638.2285,4644.32
1775542200,4644.3185,4649.3585,4641.89,4643.12
1775542800,4643.17,4645.1,4638.1335,4641.1235
1775543400,4640.9685,4647.7285,4640.9685,4646.0585
1775544000,4646.075,4653.9,4643.54,4651.035
1775544600,4650.9985,4656.59,4650.5085,4653.44
1775545200,4653.47,4656.0115,4649.2815,4654.18
1775545800,4654.37,4657.11,4648.695,4651.9685
1775546400,4651.9235,4654.0485,4638.8865,4639.8435
1775547000,4639.8235,4646.7685,4636.86,4646.4
1775547600,4646.375,4646.375,4640.5735,4643.3035
1775548200,4643.3135,4647.21,4639.0,4646.2435
1775548800,4646.2285,4660.2435,4644.2735,4651.72
1775549400,4651.68,4665.5585,4650.845,4661.5415
1775550000,4661.5215,4690.8665,4659.8615,4678.4215
1775550600,4678.3365,4688.0635,4677.12,4681.78
1775551200,4681.7615,4687.7,4679.1565,4682.24
1775551800,4682.3235,4687.1435,4680.5185,4683.05
1775552400,4683.025,4688.2765,4681.0265,4686.14
1775553000,4686.09,4693.94,4682.6915,4690.24
1775553600,4690.1985,4694.45,4685.7135,4686.7885
1775554200,4686.7635,4687.1785,4674.85,4676.87
1775554800,4676.8015,4676.8015,4658.9315,4666.8915
1775555400,4666.93,4676.0035,4663.03,4670.8165
1775556000,4670.8315,4679.9815,4662.495,4675.055
1775556600,4674.9285,4680.5915,4671.6815,4677.1915
1775557200,4677.2115,4678.5565,4657.9265,4668.315
1775557800,4668.29,4672.125,4662.1715,4663.57
1775558400,4663.5315,4666.755,4649.8,4650.68
1775559000,4650.585,4658.885,4649.5185,4652.26
1775559600,4652.28,4656.35,4646.1865,4651.375
1775560200,4651.38,4651.38,4629.0585,4639.9015
1775560800,4640.225,4652.23,4638.165,4648.045
1775561400,4647.97,4658.285,4647.29,4654.74
1775562000,4654.65,4664.2435,4652.79,4660.57
1775562600,4660.5515,4661.9685,4657.8,4659.76
1775563200,4660.0085,4665.751,4651.525,4656.235
1775563800,4656.1315,4663.5235,4651.44,4658.1915
1775564400,4657.8915,4671.2235,4657.175,4665.92
1775565000,4666.1,4667.5915,4658.2715,4663.5335
1775565600,4663.5285,4665.2285,4647.6415,4648.8315
1775566200,4648.9765,4662.5,4646.7865,4651.6265
1775566800,4651.7365,4660.08,4648.2965,4655.7
1775567400,4655.665,4657.7485,4650.6585,4651.14
1775568000,4651.055,4663.0715,4650.9285,4658.08
1775568600,4658.11,4663.5335,4644.6335,4647.5765
1775569200,4647.5315,4651.8315,4635.7585,4647.2265
1775569800,4647.165,4654.2785,4643.15,4644.15
1775570400,4644.13,4645.4215,4607.7185,4612.7235
1775571000,4612.6235,4625.9735,4609.8935,4615.7565
1775571600,4615.6965,4649.7285,4615.6965,4645.51
1775572200,4645.505,4661.7115,4642.4465,4654.995
1775572800,4655.025,4656.945,4646.66,4648.97
1775573400,4649.0,4649.5335,4629.9965,4633.3985
1775574000,4633.23,4636.4965,4625.0985,4633.935
1775574600,4633.9565,4652.595,4631.54,4650.25
1775575200,4650.2485,4653.4185,4645.2315,4653.1415
1775575800,4653.42,4656.8485,4643.3665,4644.4035
1775576400,4644.3835,4652.405,4640.6465,4651.5485
1775577000,4651.7115,4659.56,4648.5815,4655.5615
1775577600,4655.5865,4668.5815,4652.9615,4653.99
1775578200,4653.91,4660.53,4652.6365,4657.81
1775578800,4657.77,4667.9335,4654.55,4662.9615
1775579400,4662.9415,4664.2365,4656.2135,4657.88
1775580000,4657.9,4663.1485,4656.0415,4658.4785
1775580600,4658.51,4662.5615,4656.5415,4657.2015
1775581200,4657.22,4673.4135,4656.5815,4667.5435
1775581800,4667.5535,4668.7585,4655.115,4656.5315
1775582400,4656.5215,4660.9165,4653.9365,4660.2715
1775583000,4661.0615,4686.7385,4661.0615,4679.4385
1775583600,4679.4485,4681.5465,4671.3435,4678.15
1775584200,4678.1515,4680.2865,4675.12,4675.9085
1775584800,4675.88,4681.0285,4675.7385,4678.7285
1775585400,4678.73,4686.1415,4677.4735,4684.755
1775586000,4684.74,4685.9,4676.97,4680.4915
1775586600,4680.6565,4686.3665,4679.4365,4679.9165
1775587200,4679.9565,4681.1215,4672.2215,4674.4215
1775587800,4674.4165,4674.4565,4657.5565,4662.2265
1775588400,4662.35,4668.3,4660.7115,4662.22
1775589000,4662.19,4692.105,4662.18,4690.2535
1775589600,4690.2685,4702.9985,4685.4835,4687.56
1775590200,4687.62,4691.48,4682.6965,4686.085
1775590800,4686.06,4718.97,4681.9015,4706.025
1775591400,4706.3835,4712.4635,4695.24,4700.91
1775592000,4700.97,4710.97,4697.2315,4707.5515
1775592600,4707.5615,4713.1435,4705.2465,4708.095
1775593200,4708.12,4712.945,4704.15,4710.2515
1775593800,4710.8685,4715.525,4703.6435,4708.3085
1775594400,4708.045,4717.04,4707.175,4712.37
1775595000,4711.7315,4713.945,4702.909,4705.69
1775599200,4720.86,4752.03,4720.455,4744.23
1775599800,4744.335,4744.835,4725.7615,4730.59
1775600400,4730.63,4736.475,4726.415,4735.695
1775601000,4735.665,4780.1935,4713.14,4775.305
1775601600,4775.285,4779.9135,4761.67,4772.085
1775602200,4772.125,4819.885,4770.6265,4818.46
1775602800,4818.475,4825.14,4801.8115,4814.825
1775603400,4814.905,4824.855,4806.5265,4824.39
1775604000,4824.46,4828.9215,4807.47,4814.87
1775604600,4814.85,4817.65,4804.18,4810.78
