bar_start_ms,open,high,low,close
1709258400000,2044.41350,2045.21500,2044.15500,2045.09500
1709260200000,2045.11000,2045.90950,2045.07500,2045.43650
1709262000000,2045.46450,2046.48000,2045.32650,2046.00850
1709263800000,2046.01850,2046.91500,2045.74000,2046.60000
1709265600000,2046.57000,2046.61500,2045.91500,2046.41500
1709267400000,2046.36450,2046.42000,2045.33500,2045.59850
1709269200000,2045.65500,2045.78000,2043.47000,2044.53500
1709271000000,2044.52500,2045.55350,2044.50850,2045.13500
1709272800000,2045.15500,2048.17000,2044.98050,2047.79000
1709274600000,2047.76000,2047.79500,2046.56450,2046.79150
1709276400000,2046.78650,2048.90500,2046.47000,2046.68500
1709278200000,2046.67000,2047.45000,2045.34350,2045.49850
1709280000000,2045.50850,2045.75850,2042.10500,2042.41000
1709281800000,2042.33500,2042.58000,2039.09000,2039.90500
1709283600000,2039.88500,2045.38500,2039.52000,2044.77000
1709285400000,2044.80500,2047.64150,2043.75000,2046.43650
1709287200000,2046.43500,2051.05150,2045.94000,2050.58500
1709289000000,2050.59000,2055.17500,2050.14000,2054.89500
1709290800000,2054.92000,2055.91000,2053.94000,2055.32000
1709292600000,2055.33500,2057.55500,2054.74500,2055.46850
1709294400000,2055.47000,2057.13000,2053.79000,2053.94000
1709296200000,2053.97000,2054.91000,2052.26000,2052.44500
1709298000000,2052.42650,2052.58000,2050.13000,2051.79000
1709299800000,2051.78000,2054.57200,2050.70000,2051.65500
1709301600000,2051.67000,2056.70000,2051.55000,2054.87500
1709303400000,2054.80450,2054.86000,2045.66000,2046.48500
1709305200000,2046.51500,2063.74150,2046.48500,2063.70150
1709307000000,2063.68450,2070.96150,2061.85500,2069.28150
1709308800000,2069.27450,2076.60000,2069.27450,2074.26500
1709310600000,2074.26000,2082.03000,2073.83000,2081.22000
1709312400000,2081.00000,2085.53500,2080.07000,2084.03000
1709314200000,2084.05000,2085.74000,2082.31000,2084.88000
1709316000000,2084.87000,2087.43150,2082.27000,2086.37000
1709317800000,2086.34000,2088.38500,2084.76500,2085.75500
1709319600000,2085.77500,2086.77500,2084.91500,2085.29000
1709321400000,2085.40500,2086.72500,2084.77150,2085.29650
1709510400000,2083.63500,2084.26500,2082.28000,2083.71650
1709512200000,2083.71000,2084.46500,2082.51000,2082.69000
1709514000000,2082.75550,2083.01000,2080.55000,2080.97050
1709515800000,2080.96550,2081.59500,2079.46150,2080.26500
1709517600000,2080.24150,2081.92500,2079.89950,2081.83850
1709519400000,2081.83350,2083.54350,2081.55650,2081.55650
1709521200000,2081.49650,2081.49650,2080.38950,2081.06000
1709523000000,2081.04500,2081.94750,2080.98500,2081.53350
1709524800000,2081.54500,2081.66000,2080.34450,2080.63350
1709526600000,2080.63850,2081.16850,2080.61000,2080.88350
1709528400000,2080.82500,2081.30850,2080.55500,2081.09850
1709530200000,2081.08350,2082.36350,2080.92850,2081.53950
1709532000000,2081.53500,2083.14050,2081.11150,2081.67150
1709533800000,2081.70650,2083.92500,2081.43000,2083.55650
1709535600000,2083.61500,2085.58000,2083.61500,2085.00500
1709537400000,2085.02150,2088.36850,2084.72000,2087.49500
1709539200000,2087.45500,2087.59500,2083.82000,2085.30850
1709541000000,2085.31550,2085.41000,2083.54500,2083.94500
1709542800000,2083.94550,2085.09000,2083.24500,2083.64500
1709544600000,2083.68000,2086.22500,2083.61000,2085.25500
1709546400000,2085.23000,2085.85000,2083.40650,2083.55500
1709548200000,2083.56000,2084.65500,2082.71000,2083.98500
1709550000000,2084.02000,2084.66000,2083.17500,2083.23850
1709551800000,2083.24000,2083.99500,2081.95500,2082.18500
1709553600000,2082.21000,2083.51350,2081.91000,2083.26350
1709555400000,2083.29000,2083.39850,2082.05000,2082.62500
1709557200000,2082.62350,2084.45000,2081.18650,2083.02350
1709559000000,2083.04550,2093.17150,2081.54150,2091.64500
1709560800000,2091.72850,2097.55850,2090.56000,2096.67850
1709562600000,2096.67000,2101.47000,2093.58000,2100.87000
1709564400000,2100.79500,2103.00500,2097.66500,2101.18500
1709566200000,2101.18000,2109.44850,2100.90000,2109.09000
1709568000000,2109.08000,2116.39000,2107.80500,2113.62500
1709569800000,2113.62000,2119.97500,2113.61000,2119.34150
1709571600000,2119.34500,2119.81150,2114.02000,2115.86000
1709573400000,2115.85000,2118.72150,2115.66000,2116.53500
1709575200000,2116.47500,2118.11500,2115.77500,2117.56500
1709577000000,2117.60500,2117.65000,2113.60150,2115.38150
1709578800000,2115.37000,2116.26000,2113.38150,2116.24500
1709580600000,2116.23500,2117.37500,2115.50000,2116.36000
1709582400000,2116.39000,2117.42500,2115.41650,2117.35000
1709584200000,2117.31650,2118.62000,2116.43150,2116.72000
1709586000000,2116.70500,2117.34500,2115.50000,2116.00000
1709587800000,2116.02000,2116.09500,2114.22500,2114.51500
1709593200000,2114.92500,2115.12900,2113.70500,2114.83850
1709595000000,2114.80350,2115.90500,2114.29650,2114.63000
1709596800000,2114.61000,2115.93350,2114.20650,2114.31000
1709598600000,2114.31150,2115.94000,2114.28500,2115.58000
1709600400000,2115.53500,2116.91000,2112.04500,2112.32650
1709602200000,2112.32000,2112.99000,2110.53500,2112.66950
1709604000000,2112.65500,2113.09000,2111.45950,2112.77350
1709605800000,2112.75050,2113.42500,2111.45500,2112.41000
1709607600000,2112.41500,2114.05500,2111.30500,2113.73500
1709609400000,2113.72000,2114.00000,2112.49850,2113.05050
1709611200000,2113.05500,2115.32500,2112.72500,2114.17000
1709613000000,2114.15650,2115.99150,2114.08000,2115.97500
1709614800000,2115.92000,2116.84050,2115.42500,2116.01500
1709616600000,2116.01550,2119.82350,2115.84850,2119.37500
1709618400000,2119.39000,2119.63500,2116.36450,2116.44500
1709620200000,2116.44450,2117.87350,2115.25450,2117.40350
1709622000000,2117.39850,2117.87850,2114.01500,2115.48500
1709623800000,2115.50500,2116.62000,2114.34150,2114.48500
1709625600000,2114.58500,2121.30000,2114.51000,2120.93000
1709627400000,2120.92500,2123.42850,2119.50500,2120.74000
1709629200000,2120.80000,2125.32500,2119.09000,2125.05500
1709631000000,2124.97000,2125.35000,2122.33500,2124.58850
1709632800000,2124.63500,2127.41000,2124.53350,2126.72850
1709634600000,2126.73000,2126.73000,2123.40000,2123.75500
1709636400000,2123.77000,2127.24500,2122.71350,2126.90500
1709638200000,2126.88000,2127.03500,2123.66000,2124.54000
1709640000000,2124.58500,2125.34500,2121.31000,2122.11500
1709641800000,2122.15500,2124.64150,2121.26350,2124.44650
1709643600000,2124.48500,2131.96150,2124.24500,2131.84850
1709645400000,2131.85000,2141.90650,2122.45500,2127.80500
1709647200000,2127.90500,2133.18000,2124.35850,2131.93000
1709649000000,2131.95000,2133.29000,2125.11500,2128.29950
1709650800000,2128.32500,2139.56450,2128.32500,2131.54500
1709652600000,2131.53000,2135.02500,2123.78350,2126.72850
1709654400000,2126.72350,2128.77500,2124.28500,2126.39850
1709656200000,2126.45000,2128.77500,2123.73350,2128.38000
1709658000000,2128.39650,2130.07000,2127.60500,2129.69650
1709659800000,2129.68000,2131.05000,2128.04650,2130.93500
1709661600000,2131.01000,2133.63000,2129.63650,2133.51500
1709663400000,2133.54000,2133.61000,2130.06150,2130.75650
1709665200000,2130.80650,2134.79000,2130.80650,2133.76000
1709667000000,2133.78000,2133.97650,2129.60650,2129.63650
1709668800000,2129.63000,2130.71500,2128.88150,2130.62500
1709670600000,2130.60500,2131.00500,2128.55000,2129.69150
1709672400000,2129.66650,2130.10650,2128.69650,2129.18500
1709674200000,2129.16500,2129.16500,2127.13150,2127.97500
1709679600000,2127.90000,2128.41350,2127.06650,2128.22850
1709681400000,2128.22500,2128.53500,2127.22850,2128.13000
1709683200000,2128.13350,2128.19500,2126.34000,2126.84000
1709685000000,2126.86500,2127.42000,2126.19000,2126.99550
1709686800000,2126.97550,2128.05150,2125.55500,2125.62000
1709688600000,2125.69000,2126.55050,2125.12650,2125.54450
1709690400000,2125.52000,2126.56850,2124.57650,2124.57650
1709692200000,2124.52650,2126.90350,2123.91000,2126.48550
1709694000000,2126.48850,2126.70000,2124.75000,2124.81000
1709695800000,2124.84000,2125.26500,2123.77000,2124.87350
1709697600000,2124.88500,2126.32000,2124.87350,2125.61500
1709699400000,2125.66000,2126.37650,2125.41000,2126.27500
1709701200000,2126.24500,2127.76500,2126.21000,2127.42500
1709703000000,2127.30450,2128.01650,2125.27000,2125.37350
1709704800000,2125.39350,2126.71500,2125.04350,2125.87000
1709706600000,2125.86500,2127.66850,2125.84000,2127.39350
1709708400000,2127.38550,2130.05350,2127.17000,2129.56000
1709710200000,2129.52000,2131.58350,2128.32000,2128.51500
1709712000000,2128.52000,2129.28000,2126.53150,2127.48000
1709713800000,2127.43500,2127.56850,2124.41500,2125.15000
1709715600000,2125.15500,2127.11850,2124.83000,2126.67000
1709717400000,2126.71350,2129.90500,2125.93500,2128.67500
1709719200000,2128.68150,2128.73000,2126.04500,2127.66500
1709721000000,2127.60500,2127.73000,2124.75000,2125.69000
1709722800000,2125.70500,2128.43500,2125.66000,2127.98500
1709724600000,2127.96500,2132.66000,2127.93500,2132.57000
1709726400000,2132.59000,2133.29000,2131.10500,2133.28000
1709728200000,2133.26500,2135.11650,2132.20500,2134.28000
1709730000000,2134.25500,2137.98500,2133.12500,2135.02000
1709731800000,2135.00500,2139.75850,2131.50500,2139.46000
1709733600000,2139.47500,2140.31000,2135.72500,2139.22500
1709735400000,2139.30350,2149.27500,2139.22500,2144.88000
1709737200000,2144.77500,2145.63650,2132.01650,2141.02000
1709739000000,2141.01500,2141.67000,2138.18000,2141.02500
1709740800000,2141.05000,2148.01150,2140.54500,2146.32000
1709742600000,2146.32500,2149.92850,2142.32000,2148.24650
